onset	duration	trial_type	value	sample	trial_order	focus_order	EEG_trigger
8.27804	171.13464583333334	Stimulus/S  1	1	206951	3	1	1
8.29804	171.13464583333334	Stimulus/S  4	4	207451	3	1	1
8.31804	171.13464583333334	Stimulus/S  8	8	207951	3	1	1
8.33804	171.13464583333334	Stimulus/S  8	8	208451	3	1	1
8.35804	171.13464583333334	Stimulus/S  8	8	208951	3	1	1
179.39476	171.13464583333334	Stimulus/S  2	2	4484869	3	1	1
179.84012	171.13464583333334	Stimulus/S  1	1	4496003	3	1	1
179.86012	171.13464583333334	Stimulus/S  4	4	4496503	3	1	1
179.88012	171.13464583333334	Stimulus/S  8	8	4497003	3	1	1
179.90012	171.13464583333334	Stimulus/S  8	8	4497503	3	1	1
179.92012	171.13464583333334	Stimulus/S  8	8	4498003	3	1	1
350.95684	171.13464583333334	Stimulus/S  2	2	8773921	3	1	1
351.4102	171.13464583333334	Stimulus/S  1	1	8785255	3	1	1
351.4302	171.13464583333334	Stimulus/S  4	4	8785755	3	1	1
351.4502	171.13464583333334	Stimulus/S  8	8	8786255	3	1	1
351.4702	171.13464583333334	Stimulus/S  8	8	8786755	3	1	1
351.4902	171.13464583333334	Stimulus/S  8	8	8787255	3	1	1
522.52692	171.13464583333334	Stimulus/S  2	2	13063173	3	1	1
522.98428	171.13464583333334	Stimulus/S  1	1	13074607	3	1	1
523.00428	171.13464583333334	Stimulus/S  4	4	13075107	3	1	1
523.02428	171.13464583333334	Stimulus/S  8	8	13075607	3	1	1
523.04428	171.13464583333334	Stimulus/S  8	8	13076107	3	1	1
523.06428	171.13464583333334	Stimulus/S  8	8	13076607	3	1	1
694.10096	171.13464583333334	Stimulus/S  2	2	17352524	3	1	1
694.54432	171.13464583333334	Stimulus/S  1	1	17363608	2	1	1
694.56432	171.13464583333334	Stimulus/S  4	4	17364108	2	1	1
694.58432	171.13464583333334	Stimulus/S  8	8	17364608	2	1	1
694.60432	171.13464583333334	Stimulus/S  4	4	17365108	2	1	1
694.62432	171.13464583333334	Stimulus/S  8	8	17365608	2	1	1
865.66104	171.13464583333334	Stimulus/S  2	2	21641526	2	1	1
866.1124	171.13464583333334	Stimulus/S  1	1	21652810	2	1	1
866.1324	171.13464583333334	Stimulus/S  4	4	21653310	2	1	1
866.1524	171.13464583333334	Stimulus/S  8	8	21653810	2	1	1
866.1724	171.13464583333334	Stimulus/S  4	4	21654310	2	1	1
866.1924	171.13464583333334	Stimulus/S  8	8	21654810	2	1	1
1037.22912	171.13464583333334	Stimulus/S  2	2	25930728	2	1	1
1037.67648	171.13464583333334	Stimulus/S  1	1	25941912	2	1	1
1037.69648	171.13464583333334	Stimulus/S  4	4	25942412	2	1	1
1037.71648	171.13464583333334	Stimulus/S  8	8	25942912	2	1	1
1037.73648	171.13464583333334	Stimulus/S  4	4	25943412	2	1	1
1037.75648	171.13464583333334	Stimulus/S  8	8	25943912	2	1	1
1208.79316	171.13464583333334	Stimulus/S  2	2	30219829	2	1	1
1209.23852	171.13464583333334	Stimulus/S  1	1	30230963	2	1	1
1209.25852	171.13464583333334	Stimulus/S  4	4	30231463	2	1	1
1209.27852	171.13464583333334	Stimulus/S  8	8	30231963	2	1	1
1209.29852	171.13464583333334	Stimulus/S  4	4	30232463	2	1	1
1209.31852	171.13464583333334	Stimulus/S  8	8	30232963	2	1	1
1380.3552	171.13464583333334	Stimulus/S  2	2	34508880	2	1	1
1380.79256	171.13464583333334	Stimulus/S  1	1	34519814	1	1	1
1380.81256	171.13464583333334	Stimulus/S  4	4	34520314	1	1	1
1380.83256	171.13464583333334	Stimulus/S  4	4	34520814	1	1	1
1380.85256	171.13464583333334	Stimulus/S  8	8	34521314	1	1	1
1380.87256	171.13464583333334	Stimulus/S  8	8	34521814	1	1	1
1551.90924	171.13464583333334	Stimulus/S  2	2	38797731	1	1	1
1552.3806	171.13464583333334	Stimulus/S  1	1	38809515	1	1	1
1552.4006	171.13464583333334	Stimulus/S  4	4	38810015	1	1	1
1552.4206	171.13464583333334	Stimulus/S  4	4	38810515	1	1	1
1552.4406	171.13464583333334	Stimulus/S  8	8	38811015	1	1	1
1552.4606	171.13464583333334	Stimulus/S  8	8	38811515	1	1	1
1723.49728	171.13464583333334	Stimulus/S  2	2	43087432	1	1	1
1723.94664	171.13464583333334	Stimulus/S  1	1	43098666	1	1	1
1723.96664	171.13464583333334	Stimulus/S  4	4	43099166	1	1	1
1723.98664	171.13464583333334	Stimulus/S  4	4	43099666	1	1	1
1724.00664	171.13464583333334	Stimulus/S  8	8	43100166	1	1	1
1724.02664	171.13464583333334	Stimulus/S  8	8	43100666	1	1	1
1895.06332	171.13464583333334	Stimulus/S  2	2	47376583	1	1	1
1895.53068	171.13464583333334	Stimulus/S  1	1	47388267	1	1	1
1895.55068	171.13464583333334	Stimulus/S  4	4	47388767	1	1	1
1895.57068	171.13464583333334	Stimulus/S  4	4	47389267	1	1	1
1895.59068	171.13464583333334	Stimulus/S  8	8	47389767	1	1	1
1895.61068	171.13464583333334	Stimulus/S  8	8	47390267	1	1	1
2066.64736	171.13464583333334	Stimulus/S  2	2	51666184	1	1	1
2067.11072	171.13464583333334	Stimulus/S  1	1	51677768	4	1	1
2067.13072	171.13464583333334	Stimulus/S  8	8	51678268	4	1	1
2067.15072	171.13464583333334	Stimulus/S  4	4	51678768	4	1	1
2067.17072	171.13464583333334	Stimulus/S  4	4	51679268	4	1	1
2067.19072	171.13464583333334	Stimulus/S  8	8	51679768	4	1	1
2238.22736	171.13464583333334	Stimulus/S  2	2	55955684	4	1	1
2238.69472	171.13464583333334	Stimulus/S  1	1	55967368	4	1	1
