onset	duration	trial_type	value	sample	attend	chapter
39.3967	64.0	Stimulus/S  1	1	393967	Female	0
39.3968	64.0	Stimulus/S  4	4	393968	Female	0
39.3969	64.0	Stimulus/S  4	4	393969	Female	0
39.397	64.0	Stimulus/S  4	4	393970	Female	0
39.3971	64.0	Stimulus/S  4	4	393971	Female	0
39.3972	64.0	Stimulus/S  4	4	393972	Female	0
39.3973	64.0	Stimulus/S  4	4	393973	Female	0
39.3974	64.0	Stimulus/S  4	4	393974	Female	0
103.3783	64.0	Stimulus/S  2	2	1033783	Female	0
119.2727	64.0	Stimulus/S  1	1	1192727	Female	1
119.2728	64.0	Stimulus/S  4	4	1192728	Female	1
119.2729	64.0	Stimulus/S  4	4	1192729	Female	1
119.273	64.0	Stimulus/S  4	4	1192730	Female	1
119.2731	64.0	Stimulus/S  4	4	1192731	Female	1
119.2732	64.0	Stimulus/S  4	4	1192732	Female	1
119.2733	64.0	Stimulus/S  4	4	1192733	Female	1
119.2734	64.0	Stimulus/S  8	8	1192734	Female	1
183.2543	64.0	Stimulus/S  2	2	1832543	Female	1
199.8808	64.0	Stimulus/S  1	1	1998808	Male	0
199.8809	64.0	Stimulus/S  8	8	1998809	Male	0
199.881	64.0	Stimulus/S  4	4	1998810	Male	0
199.8811	64.0	Stimulus/S  4	4	1998811	Male	0
199.8812	64.0	Stimulus/S  4	4	1998812	Male	0
199.8813	64.0	Stimulus/S  4	4	1998813	Male	0
199.8814	64.0	Stimulus/S  4	4	1998814	Male	0
199.8815	64.0	Stimulus/S  4	4	1998815	Male	0
263.8624	64.0	Stimulus/S  2	2	2638624	Male	0
280.6168	64.0	Stimulus/S  1	1	2806168	Male	1
280.6169	64.0	Stimulus/S  8	8	2806169	Male	1
280.617	64.0	Stimulus/S  4	4	2806170	Male	1
280.6171	64.0	Stimulus/S  4	4	2806171	Male	1
280.6172	64.0	Stimulus/S  4	4	2806172	Male	1
280.6173	64.0	Stimulus/S  4	4	2806173	Male	1
280.6174	64.0	Stimulus/S  4	4	2806174	Male	1
280.6175	64.0	Stimulus/S  8	8	2806175	Male	1
344.5984	64.0	Stimulus/S  2	2	3445984	Male	1
362.9168	64.0	Stimulus/S  1	1	3629168	Male	2
362.9169	64.0	Stimulus/S  8	8	3629169	Male	2
362.917	64.0	Stimulus/S  4	4	3629170	Male	2
362.9171	64.0	Stimulus/S  4	4	3629171	Male	2
362.9172	64.0	Stimulus/S  4	4	3629172	Male	2
362.9173	64.0	Stimulus/S  4	4	3629173	Male	2
362.9174	64.0	Stimulus/S  8	8	3629174	Male	2
362.9175	64.0	Stimulus/S  4	4	3629175	Male	2
426.8984	64.0	Stimulus/S  2	2	4268984	Male	2
444.8329	64.0	Stimulus/S  1	1	4448329	Male	3
444.833	64.0	Stimulus/S  8	8	4448330	Male	3
444.8331	64.0	Stimulus/S  4	4	4448331	Male	3
444.8332	64.0	Stimulus/S  4	4	4448332	Male	3
444.8333	64.0	Stimulus/S  4	4	4448333	Male	3
444.8334	64.0	Stimulus/S  4	4	4448334	Male	3
444.8335	64.0	Stimulus/S  8	8	4448335	Male	3
444.8336	64.0	Stimulus/S  8	8	4448336	Male	3
508.8145	64.0	Stimulus/S  2	2	5088145	Male	3
520.8228	64.0	Stimulus/S  1	1	5208228	Female	2
520.8229	64.0	Stimulus/S  4	4	5208229	Female	2
520.823	64.0	Stimulus/S  4	4	5208230	Female	2
520.8231	64.0	Stimulus/S  4	4	5208231	Female	2
520.8232	64.0	Stimulus/S  4	4	5208232	Female	2
520.8233	64.0	Stimulus/S  4	4	5208233	Female	2
520.8234	64.0	Stimulus/S  8	8	5208234	Female	2
520.8235	64.0	Stimulus/S  4	4	5208235	Female	2
584.8044	64.0	Stimulus/S  2	2	5848044	Female	2
597.6787	64.0	Stimulus/S  1	1	5976787	Female	3
597.6788	64.0	Stimulus/S  4	4	5976788	Female	3
597.6789	64.0	Stimulus/S  4	4	5976789	Female	3
597.679	64.0	Stimulus/S  4	4	5976790	Female	3
597.6791	64.0	Stimulus/S  4	4	5976791	Female	3
597.6792	64.0	Stimulus/S  4	4	5976792	Female	3
597.6793	64.0	Stimulus/S  8	8	5976793	Female	3
597.6794	64.0	Stimulus/S  8	8	5976794	Female	3
661.6603	64.0	Stimulus/S  2	2	6616603	Female	3
676.0987	64.0	Stimulus/S  1	1	6760987	Female	4
676.0988	64.0	Stimulus/S  4	4	6760988	Female	4
676.0989	64.0	Stimulus/S  4	4	6760989	Female	4
676.099	64.0	Stimulus/S  4	4	6760990	Female	4
676.0991	64.0	Stimulus/S  4	4	6760991	Female	4
676.0992	64.0	Stimulus/S  8	8	6760992	Female	4
676.0993	64.0	Stimulus/S  4	4	6760993	Female	4
676.0994	64.0	Stimulus/S  4	4	6760994	Female	4
740.0803	64.0	Stimulus/S  2	2	7400803	Female	4
753.0726	64.0	Stimulus/S  1	1	7530726	Female	5
753.0727	64.0	Stimulus/S  4	4	7530727	Female	5
753.0728	64.0	Stimulus/S  4	4	7530728	Female	5
753.0729	64.0	Stimulus/S  4	4	7530729	Female	5
753.073	64.0	Stimulus/S  4	4	7530730	Female	5
753.0731	64.0	Stimulus/S  8	8	7530731	Female	5
753.0732	64.0	Stimulus/S  4	4	7530732	Female	5
753.0733	64.0	Stimulus/S  8	8	7530733	Female	5
817.0542	64.0	Stimulus/S  2	2	8170542	Female	5
836.0907	64.0	Stimulus/S  1	1	8360907	Male	4
836.0908	64.0	Stimulus/S  8	8	8360908	Male	4
836.0909	64.0	Stimulus/S  4	4	8360909	Male	4
836.091	64.0	Stimulus/S  4	4	8360910	Male	4
836.0911	64.0	Stimulus/S  4	4	8360911	Male	4
836.0912	64.0	Stimulus/S  8	8	8360912	Male	4
836.0913	64.0	Stimulus/S  4	4	8360913	Male	4
836.0914	64.0	Stimulus/S  4	4	8360914	Male	4
900.0723	64.0	Stimulus/S  2	2	9000723	Male	4
