onset	duration	trial_type	value	sample	trial_order	focus_order	EEG_trigger
51.4512	171.13464583333334	Stimulus/S  1	1	1286280	4	1	1
51.4712	171.13464583333334	Stimulus/S  8	8	1286780	4	1	1
51.4912	171.13464583333334	Stimulus/S  4	4	1287280	4	1	1
51.5112	171.13464583333334	Stimulus/S  4	4	1287780	4	1	1
51.5312	171.13464583333334	Stimulus/S  8	8	1288280	4	1	1
222.56776	171.13464583333334	Stimulus/S  2	2	5564194	4	1	1
223.01912	171.13464583333334	Stimulus/S  1	1	5575478	4	1	1
223.03912	171.13464583333334	Stimulus/S  8	8	5575978	4	1	1
223.05912	171.13464583333334	Stimulus/S  4	4	5576478	4	1	1
223.07912	171.13464583333334	Stimulus/S  4	4	5576978	4	1	1
223.09912	171.13464583333334	Stimulus/S  8	8	5577478	4	1	1
394.1358	171.13464583333334	Stimulus/S  2	2	9853395	4	1	1
394.58116	171.13464583333334	Stimulus/S  1	1	9864529	4	1	1
394.60116	171.13464583333334	Stimulus/S  8	8	9865029	4	1	1
394.62116	171.13464583333334	Stimulus/S  4	4	9865529	4	1	1
394.64116	171.13464583333334	Stimulus/S  4	4	9866029	4	1	1
394.66116	171.13464583333334	Stimulus/S  8	8	9866529	4	1	1
565.6978	171.13464583333334	Stimulus/S  2	2	14142445	4	1	1
566.14316	171.13464583333334	Stimulus/S  1	1	14153579	4	1	1
566.16316	171.13464583333334	Stimulus/S  8	8	14154079	4	1	1
566.18316	171.13464583333334	Stimulus/S  4	4	14154579	4	1	1
566.20316	171.13464583333334	Stimulus/S  4	4	14155079	4	1	1
566.22316	171.13464583333334	Stimulus/S  8	8	14155579	4	1	1
737.2598	171.13464583333334	Stimulus/S  2	2	18431495	4	1	1
737.71516	171.13464583333334	Stimulus/S  1	1	18442879	2	1	1
737.73516	171.13464583333334	Stimulus/S  4	4	18443379	2	1	1
737.75516	171.13464583333334	Stimulus/S  8	8	18443879	2	1	1
737.77516	171.13464583333334	Stimulus/S  4	4	18444379	2	1	1
737.79516	171.13464583333334	Stimulus/S  8	8	18444879	2	1	1
908.8318	171.13464583333334	Stimulus/S  2	2	22720795	2	1	1
909.29116	171.13464583333334	Stimulus/S  1	1	22732279	2	1	1
909.31116	171.13464583333334	Stimulus/S  4	4	22732779	2	1	1
909.33116	171.13464583333334	Stimulus/S  8	8	22733279	2	1	1
909.35116	171.13464583333334	Stimulus/S  4	4	22733779	2	1	1
909.37116	171.13464583333334	Stimulus/S  8	8	22734279	2	1	1
1080.4078	171.13464583333334	Stimulus/S  2	2	27010195	2	1	1
1080.85716	171.13464583333334	Stimulus/S  1	1	27021429	2	1	1
1080.87716	171.13464583333334	Stimulus/S  4	4	27021929	2	1	1
1080.89716	171.13464583333334	Stimulus/S  8	8	27022429	2	1	1
1080.91716	171.13464583333334	Stimulus/S  4	4	27022929	2	1	1
1080.93716	171.13464583333334	Stimulus/S  8	8	27023429	2	1	1
1251.9738	171.13464583333334	Stimulus/S  2	2	31299345	2	1	1
1252.43916	171.13464583333334	Stimulus/S  1	1	31310979	2	1	1
1252.45916	171.13464583333334	Stimulus/S  4	4	31311479	2	1	1
1252.47916	171.13464583333334	Stimulus/S  8	8	31311979	2	1	1
1252.49916	171.13464583333334	Stimulus/S  4	4	31312479	2	1	1
1252.51916	171.13464583333334	Stimulus/S  8	8	31312979	2	1	1
1423.5558	171.13464583333334	Stimulus/S  2	2	35588895	2	1	1
1424.00316	171.13464583333334	Stimulus/S  1	1	35600079	1	1	1
1424.02316	171.13464583333334	Stimulus/S  4	4	35600579	1	1	1
1424.04316	171.13464583333334	Stimulus/S  4	4	35601079	1	1	1
1424.06316	171.13464583333334	Stimulus/S  8	8	35601579	1	1	1
1424.08316	171.13464583333334	Stimulus/S  8	8	35602079	1	1	1
1595.1198	171.13464583333334	Stimulus/S  2	2	39877995	1	1	1
1595.58716	171.13464583333334	Stimulus/S  1	1	39889679	1	1	1
1595.60716	171.13464583333334	Stimulus/S  4	4	39890179	1	1	1
1595.62716	171.13464583333334	Stimulus/S  4	4	39890679	1	1	1
1595.64716	171.13464583333334	Stimulus/S  8	8	39891179	1	1	1
1595.66716	171.13464583333334	Stimulus/S  8	8	39891679	1	1	1
1766.70376	171.13464583333334	Stimulus/S  2	2	44167594	1	1	1
1767.15312	171.13464583333334	Stimulus/S  1	1	44178828	1	1	1
1767.17312	171.13464583333334	Stimulus/S  4	4	44179328	1	1	1
1767.19312	171.13464583333334	Stimulus/S  4	4	44179828	1	1	1
1767.21312	171.13464583333334	Stimulus/S  8	8	44180328	1	1	1
1767.23312	171.13464583333334	Stimulus/S  8	8	44180828	1	1	1
1938.26976	171.13464583333334	Stimulus/S  2	2	48456744	1	1	1
1938.72512	171.13464583333334	Stimulus/S  1	1	48468128	1	1	1
1938.74512	171.13464583333334	Stimulus/S  4	4	48468628	1	1	1
1938.76512	171.13464583333334	Stimulus/S  4	4	48469128	1	1	1
1938.78512	171.13464583333334	Stimulus/S  8	8	48469628	1	1	1
1938.80512	171.13464583333334	Stimulus/S  8	8	48470128	1	1	1
2109.84172	171.13464583333334	Stimulus/S  2	2	52746043	1	1	1
2110.29708	171.13464583333334	Stimulus/S  1	1	52757427	3	1	1
2110.31708	171.13464583333334	Stimulus/S  4	4	52757927	3	1	1
2110.33708	171.13464583333334	Stimulus/S  8	8	52758427	3	1	1
2110.35708	171.13464583333334	Stimulus/S  8	8	52758927	3	1	1
2110.37708	171.13464583333334	Stimulus/S  8	8	52759427	3	1	1
2281.41372	171.13464583333334	Stimulus/S  2	2	57035343	3	1	1
2281.87508	171.13464583333334	Stimulus/S  1	1	57046877	3	1	1
2281.89508	171.13464583333334	Stimulus/S  4	4	57047377	3	1	1
2281.91508	171.13464583333334	Stimulus/S  8	8	57047877	3	1	1
2281.93508	171.13464583333334	Stimulus/S  8	8	57048377	3	1	1
2281.95508	171.13464583333334	Stimulus/S  8	8	57048877	3	1	1
2452.99168	171.13464583333334	Stimulus/S  2	2	61324792	3	1	1
2453.46304	171.13464583333334	Stimulus/S  1	1	61336576	3	1	1
2453.48304	171.13464583333334	Stimulus/S  4	4	61337076	3	1	1
2453.50304	171.13464583333334	Stimulus/S  8	8	61337576	3	1	1
2453.52304	171.13464583333334	Stimulus/S  8	8	61338076	3	1	1
2453.54304	171.13464583333334	Stimulus/S  8	8	61338576	3	1	1
2624.57964	171.13464583333334	Stimulus/S  2	2	65614491	3	1	1
2625.049	171.13464583333334	Stimulus/S  1	1	65626225	3	1	1
2625.069	171.13464583333334	Stimulus/S  4	4	65626725	3	1	1
2625.089	171.13464583333334	Stimulus/S  8	8	65627225	3	1	1
2625.109	171.13464583333334	Stimulus/S  8	8	65627725	3	1	1
2625.129	171.13464583333334	Stimulus/S  8	8	65628225	3	1	1
2796.1656	171.13464583333334	Stimulus/S  2	2	69904140	3	1	1
2796.61296	171.13464583333334	Stimulus/S  1	1	69915324	2	0	1
2796.63296	171.13464583333334	Stimulus/S  4	4	69915824	2	0	1
2796.65296	171.13464583333334	Stimulus/S  8	8	69916324	2	0	1
2796.67296	171.13464583333334	Stimulus/S  4	4	69916824	2	0	1
2796.69296	171.13464583333334	Stimulus/S  4	4	69917324	2	0	1
2967.7296	171.13464583333334	Stimulus/S  2	2	74193240	2	0	1
2968.18296	171.13464583333334	Stimulus/S  1	1	74204574	2	0	1
2968.20296	171.13464583333334	Stimulus/S  4	4	74205074	2	0	1
2968.22296	171.13464583333334	Stimulus/S  8	8	74205574	2	0	1
2968.24296	171.13464583333334	Stimulus/S  4	4	74206074	2	0	1
2968.26296	171.13464583333334	Stimulus/S  4	4	74206574	2	0	1
3139.29956	171.13464583333334	Stimulus/S  2	2	78482489	2	0	1
3139.74892	171.13464583333334	Stimulus/S  1	1	78493723	2	0	1
3139.76892	171.13464583333334	Stimulus/S  4	4	78494223	2	0	1
3139.78892	171.13464583333334	Stimulus/S  8	8	78494723	2	0	1
3139.80892	171.13464583333334	Stimulus/S  4	4	78495223	2	0	1
3139.82892	171.13464583333334	Stimulus/S  4	4	78495723	2	0	1
3310.86552	171.13464583333334	Stimulus/S  2	2	82771638	2	0	1
3311.33288	171.13464583333334	Stimulus/S  1	1	82783322	2	0	1
3311.35288	171.13464583333334	Stimulus/S  4	4	82783822	2	0	1
3311.37288	171.13464583333334	Stimulus/S  8	8	82784322	2	0	1
3311.39288	171.13464583333334	Stimulus/S  4	4	82784822	2	0	1
3311.41288	171.13464583333334	Stimulus/S  4	4	82785322	2	0	1
3482.44948	171.13464583333334	Stimulus/S  2	2	87061237	2	0	1
3482.88684	171.13464583333334	Stimulus/S  1	1	87072171	3	0	1
3482.90684	171.13464583333334	Stimulus/S  4	4	87072671	3	0	1
3482.92684	171.13464583333334	Stimulus/S  8	8	87073171	3	0	1
3482.94684	171.13464583333334	Stimulus/S  8	8	87073671	3	0	1
3482.96684	171.13464583333334	Stimulus/S  4	4	87074171	3	0	1
3654.00344	171.13464583333334	Stimulus/S  2	2	91350086	3	0	1
3654.4688	171.13464583333334	Stimulus/S  1	1	91361720	3	0	1
3654.4888	171.13464583333334	Stimulus/S  4	4	91362220	3	0	1
3654.5088	171.13464583333334	Stimulus/S  8	8	91362720	3	0	1
3654.5288	171.13464583333334	Stimulus/S  8	8	91363220	3	0	1
3654.5488	171.13464583333334	Stimulus/S  4	4	91363720	3	0	1
3825.5854	171.13464583333334	Stimulus/S  2	2	95639635	3	0	1
3826.03676	171.13464583333334	Stimulus/S  1	1	95650919	3	0	1
3826.05676	171.13464583333334	Stimulus/S  4	4	95651419	3	0	1
3826.07676	171.13464583333334	Stimulus/S  8	8	95651919	3	0	1
3826.09676	171.13464583333334	Stimulus/S  8	8	95652419	3	0	1
3826.11676	171.13464583333334	Stimulus/S  4	4	95652919	3	0	1
3997.15336	171.13464583333334	Stimulus/S  2	2	99928834	3	0	1
3997.62272	171.13464583333334	Stimulus/S  1	1	99940568	3	0	1
3997.64272	171.13464583333334	Stimulus/S  4	4	99941068	3	0	1
3997.66272	171.13464583333334	Stimulus/S  8	8	99941568	3	0	1
3997.68272	171.13464583333334	Stimulus/S  8	8	99942068	3	0	1
3997.70272	171.13464583333334	Stimulus/S  4	4	99942568	3	0	1
4168.73932	171.13464583333334	Stimulus/S  2	2	104218483	3	0	1
4169.18068	171.13464583333334	Stimulus/S  1	1	104229517	4	0	1
4169.20068	171.13464583333334	Stimulus/S  8	8	104230017	4	0	1
4169.22068	171.13464583333334	Stimulus/S  4	4	104230517	4	0	1
4169.24068	171.13464583333334	Stimulus/S  4	4	104231017	4	0	1
4169.26068	171.13464583333334	Stimulus/S  4	4	104231517	4	0	1
4340.29728	171.13464583333334	Stimulus/S  2	2	108507432	4	0	1
4340.75864	171.13464583333334	Stimulus/S  1	1	108518966	4	0	1
4340.77864	171.13464583333334	Stimulus/S  8	8	108519466	4	0	1
4340.79864	171.13464583333334	Stimulus/S  4	4	108519966	4	0	1
4340.81864	171.13464583333334	Stimulus/S  4	4	108520466	4	0	1
4340.83864	171.13464583333334	Stimulus/S  4	4	108520966	4	0	1
4511.87524	171.13464583333334	Stimulus/S  2	2	112796881	4	0	1
4512.3266	171.13464583333334	Stimulus/S  1	1	112808165	4	0	1
