onset	duration	trial_type	value	sample	attend	chapter
141.2498	64.0	Stimulus/S  1	1	1412498	Female	0
141.2499	64.0	Stimulus/S  4	4	1412499	Female	0
141.25	64.0	Stimulus/S  4	4	1412500	Female	0
141.2501	64.0	Stimulus/S  4	4	1412501	Female	0
141.2502	64.0	Stimulus/S  4	4	1412502	Female	0
141.2503	64.0	Stimulus/S  4	4	1412503	Female	0
141.2504	64.0	Stimulus/S  4	4	1412504	Female	0
141.2505	64.0	Stimulus/S  4	4	1412505	Female	0
205.2314	64.0	Stimulus/S  2	2	2052314	Female	0
222.8945	64.0	Stimulus/S  1	1	2228945	Female	1
222.8946	64.0	Stimulus/S  4	4	2228946	Female	1
222.8947	64.0	Stimulus/S  4	4	2228947	Female	1
222.8948	64.0	Stimulus/S  4	4	2228948	Female	1
222.8949	64.0	Stimulus/S  4	4	2228949	Female	1
222.895	64.0	Stimulus/S  4	4	2228950	Female	1
222.8951	64.0	Stimulus/S  4	4	2228951	Female	1
222.8952	64.0	Stimulus/S  8	8	2228952	Female	1
286.8761	64.0	Stimulus/S  2	2	2868761	Female	1
303.0458	64.0	Stimulus/S  1	1	3030458	Male	0
303.0459	64.0	Stimulus/S  8	8	3030459	Male	0
303.046	64.0	Stimulus/S  4	4	3030460	Male	0
303.0461	64.0	Stimulus/S  4	4	3030461	Male	0
303.0462	64.0	Stimulus/S  4	4	3030462	Male	0
303.0463	64.0	Stimulus/S  4	4	3030463	Male	0
303.0464	64.0	Stimulus/S  4	4	3030464	Male	0
303.0465	64.0	Stimulus/S  4	4	3030465	Male	0
367.0275	64.0	Stimulus/S  2	2	3670275	Male	0
392.6481	64.0	Stimulus/S  1	1	3926481	Male	1
392.6482	64.0	Stimulus/S  8	8	3926482	Male	1
392.6483	64.0	Stimulus/S  4	4	3926483	Male	1
392.6484	64.0	Stimulus/S  4	4	3926484	Male	1
392.6485	64.0	Stimulus/S  4	4	3926485	Male	1
392.6486	64.0	Stimulus/S  4	4	3926486	Male	1
392.6487	64.0	Stimulus/S  4	4	3926487	Male	1
392.6488	64.0	Stimulus/S  8	8	3926488	Male	1
456.6297	64.0	Stimulus/S  2	2	4566297	Male	1
482.549	64.0	Stimulus/S  1	1	4825490	Male	2
482.5491	64.0	Stimulus/S  8	8	4825491	Male	2
482.5492	64.0	Stimulus/S  4	4	4825492	Male	2
