onset	duration	trial_type	value	sample	attend	chapter
23.3298	64.0	Stimulus/S  1	1	233298	Female	0
23.3299	64.0	Stimulus/S  4	4	233299	Female	0
23.33	64.0	Stimulus/S  4	4	233300	Female	0
23.3301	64.0	Stimulus/S  4	4	233301	Female	0
23.3302	64.0	Stimulus/S  4	4	233302	Female	0
23.3303	64.0	Stimulus/S  4	4	233303	Female	0
23.3304	64.0	Stimulus/S  4	4	233304	Female	0
23.3305	64.0	Stimulus/S  4	4	233305	Female	0
87.3105	64.0	Stimulus/S  2	2	873105	Female	0
113.0908	64.0	Stimulus/S  1	1	1130908	Female	1
113.0909	64.0	Stimulus/S  4	4	1130909	Female	1
113.091	64.0	Stimulus/S  4	4	1130910	Female	1
113.0911	64.0	Stimulus/S  4	4	1130911	Female	1
113.0912	64.0	Stimulus/S  4	4	1130912	Female	1
113.0913	64.0	Stimulus/S  4	4	1130913	Female	1
113.0914	64.0	Stimulus/S  4	4	1130914	Female	1
113.0915	64.0	Stimulus/S  8	8	1130915	Female	1
177.0715	64.0	Stimulus/S  2	2	1770715	Female	1
210.5859	64.0	Stimulus/S  1	1	2105859	Male	0
210.586	64.0	Stimulus/S  8	8	2105860	Male	0
210.5861	64.0	Stimulus/S  4	4	2105861	Male	0
210.5862	64.0	Stimulus/S  4	4	2105862	Male	0
210.5863	64.0	Stimulus/S  4	4	2105863	Male	0
210.5864	64.0	Stimulus/S  4	4	2105864	Male	0
210.5865	64.0	Stimulus/S  4	4	2105865	Male	0
210.5866	64.0	Stimulus/S  4	4	2105866	Male	0
274.5666	64.0	Stimulus/S  2	2	2745666	Male	0
294.1628	64.0	Stimulus/S  1	1	2941628	Male	1
294.1629	64.0	Stimulus/S  8	8	2941629	Male	1
294.163	64.0	Stimulus/S  4	4	2941630	Male	1
294.1631	64.0	Stimulus/S  4	4	2941631	Male	1
294.1632	64.0	Stimulus/S  4	4	2941632	Male	1
294.1633	64.0	Stimulus/S  4	4	2941633	Male	1
294.1634	64.0	Stimulus/S  4	4	2941634	Male	1
294.1635	64.0	Stimulus/S  8	8	2941635	Male	1
358.1436	64.0	Stimulus/S  2	2	3581436	Male	1
397.934	64.0	Stimulus/S  1	1	3979340	Male	2
397.9341	64.0	Stimulus/S  8	8	3979341	Male	2
397.9342	64.0	Stimulus/S  4	4	3979342	Male	2
397.9343	64.0	Stimulus/S  4	4	3979343	Male	2
397.9344	64.0	Stimulus/S  4	4	3979344	Male	2
397.9345	64.0	Stimulus/S  4	4	3979345	Male	2
397.9346	64.0	Stimulus/S  8	8	3979346	Male	2
397.9347	64.0	Stimulus/S  4	4	3979347	Male	2
461.9148	64.0	Stimulus/S  2	2	4619148	Male	2
506.7933	64.0	Stimulus/S  1	1	5067933	Male	3
506.7934	64.0	Stimulus/S  8	8	5067934	Male	3
506.7935	64.0	Stimulus/S  4	4	5067935	Male	3
506.7936	64.0	Stimulus/S  4	4	5067936	Male	3
506.7937	64.0	Stimulus/S  4	4	5067937	Male	3
506.7938	64.0	Stimulus/S  4	4	5067938	Male	3
506.7939	64.0	Stimulus/S  8	8	5067939	Male	3
506.794	64.0	Stimulus/S  8	8	5067940	Male	3
570.774	64.0	Stimulus/S  2	2	5707740	Male	3
602.5224	64.0	Stimulus/S  1	1	6025224	Female	2
602.5225	64.0	Stimulus/S  4	4	6025225	Female	2
602.5226	64.0	Stimulus/S  4	4	6025226	Female	2
602.5227	64.0	Stimulus/S  4	4	6025227	Female	2
602.5228	64.0	Stimulus/S  4	4	6025228	Female	2
602.5229	64.0	Stimulus/S  4	4	6025229	Female	2
602.523	64.0	Stimulus/S  8	8	6025230	Female	2
602.5231	64.0	Stimulus/S  4	4	6025231	Female	2
666.5031	64.0	Stimulus/S  2	2	6665031	Female	2
700.1775	64.0	Stimulus/S  1	1	7001775	Female	3
700.1776	64.0	Stimulus/S  4	4	7001776	Female	3
700.1777	64.0	Stimulus/S  4	4	7001777	Female	3
700.1778	64.0	Stimulus/S  4	4	7001778	Female	3
700.1779	64.0	Stimulus/S  4	4	7001779	Female	3
700.178	64.0	Stimulus/S  4	4	7001780	Female	3
700.1781	64.0	Stimulus/S  8	8	7001781	Female	3
700.1782	64.0	Stimulus/S  8	8	7001782	Female	3
764.1582	64.0	Stimulus/S  2	2	7641582	Female	3
806.9147	64.0	Stimulus/S  1	1	8069147	Female	4
806.9148	64.0	Stimulus/S  4	4	8069148	Female	4
806.9149	64.0	Stimulus/S  4	4	8069149	Female	4
806.915	64.0	Stimulus/S  4	4	8069150	Female	4
806.9151	64.0	Stimulus/S  4	4	8069151	Female	4
806.9152	64.0	Stimulus/S  8	8	8069152	Female	4
806.9153	64.0	Stimulus/S  4	4	8069153	Female	4
806.9154	64.0	Stimulus/S  4	4	8069154	Female	4
870.8954	64.0	Stimulus/S  2	2	8708954	Female	4
900.6618	64.0	Stimulus/S  1	1	9006618	Female	5
900.6619	64.0	Stimulus/S  4	4	9006619	Female	5
900.662	64.0	Stimulus/S  4	4	9006620	Female	5
900.6621	64.0	Stimulus/S  4	4	9006621	Female	5
900.6622	64.0	Stimulus/S  4	4	9006622	Female	5
900.6623	64.0	Stimulus/S  8	8	9006623	Female	5
900.6624	64.0	Stimulus/S  4	4	9006624	Female	5
900.6625	64.0	Stimulus/S  8	8	9006625	Female	5
964.6425	64.0	Stimulus/S  2	2	9646425	Female	5
999.1309	64.0	Stimulus/S  1	1	9991309	Male	4
999.131	64.0	Stimulus/S  8	8	9991310	Male	4
999.1311	64.0	Stimulus/S  4	4	9991311	Male	4
999.1312	64.0	Stimulus/S  4	4	9991312	Male	4
999.1313	64.0	Stimulus/S  4	4	9991313	Male	4
999.1314	64.0	Stimulus/S  8	8	9991314	Male	4
999.1315	64.0	Stimulus/S  4	4	9991315	Male	4
999.1316	64.0	Stimulus/S  4	4	9991316	Male	4
1063.1116	64.0	Stimulus/S  2	2	10631116	Male	4
1102.032	64.0	Stimulus/S  1	1	11020320	Male	5
1102.0321	64.0	Stimulus/S  8	8	11020321	Male	5
1102.0322	64.0	Stimulus/S  4	4	11020322	Male	5
1102.0323	64.0	Stimulus/S  4	4	11020323	Male	5
1102.0324	64.0	Stimulus/S  4	4	11020324	Male	5
1102.0325	64.0	Stimulus/S  8	8	11020325	Male	5
1102.0326	64.0	Stimulus/S  4	4	11020326	Male	5
1102.0327	64.0	Stimulus/S  8	8	11020327	Male	5
1166.0128	64.0	Stimulus/S  2	2	11660128	Male	5
1265.4919	64.0	Stimulus/S  1	1	12654919	Male	6
1265.492	64.0	Stimulus/S  8	8	12654920	Male	6
1265.4921	64.0	Stimulus/S  4	4	12654921	Male	6
1265.4922	64.0	Stimulus/S  4	4	12654922	Male	6
1265.4923	64.0	Stimulus/S  4	4	12654923	Male	6
1265.4924	64.0	Stimulus/S  8	8	12654924	Male	6
1265.4925	64.0	Stimulus/S  8	8	12654925	Male	6
1265.4926	64.0	Stimulus/S  4	4	12654926	Male	6
1329.4727	64.0	Stimulus/S  2	2	13294727	Male	6
1365.491	64.0	Stimulus/S  1	1	13654910	Male	7
1365.4911	64.0	Stimulus/S  8	8	13654911	Male	7
1365.4912	64.0	Stimulus/S  4	4	13654912	Male	7
1365.4913	64.0	Stimulus/S  4	4	13654913	Male	7
1365.4914	64.0	Stimulus/S  4	4	13654914	Male	7
1365.4915	64.0	Stimulus/S  8	8	13654915	Male	7
1365.4916	64.0	Stimulus/S  8	8	13654916	Male	7
1365.4917	64.0	Stimulus/S  8	8	13654917	Male	7
1429.4718	64.0	Stimulus/S  2	2	14294718	Male	7
1506.2026	64.0	Stimulus/S  1	1	15062026	Female	6
1506.2027	64.0	Stimulus/S  4	4	15062027	Female	6
1506.2028	64.0	Stimulus/S  4	4	15062028	Female	6
1506.2029	64.0	Stimulus/S  4	4	15062029	Female	6
1506.203	64.0	Stimulus/S  4	4	15062030	Female	6
1506.2031	64.0	Stimulus/S  8	8	15062031	Female	6
1506.2032	64.0	Stimulus/S  8	8	15062032	Female	6
1506.2033	64.0	Stimulus/S  4	4	15062033	Female	6
1570.1834	64.0	Stimulus/S  2	2	15701834	Female	6
1623.3059	64.0	Stimulus/S  1	1	16233059	Female	7
1623.306	64.0	Stimulus/S  4	4	16233060	Female	7
1623.3061	64.0	Stimulus/S  4	4	16233061	Female	7
1623.3062	64.0	Stimulus/S  4	4	16233062	Female	7
1623.3063	64.0	Stimulus/S  4	4	16233063	Female	7
1623.3064	64.0	Stimulus/S  8	8	16233064	Female	7
1623.3065	64.0	Stimulus/S  8	8	16233065	Female	7
1623.3066	64.0	Stimulus/S  8	8	16233066	Female	7
1687.2866	64.0	Stimulus/S  2	2	16872866	Female	7
1717.855	64.0	Stimulus/S  1	1	17178550	Female	8
1717.8551	64.0	Stimulus/S  4	4	17178551	Female	8
1717.8552	64.0	Stimulus/S  4	4	17178552	Female	8
1717.8553	64.0	Stimulus/S  4	4	17178553	Female	8
1717.8554	64.0	Stimulus/S  8	8	17178554	Female	8
1717.8555	64.0	Stimulus/S  4	4	17178555	Female	8
1717.8556	64.0	Stimulus/S  4	4	17178556	Female	8
1717.8557	64.0	Stimulus/S  4	4	17178557	Female	8
1781.8357	64.0	Stimulus/S  2	2	17818357	Female	8
1819.7001	64.0	Stimulus/S  1	1	18197001	Female	9
1819.7002	64.0	Stimulus/S  4	4	18197002	Female	9
1819.7003	64.0	Stimulus/S  4	4	18197003	Female	9
1819.7004	64.0	Stimulus/S  4	4	18197004	Female	9
1819.7005	64.0	Stimulus/S  8	8	18197005	Female	9
1819.7006	64.0	Stimulus/S  4	4	18197006	Female	9
1819.7007	64.0	Stimulus/S  4	4	18197007	Female	9
1819.7008	64.0	Stimulus/S  8	8	18197008	Female	9
1883.6808	64.0	Stimulus/S  2	2	18836808	Female	9
1937.7235	64.0	Stimulus/S  1	1	19377235	Male	8
1937.7236	64.0	Stimulus/S  8	8	19377236	Male	8
1937.7237	64.0	Stimulus/S  4	4	19377237	Male	8
1937.7238	64.0	Stimulus/S  4	4	19377238	Male	8
1937.7239	64.0	Stimulus/S  8	8	19377239	Male	8
1937.724	64.0	Stimulus/S  4	4	19377240	Male	8
1937.7241	64.0	Stimulus/S  4	4	19377241	Male	8
1937.7242	64.0	Stimulus/S  4	4	19377242	Male	8
2001.7042	64.0	Stimulus/S  2	2	20017042	Male	8
2070.343	64.0	Stimulus/S  1	1	20703430	Male	9
2070.3431	64.0	Stimulus/S  8	8	20703431	Male	9
2070.3432	64.0	Stimulus/S  4	4	20703432	Male	9
2070.3433	64.0	Stimulus/S  4	4	20703433	Male	9
2070.3434	64.0	Stimulus/S  8	8	20703434	Male	9
2070.3435	64.0	Stimulus/S  4	4	20703435	Male	9
2070.3436	64.0	Stimulus/S  4	4	20703436	Male	9
2070.3437	64.0	Stimulus/S  8	8	20703437	Male	9
2134.3237	64.0	Stimulus/S  2	2	21343237	Male	9
2171.9961	64.0	Stimulus/S  1	1	21719961	Male	10
2171.9962	64.0	Stimulus/S  8	8	21719962	Male	10
2171.9963	64.0	Stimulus/S  4	4	21719963	Male	10
2171.9964	64.0	Stimulus/S  4	4	21719964	Male	10
2171.9965	64.0	Stimulus/S  8	8	21719965	Male	10
2171.9966	64.0	Stimulus/S  4	4	21719966	Male	10
2171.9967	64.0	Stimulus/S  8	8	21719967	Male	10
2171.9968	64.0	Stimulus/S  4	4	21719968	Male	10
2235.9768	64.0	Stimulus/S  2	2	22359768	Male	10
2278.6833	64.0	Stimulus/S  1	1	22786833	Male	11
