onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
11.23	64	Stimulus/S  4	4	5615	0	0	0	1
11.26	64	Stimulus/S  4	4	5630	0	0	0	1
11.292	64	Stimulus/S  4	4	5646	0	0	0	1
11.322	64	Stimulus/S  4	4	5661	0	0	0	1
11.354	64	Stimulus/S  4	4	5677	0	0	0	1
11.384	64	Stimulus/S  4	4	5692	0	0	0	1
11.416	64	Stimulus/S  4	4	5708	0	0	0	1
11.446	64	Stimulus/S  4	4	5723	0	0	0	1
11.504	64	Stimulus/S  1	1	5752	0	0	0	1
93.892	64	Stimulus/S  4	4	46946	1	0	1	1
93.924	64	Stimulus/S  4	4	46962	1	0	1	1
93.954	64	Stimulus/S  4	4	46977	1	0	1	1
93.986	64	Stimulus/S  4	4	46993	1	0	1	1
94.016	64	Stimulus/S  4	4	47008	1	0	1	1
94.048	64	Stimulus/S  8	8	47024	1	0	1	1
94.078	64	Stimulus/S  4	4	47039	1	0	1	1
94.11	64	Stimulus/S  8	8	47055	1	0	1	1
94.154	64	Stimulus/S  1	1	47077	1	0	1	1
176.838	64	Stimulus/S  4	4	88419	0	1	1	1
176.868	64	Stimulus/S  4	4	88434	0	1	1	1
176.9	64	Stimulus/S  4	4	88450	0	1	1	1
176.93	64	Stimulus/S  4	4	88465	0	1	1	1
176.962	64	Stimulus/S  4	4	88481	0	1	1	1
176.992	64	Stimulus/S  4	4	88496	0	1	1	1
177.024	64	Stimulus/S  8	8	88512	0	1	1	1
177.054	64	Stimulus/S  8	8	88527	0	1	1	1
177.104	64	Stimulus/S  1	1	88552	0	1	1	1
255.538	64	Stimulus/S  4	4	127769	1	1	0	1
255.568	64	Stimulus/S  4	4	127784	1	1	0	1
255.6	64	Stimulus/S  4	4	127800	1	1	0	1
255.63	64	Stimulus/S  4	4	127815	1	1	0	1
255.662	64	Stimulus/S  4	4	127831	1	1	0	1
255.692	64	Stimulus/S  8	8	127846	1	1	0	1
255.724	64	Stimulus/S  8	8	127862	1	1	0	1
255.754	64	Stimulus/S  4	4	127877	1	1	0	1
255.804	64	Stimulus/S  1	1	127902	1	1	0	1
341.834	64	Stimulus/S  4	4	170917	2	1	0	1
341.864	64	Stimulus/S  4	4	170932	2	1	0	1
341.896	64	Stimulus/S  4	4	170948	2	1	0	1
341.926	64	Stimulus/S  4	4	170963	2	1	0	1
341.958	64	Stimulus/S  8	8	170979	2	1	0	1
341.988	64	Stimulus/S  4	4	170994	2	1	0	1
342.02	64	Stimulus/S  8	8	171010	2	1	0	1
342.05	64	Stimulus/S  4	4	171025	2	1	0	1
342.104	64	Stimulus/S  1	1	171052	2	1	0	1
424.926	64	Stimulus/S  4	4	212463	3	1	1	1
424.956	64	Stimulus/S  4	4	212478	3	1	1	1
424.988	64	Stimulus/S  4	4	212494	3	1	1	1
425.018	64	Stimulus/S  4	4	212509	3	1	1	1
425.05	64	Stimulus/S  8	8	212525	3	1	1	1
425.08	64	Stimulus/S  8	8	212540	3	1	1	1
425.112	64	Stimulus/S  8	8	212556	3	1	1	1
425.142	64	Stimulus/S  8	8	212571	3	1	1	1
425.186	64	Stimulus/S  1	1	212593	3	1	1	1
506.686	64	Stimulus/S  4	4	253343	2	0	1	1
506.716	64	Stimulus/S  4	4	253358	2	0	1	1
506.748	64	Stimulus/S  4	4	253374	2	0	1	1
506.778	64	Stimulus/S  4	4	253389	2	0	1	1
506.81	64	Stimulus/S  8	8	253405	2	0	1	1
506.84	64	Stimulus/S  4	4	253420	2	0	1	1
506.872	64	Stimulus/S  4	4	253436	2	0	1	1
506.902	64	Stimulus/S  8	8	253451	2	0	1	1
506.954	64	Stimulus/S  1	1	253477	2	0	1	1
588.588	64	Stimulus/S  4	4	294294	3	0	0	1
588.62	64	Stimulus/S  4	4	294310	3	0	0	1
588.65	64	Stimulus/S  4	4	294325	3	0	0	1
588.682	64	Stimulus/S  4	4	294341	3	0	0	1
588.712	64	Stimulus/S  8	8	294356	3	0	0	1
588.744	64	Stimulus/S  8	8	294372	3	0	0	1
588.774	64	Stimulus/S  4	4	294387	3	0	0	1
588.806	64	Stimulus/S  4	4	294403	3	0	0	1
588.854	64	Stimulus/S  1	1	294427	3	0	0	1
673.694	64	Stimulus/S  4	4	336847	4	0	0	1
673.726	64	Stimulus/S  4	4	336863	4	0	0	1
673.756	64	Stimulus/S  4	4	336878	4	0	0	1
673.788	64	Stimulus/S  8	8	336894	4	0	0	1
