onset	duration	trial_type	value	sample	attend	chapter
20.243	64.0	Stimulus/S  1	1	202430	Female	0
20.2431	64.0	Stimulus/S  4	4	202431	Female	0
20.2432	64.0	Stimulus/S  4	4	202432	Female	0
20.2433	64.0	Stimulus/S  4	4	202433	Female	0
20.2434	64.0	Stimulus/S  4	4	202434	Female	0
20.2435	64.0	Stimulus/S  4	4	202435	Female	0
20.2436	64.0	Stimulus/S  4	4	202436	Female	0
20.2437	64.0	Stimulus/S  4	4	202437	Female	0
84.2246	64.0	Stimulus/S  2	2	842246	Female	0
97.6409	64.0	Stimulus/S  1	1	976409	Female	1
97.641	64.0	Stimulus/S  4	4	976410	Female	1
97.6411	64.0	Stimulus/S  4	4	976411	Female	1
97.6412	64.0	Stimulus/S  4	4	976412	Female	1
97.6413	64.0	Stimulus/S  4	4	976413	Female	1
97.6414	64.0	Stimulus/S  4	4	976414	Female	1
97.6415	64.0	Stimulus/S  4	4	976415	Female	1
97.6416	64.0	Stimulus/S  8	8	976416	Female	1
161.6226	64.0	Stimulus/S  2	2	1616226	Female	1
182.1271	64.0	Stimulus/S  1	1	1821271	Male	0
182.1272	64.0	Stimulus/S  8	8	1821272	Male	0
182.1273	64.0	Stimulus/S  4	4	1821273	Male	0
182.1274	64.0	Stimulus/S  4	4	1821274	Male	0
182.1275	64.0	Stimulus/S  4	4	1821275	Male	0
182.1276	64.0	Stimulus/S  4	4	1821276	Male	0
182.1277	64.0	Stimulus/S  4	4	1821277	Male	0
182.1278	64.0	Stimulus/S  4	4	1821278	Male	0
246.1087	64.0	Stimulus/S  2	2	2461087	Male	0
258.941	64.0	Stimulus/S  1	1	2589410	Male	1
258.9411	64.0	Stimulus/S  8	8	2589411	Male	1
258.9412	64.0	Stimulus/S  4	4	2589412	Male	1
258.9413	64.0	Stimulus/S  4	4	2589413	Male	1
258.9414	64.0	Stimulus/S  4	4	2589414	Male	1
258.9415	64.0	Stimulus/S  4	4	2589415	Male	1
258.9416	64.0	Stimulus/S  4	4	2589416	Male	1
258.9417	64.0	Stimulus/S  8	8	2589417	Male	1
322.9226	64.0	Stimulus/S  2	2	3229226	Male	1
335.3329	64.0	Stimulus/S  1	1	3353329	Male	2
335.333	64.0	Stimulus/S  8	8	3353330	Male	2
335.3331	64.0	Stimulus/S  4	4	3353331	Male	2
335.3332	64.0	Stimulus/S  4	4	3353332	Male	2
335.3333	64.0	Stimulus/S  4	4	3353333	Male	2
335.3334	64.0	Stimulus/S  4	4	3353334	Male	2
335.3335	64.0	Stimulus/S  8	8	3353335	Male	2
335.3336	64.0	Stimulus/S  4	4	3353336	Male	2
399.3145	64.0	Stimulus/S  2	2	3993145	Male	2
431.7813	64.0	Stimulus/S  1	1	4317813	Male	3
431.7814	64.0	Stimulus/S  8	8	4317814	Male	3
431.7815	64.0	Stimulus/S  4	4	4317815	Male	3
431.7816	64.0	Stimulus/S  4	4	4317816	Male	3
431.7817	64.0	Stimulus/S  4	4	4317817	Male	3
431.7818	64.0	Stimulus/S  4	4	4317818	Male	3
431.7819	64.0	Stimulus/S  8	8	4317819	Male	3
431.782	64.0	Stimulus/S  8	8	4317820	Male	3
495.763	64.0	Stimulus/S  2	2	4957630	Male	3
505.6312	64.0	Stimulus/S  1	1	5056312	Female	2
505.6313	64.0	Stimulus/S  4	4	5056313	Female	2
505.6314	64.0	Stimulus/S  4	4	5056314	Female	2
505.6315	64.0	Stimulus/S  4	4	5056315	Female	2
505.6316	64.0	Stimulus/S  4	4	5056316	Female	2
505.6317	64.0	Stimulus/S  4	4	5056317	Female	2
505.6318	64.0	Stimulus/S  8	8	5056318	Female	2
505.6319	64.0	Stimulus/S  4	4	5056319	Female	2
569.6128	64.0	Stimulus/S  2	2	5696128	Female	2
580.4971	64.0	Stimulus/S  1	1	5804971	Female	3
580.4972	64.0	Stimulus/S  4	4	5804972	Female	3
580.4973	64.0	Stimulus/S  4	4	5804973	Female	3
580.4974	64.0	Stimulus/S  4	4	5804974	Female	3
580.4975	64.0	Stimulus/S  4	4	5804975	Female	3
580.4976	64.0	Stimulus/S  4	4	5804976	Female	3
580.4977	64.0	Stimulus/S  8	8	5804977	Female	3
580.4978	64.0	Stimulus/S  8	8	5804978	Female	3
644.4787	64.0	Stimulus/S  2	2	6444787	Female	3
665.0892	64.0	Stimulus/S  1	1	6650892	Female	4
665.0893	64.0	Stimulus/S  4	4	6650893	Female	4
665.0894	64.0	Stimulus/S  4	4	6650894	Female	4
665.0895	64.0	Stimulus/S  4	4	6650895	Female	4
665.0896	64.0	Stimulus/S  4	4	6650896	Female	4
665.0897	64.0	Stimulus/S  8	8	6650897	Female	4
665.0898	64.0	Stimulus/S  4	4	6650898	Female	4
665.0899	64.0	Stimulus/S  4	4	6650899	Female	4
729.0708	64.0	Stimulus/S  2	2	7290708	Female	4
745.9752	64.0	Stimulus/S  1	1	7459752	Female	5
745.9753	64.0	Stimulus/S  4	4	7459753	Female	5
745.9754	64.0	Stimulus/S  4	4	7459754	Female	5
745.9755	64.0	Stimulus/S  4	4	7459755	Female	5
745.9756	64.0	Stimulus/S  4	4	7459756	Female	5
745.9757	64.0	Stimulus/S  8	8	7459757	Female	5
745.9758	64.0	Stimulus/S  4	4	7459758	Female	5
745.9759	64.0	Stimulus/S  8	8	7459759	Female	5
809.9568	64.0	Stimulus/S  2	2	8099568	Female	5
826.0492	64.0	Stimulus/S  1	1	8260492	Male	4
826.0493	64.0	Stimulus/S  8	8	8260493	Male	4
826.0494	64.0	Stimulus/S  4	4	8260494	Male	4
826.0495	64.0	Stimulus/S  4	4	8260495	Male	4
