onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
13.416	64	Stimulus/S  4	4	6708	0	0	0	1
13.448	64	Stimulus/S  4	4	6724	0	0	0	1
13.478	64	Stimulus/S  4	4	6739	0	0	0	1
13.51	64	Stimulus/S  4	4	6755	0	0	0	1
13.54	64	Stimulus/S  4	4	6770	0	0	0	1
13.572	64	Stimulus/S  4	4	6786	0	0	0	1
13.602	64	Stimulus/S  4	4	6801	0	0	0	1
13.634	64	Stimulus/S  4	4	6817	0	0	0	1
13.678	64	Stimulus/S  1	1	6839	0	0	0	1
105.038	64	Stimulus/S  4	4	52519	1	0	1	1
105.068	64	Stimulus/S  4	4	52534	1	0	1	1
105.1	64	Stimulus/S  4	4	52550	1	0	1	1
105.13	64	Stimulus/S  4	4	52565	1	0	1	1
105.162	64	Stimulus/S  4	4	52581	1	0	1	1
105.192	64	Stimulus/S  8	8	52596	1	0	1	1
105.224	64	Stimulus/S  4	4	52612	1	0	1	1
105.254	64	Stimulus/S  8	8	52627	1	0	1	1
105.312	64	Stimulus/S  1	1	52656	1	0	1	1
197.708	64	Stimulus/S  4	4	98854	0	1	1	1
197.74	64	Stimulus/S  4	4	98870	0	1	1	1
197.77	64	Stimulus/S  4	4	98885	0	1	1	1
197.802	64	Stimulus/S  4	4	98901	0	1	1	1
197.832	64	Stimulus/S  4	4	98916	0	1	1	1
197.864	64	Stimulus/S  4	4	98932	0	1	1	1
197.894	64	Stimulus/S  8	8	98947	0	1	1	1
197.926	64	Stimulus/S  8	8	98963	0	1	1	1
197.978	64	Stimulus/S  1	1	98989	0	1	1	1
282.298	64	Stimulus/S  4	4	141149	1	1	0	1
282.328	64	Stimulus/S  4	4	141164	1	1	0	1
282.36	64	Stimulus/S  4	4	141180	1	1	0	1
282.39	64	Stimulus/S  4	4	141195	1	1	0	1
282.422	64	Stimulus/S  4	4	141211	1	1	0	1
282.452	64	Stimulus/S  8	8	141226	1	1	0	1
282.484	64	Stimulus/S  8	8	141242	1	1	0	1
282.514	64	Stimulus/S  4	4	141257	1	1	0	1
282.562	64	Stimulus/S  1	1	141281	1	1	0	1
399.62	64	Stimulus/S  4	4	199810	2	1	0	1
399.65	64	Stimulus/S  4	4	199825	2	1	0	1
399.682	64	Stimulus/S  4	4	199841	2	1	0	1
399.712	64	Stimulus/S  4	4	199856	2	1	0	1
399.744	64	Stimulus/S  8	8	199872	2	1	0	1
399.774	64	Stimulus/S  4	4	199887	2	1	0	1
399.806	64	Stimulus/S  8	8	199903	2	1	0	1
399.836	64	Stimulus/S  4	4	199918	2	1	0	1
399.878	64	Stimulus/S  1	1	199939	2	1	0	1
491.786	64	Stimulus/S  4	4	245893	3	1	1	1
491.816	64	Stimulus/S  4	4	245908	3	1	1	1
491.848	64	Stimulus/S  4	4	245924	3	1	1	1
491.878	64	Stimulus/S  4	4	245939	3	1	1	1
491.91	64	Stimulus/S  8	8	245955	3	1	1	1
491.94	64	Stimulus/S  8	8	245970	3	1	1	1
491.972	64	Stimulus/S  8	8	245986	3	1	1	1
492.004	64	Stimulus/S  8	8	246002	3	1	1	1
492.046	64	Stimulus/S  1	1	246023	3	1	1	1
586.958	64	Stimulus/S  4	4	293479	2	0	1	1
586.988	64	Stimulus/S  4	4	293494	2	0	1	1
587.02	64	Stimulus/S  4	4	293510	2	0	1	1
