onset	duration	trial_type	value	sample	attend	chapter
50.6444	64.0	Stimulus/S  1	1	506444	Female	0
50.6445	64.0	Stimulus/S  4	4	506445	Female	0
50.6446	64.0	Stimulus/S  4	4	506446	Female	0
50.6447	64.0	Stimulus/S  4	4	506447	Female	0
50.6448	64.0	Stimulus/S  4	4	506448	Female	0
50.6449	64.0	Stimulus/S  4	4	506449	Female	0
50.645	64.0	Stimulus/S  4	4	506450	Female	0
50.6451	64.0	Stimulus/S  4	4	506451	Female	0
114.626	64.0	Stimulus/S  2	2	1146260	Female	0
130.7124	64.0	Stimulus/S  1	1	1307124	Female	1
130.7125	64.0	Stimulus/S  4	4	1307125	Female	1
130.7126	64.0	Stimulus/S  4	4	1307126	Female	1
130.7127	64.0	Stimulus/S  4	4	1307127	Female	1
130.7128	64.0	Stimulus/S  4	4	1307128	Female	1
130.7129	64.0	Stimulus/S  4	4	1307129	Female	1
130.713	64.0	Stimulus/S  4	4	1307130	Female	1
130.7131	64.0	Stimulus/S  8	8	1307131	Female	1
194.6941	64.0	Stimulus/S  2	2	1946941	Female	1
217.9426	64.0	Stimulus/S  1	1	2179426	Male	0
217.9427	64.0	Stimulus/S  8	8	2179427	Male	0
217.9428	64.0	Stimulus/S  4	4	2179428	Male	0
217.9429	64.0	Stimulus/S  4	4	2179429	Male	0
217.943	64.0	Stimulus/S  4	4	2179430	Male	0
217.9431	64.0	Stimulus/S  4	4	2179431	Male	0
217.9432	64.0	Stimulus/S  4	4	2179432	Male	0
217.9433	64.0	Stimulus/S  4	4	2179433	Male	0
281.9242	64.0	Stimulus/S  2	2	2819242	Male	0
296.5746	64.0	Stimulus/S  1	1	2965746	Male	1
296.5747	64.0	Stimulus/S  8	8	2965747	Male	1
296.5748	64.0	Stimulus/S  4	4	2965748	Male	1
296.5749	64.0	Stimulus/S  4	4	2965749	Male	1
296.575	64.0	Stimulus/S  4	4	2965750	Male	1
296.5751	64.0	Stimulus/S  4	4	2965751	Male	1
296.5752	64.0	Stimulus/S  4	4	2965752	Male	1
296.5753	64.0	Stimulus/S  8	8	2965753	Male	1
360.5562	64.0	Stimulus/S  2	2	3605562	Male	1
382.3108	64.0	Stimulus/S  1	1	3823108	Male	2
382.3109	64.0	Stimulus/S  8	8	3823109	Male	2
382.311	64.0	Stimulus/S  4	4	3823110	Male	2
382.3111	64.0	Stimulus/S  4	4	3823111	Male	2
382.3112	64.0	Stimulus/S  4	4	3823112	Male	2
382.3113	64.0	Stimulus/S  4	4	3823113	Male	2
382.3114	64.0	Stimulus/S  8	8	3823114	Male	2
382.3115	64.0	Stimulus/S  4	4	3823115	Male	2
