onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
14.516	64	Stimulus/S  4	4	7258	0	0	0	1
14.548	64	Stimulus/S  4	4	7274	0	0	0	1
14.578	64	Stimulus/S  4	4	7289	0	0	0	1
14.61	64	Stimulus/S  4	4	7305	0	0	0	1
14.64	64	Stimulus/S  4	4	7320	0	0	0	1
14.672	64	Stimulus/S  4	4	7336	0	0	0	1
14.702	64	Stimulus/S  4	4	7351	0	0	0	1
14.734	64	Stimulus/S  4	4	7367	0	0	0	1
14.778	64	Stimulus/S  1	1	7389	0	0	0	1
105.47	64	Stimulus/S  4	4	52735	1	0	1	1
105.5	64	Stimulus/S  4	4	52750	1	0	1	1
105.532	64	Stimulus/S  4	4	52766	1	0	1	1
105.562	64	Stimulus/S  4	4	52781	1	0	1	1
105.594	64	Stimulus/S  4	4	52797	1	0	1	1
105.624	64	Stimulus/S  8	8	52812	1	0	1	1
105.656	64	Stimulus/S  4	4	52828	1	0	1	1
105.686	64	Stimulus/S  8	8	52843	1	0	1	1
105.744	64	Stimulus/S  1	1	52872	1	0	1	1
203.376	64	Stimulus/S  4	4	101688	0	1	1	1
203.408	64	Stimulus/S  4	4	101704	0	1	1	1
203.438	64	Stimulus/S  4	4	101719	0	1	1	1
203.47	64	Stimulus/S  4	4	101735	0	1	1	1
203.5	64	Stimulus/S  4	4	101750	0	1	1	1
203.532	64	Stimulus/S  4	4	101766	0	1	1	1
203.562	64	Stimulus/S  8	8	101781	0	1	1	1
203.594	64	Stimulus/S  8	8	101797	0	1	1	1
203.644	64	Stimulus/S  1	1	101822	0	1	1	1
288.206	64	Stimulus/S  4	4	144103	1	1	0	1
288.238	64	Stimulus/S  4	4	144119	1	1	0	1
288.268	64	Stimulus/S  4	4	144134	1	1	0	1
288.3	64	Stimulus/S  4	4	144150	1	1	0	1
288.33	64	Stimulus/S  4	4	144165	1	1	0	1
288.362	64	Stimulus/S  8	8	144181	1	1	0	1
288.392	64	Stimulus/S  8	8	144196	1	1	0	1
288.424	64	Stimulus/S  4	4	144212	1	1	0	1
288.478	64	Stimulus/S  1	1	144239	1	1	0	1
401.524	64	Stimulus/S  4	4	200762	2	1	0	1
401.554	64	Stimulus/S  4	4	200777	2	1	0	1
401.586	64	Stimulus/S  4	4	200793	2	1	0	1
401.616	64	Stimulus/S  4	4	200808	2	1	0	1
401.648	64	Stimulus/S  8	8	200824	2	1	0	1
401.678	64	Stimulus/S  4	4	200839	2	1	0	1
401.71	64	Stimulus/S  8	8	200855	2	1	0	1
401.74	64	Stimulus/S  4	4	200870	2	1	0	1
401.794	64	Stimulus/S  1	1	200897	2	1	0	1
491.688	64	Stimulus/S  4	4	245844	3	1	1	1
491.718	64	Stimulus/S  4	4	245859	3	1	1	1
491.75	64	Stimulus/S  4	4	245875	3	1	1	1
491.78	64	Stimulus/S  4	4	245890	3	1	1	1
491.812	64	Stimulus/S  8	8	245906	3	1	1	1
491.842	64	Stimulus/S  8	8	245921	3	1	1	1
491.874	64	Stimulus/S  8	8	245937	3	1	1	1
491.904	64	Stimulus/S  8	8	245952	3	1	1	1
491.962	64	Stimulus/S  1	1	245981	3	1	1	1
574.958	64	Stimulus/S  4	4	287479	2	0	1	1
574.988	64	Stimulus/S  4	4	287494	2	0	1	1
575.02	64	Stimulus/S  4	4	287510	2	0	1	1
575.05	64	Stimulus/S  4	4	287525	2	0	1	1
575.082	64	Stimulus/S  8	8	287541	2	0	1	1
575.112	64	Stimulus/S  4	4	287556	2	0	1	1
575.144	64	Stimulus/S  4	4	287572	2	0	1	1
575.174	64	Stimulus/S  8	8	287587	2	0	1	1
575.228	64	Stimulus/S  1	1	287614	2	0	1	1
659.194	64	Stimulus/S  4	4	329597	3	0	0	1
659.226	64	Stimulus/S  4	4	329613	3	0	0	1
659.256	64	Stimulus/S  4	4	329628	3	0	0	1
659.288	64	Stimulus/S  4	4	329644	3	0	0	1
659.318	64	Stimulus/S  8	8	329659	3	0	0	1
659.35	64	Stimulus/S  8	8	329675	3	0	0	1
659.38	64	Stimulus/S  4	4	329690	3	0	0	1
659.412	64	Stimulus/S  4	4	329706	3	0	0	1
659.462	64	Stimulus/S  1	1	329731	3	0	0	1
758.386	64	Stimulus/S  4	4	379193	4	0	0	1
758.418	64	Stimulus/S  4	4	379209	4	0	0	1
758.448	64	Stimulus/S  4	4	379224	4	0	0	1
758.48	64	Stimulus/S  8	8	379240	4	0	0	1
758.51	64	Stimulus/S  4	4	379255	4	0	0	1
758.542	64	Stimulus/S  4	4	379271	4	0	0	1
758.572	64	Stimulus/S  4	4	379286	4	0	0	1
758.604	64	Stimulus/S  4	4	379302	4	0	0	1
758.662	64	Stimulus/S  1	1	379331	4	0	0	1
854.302	64	Stimulus/S  4	4	427151	5	0	1	1
854.332	64	Stimulus/S  4	4	427166	5	0	1	1
854.364	64	Stimulus/S  4	4	427182	5	0	1	1
854.394	64	Stimulus/S  8	8	427197	5	0	1	1
854.426	64	Stimulus/S  4	4	427213	5	0	1	1
854.456	64	Stimulus/S  8	8	427228	5	0	1	1
854.488	64	Stimulus/S  4	4	427244	5	0	1	1
854.518	64	Stimulus/S  8	8	427259	5	0	1	1
854.562	64	Stimulus/S  1	1	427281	5	0	1	1
947.742	64	Stimulus/S  4	4	473871	4	1	1	1
947.772	64	Stimulus/S  4	4	473886	4	1	1	1
947.804	64	Stimulus/S  4	4	473902	4	1	1	1
947.834	64	Stimulus/S  8	8	473917	4	1	1	1
947.866	64	Stimulus/S  4	4	473933	4	1	1	1
947.896	64	Stimulus/S  4	4	473948	4	1	1	1
947.928	64	Stimulus/S  8	8	473964	4	1	1	1
947.958	64	Stimulus/S  8	8	473979	4	1	1	1
948.012	64	Stimulus/S  1	1	474006	4	1	1	1
1047.538	64	Stimulus/S  4	4	523769	5	1	0	1
1047.57	64	Stimulus/S  4	4	523785	5	1	0	1
1047.6	64	Stimulus/S  4	4	523800	5	1	0	1
1047.632	64	Stimulus/S  8	8	523816	5	1	0	1
1047.662	64	Stimulus/S  4	4	523831	5	1	0	1
1047.694	64	Stimulus/S  8	8	523847	5	1	0	1
1047.724	64	Stimulus/S  8	8	523862	5	1	0	1
1047.756	64	Stimulus/S  4	4	523878	5	1	0	1
1047.812	64	Stimulus/S  1	1	523906	5	1	0	1
1154.45	64	Stimulus/S  4	4	577225	6	1	0	1
1154.482	64	Stimulus/S  4	4	577241	6	1	0	1
1154.512	64	Stimulus/S  4	4	577256	6	1	0	1
1154.544	64	Stimulus/S  8	8	577272	6	1	0	1
1154.574	64	Stimulus/S  8	8	577287	6	1	0	1
1154.606	64	Stimulus/S  4	4	577303	6	1	0	1
1154.636	64	Stimulus/S  8	8	577318	6	1	0	1
1154.668	64	Stimulus/S  4	4	577334	6	1	0	1
1154.71	64	Stimulus/S  1	1	577355	6	1	0	1
1244.802	64	Stimulus/S  4	4	622401	7	1	1	1
1244.832	64	Stimulus/S  4	4	622416	7	1	1	1
1244.864	64	Stimulus/S  4	4	622432	7	1	1	1
1244.894	64	Stimulus/S  8	8	622447	7	1	1	1
1244.926	64	Stimulus/S  8	8	622463	7	1	1	1
1244.956	64	Stimulus/S  8	8	622478	7	1	1	1
1244.988	64	Stimulus/S  8	8	622494	7	1	1	1
1245.018	64	Stimulus/S  8	8	622509	7	1	1	1
1245.06	64	Stimulus/S  1	1	622530	7	1	1	1
1344.072	64	Stimulus/S  4	4	672036	6	0	1	1
1344.104	64	Stimulus/S  4	4	672052	6	0	1	1
1344.134	64	Stimulus/S  4	4	672067	6	0	1	1
1344.166	64	Stimulus/S  8	8	672083	6	0	1	1
1344.196	64	Stimulus/S  8	8	672098	6	0	1	1
1344.228	64	Stimulus/S  4	4	672114	6	0	1	1
1344.258	64	Stimulus/S  4	4	672129	6	0	1	1
1344.29	64	Stimulus/S  8	8	672145	6	0	1	1
1344.344	64	Stimulus/S  1	1	672172	6	0	1	1
1428.144	64	Stimulus/S  4	4	714072	7	0	0	1
1428.174	64	Stimulus/S  4	4	714087	7	0	0	1
1428.206	64	Stimulus/S  4	4	714103	7	0	0	1
1428.236	64	Stimulus/S  8	8	714118	7	0	0	1
1428.268	64	Stimulus/S  8	8	714134	7	0	0	1
1428.298	64	Stimulus/S  8	8	714149	7	0	0	1
1428.33	64	Stimulus/S  4	4	714165	7	0	0	1
1428.36	64	Stimulus/S  4	4	714180	7	0	0	1
1428.41	64	Stimulus/S  1	1	714205	7	0	0	1
1525.97	64	Stimulus/S  4	4	762985	8	0	0	1
1526.0	64	Stimulus/S  4	4	763000	8	0	0	1
1526.032	64	Stimulus/S  8	8	763016	8	0	0	1
1526.062	64	Stimulus/S  4	4	763031	8	0	0	1
