onset	duration	trial_type	value	sample	attend	chapter
20.2371	64.0	Stimulus/S  1	1	202371	Female	0
20.2372	64.0	Stimulus/S  4	4	202372	Female	0
20.2373	64.0	Stimulus/S  4	4	202373	Female	0
20.2374	64.0	Stimulus/S  4	4	202374	Female	0
20.2375	64.0	Stimulus/S  4	4	202375	Female	0
20.2376	64.0	Stimulus/S  4	4	202376	Female	0
20.2377	64.0	Stimulus/S  4	4	202377	Female	0
20.2378	64.0	Stimulus/S  4	4	202378	Female	0
84.2178	64.0	Stimulus/S  2	2	842178	Female	0
97.264	64.0	Stimulus/S  1	1	972640	Female	1
97.2641	64.0	Stimulus/S  4	4	972641	Female	1
97.2642	64.0	Stimulus/S  4	4	972642	Female	1
97.2643	64.0	Stimulus/S  4	4	972643	Female	1
97.2644	64.0	Stimulus/S  4	4	972644	Female	1
97.2645	64.0	Stimulus/S  4	4	972645	Female	1
97.2646	64.0	Stimulus/S  4	4	972646	Female	1
97.2647	64.0	Stimulus/S  8	8	972647	Female	1
161.2448	64.0	Stimulus/S  2	2	1612448	Female	1
182.563	64.0	Stimulus/S  1	1	1825630	Male	0
182.5631	64.0	Stimulus/S  8	8	1825631	Male	0
182.5632	64.0	Stimulus/S  4	4	1825632	Male	0
182.5633	64.0	Stimulus/S  4	4	1825633	Male	0
182.5634	64.0	Stimulus/S  4	4	1825634	Male	0
182.5635	64.0	Stimulus/S  4	4	1825635	Male	0
182.5636	64.0	Stimulus/S  4	4	1825636	Male	0
182.5637	64.0	Stimulus/S  4	4	1825637	Male	0
246.5438	64.0	Stimulus/S  2	2	2465438	Male	0
260.3199	64.0	Stimulus/S  1	1	2603199	Male	1
260.32	64.0	Stimulus/S  8	8	2603200	Male	1
260.3201	64.0	Stimulus/S  4	4	2603201	Male	1
260.3202	64.0	Stimulus/S  4	4	2603202	Male	1
260.3203	64.0	Stimulus/S  4	4	2603203	Male	1
260.3204	64.0	Stimulus/S  4	4	2603204	Male	1
260.3205	64.0	Stimulus/S  4	4	2603205	Male	1
260.3206	64.0	Stimulus/S  8	8	2603206	Male	1
324.3007	64.0	Stimulus/S  2	2	3243007	Male	1
342.2329	64.0	Stimulus/S  1	1	3422329	Male	2
342.233	64.0	Stimulus/S  8	8	3422330	Male	2
342.2331	64.0	Stimulus/S  4	4	3422331	Male	2
342.2332	64.0	Stimulus/S  4	4	3422332	Male	2
342.2333	64.0	Stimulus/S  4	4	3422333	Male	2
342.2334	64.0	Stimulus/S  4	4	3422334	Male	2
342.2335	64.0	Stimulus/S  8	8	3422335	Male	2
342.2336	64.0	Stimulus/S  4	4	3422336	Male	2
406.2136	64.0	Stimulus/S  2	2	4062136	Male	2
424.9258	64.0	Stimulus/S  1	1	4249258	Male	3
424.9259	64.0	Stimulus/S  8	8	4249259	Male	3
424.926	64.0	Stimulus/S  4	4	4249260	Male	3
424.9261	64.0	Stimulus/S  4	4	4249261	Male	3
424.9262	64.0	Stimulus/S  4	4	4249262	Male	3
424.9263	64.0	Stimulus/S  4	4	4249263	Male	3
424.9264	64.0	Stimulus/S  8	8	4249264	Male	3
424.9265	64.0	Stimulus/S  8	8	4249265	Male	3
488.9066	64.0	Stimulus/S  2	2	4889066	Male	3
503.5988	64.0	Stimulus/S  1	1	5035988	Female	2
503.5989	64.0	Stimulus/S  4	4	5035989	Female	2
503.599	64.0	Stimulus/S  4	4	5035990	Female	2
503.5991	64.0	Stimulus/S  4	4	5035991	Female	2
503.5992	64.0	Stimulus/S  4	4	5035992	Female	2
503.5993	64.0	Stimulus/S  4	4	5035993	Female	2
503.5994	64.0	Stimulus/S  8	8	5035994	Female	2
503.5995	64.0	Stimulus/S  4	4	5035995	Female	2
567.5795	64.0	Stimulus/S  2	2	5675795	Female	2
581.2477	64.0	Stimulus/S  1	1	5812477	Female	3
581.2478	64.0	Stimulus/S  4	4	5812478	Female	3
581.2479	64.0	Stimulus/S  4	4	5812479	Female	3
581.248	64.0	Stimulus/S  4	4	5812480	Female	3
581.2481	64.0	Stimulus/S  4	4	5812481	Female	3
581.2482	64.0	Stimulus/S  4	4	5812482	Female	3
581.2483	64.0	Stimulus/S  8	8	5812483	Female	3
581.2484	64.0	Stimulus/S  8	8	5812484	Female	3
645.2284	64.0	Stimulus/S  2	2	6452284	Female	3
669.9867	64.0	Stimulus/S  1	1	6699867	Female	4
669.9868	64.0	Stimulus/S  4	4	6699868	Female	4
669.9869	64.0	Stimulus/S  4	4	6699869	Female	4
669.987	64.0	Stimulus/S  4	4	6699870	Female	4
669.9871	64.0	Stimulus/S  4	4	6699871	Female	4
669.9872	64.0	Stimulus/S  8	8	6699872	Female	4
669.9873	64.0	Stimulus/S  4	4	6699873	Female	4
669.9874	64.0	Stimulus/S  4	4	6699874	Female	4
733.9675	64.0	Stimulus/S  2	2	7339675	Female	4
751.9117	64.0	Stimulus/S  1	1	7519117	Female	5
751.9118	64.0	Stimulus/S  4	4	7519118	Female	5
751.9119	64.0	Stimulus/S  4	4	7519119	Female	5
751.912	64.0	Stimulus/S  4	4	7519120	Female	5
751.9121	64.0	Stimulus/S  4	4	7519121	Female	5
751.9122	64.0	Stimulus/S  8	8	7519122	Female	5
751.9123	64.0	Stimulus/S  4	4	7519123	Female	5
751.9124	64.0	Stimulus/S  8	8	7519124	Female	5
815.8924	64.0	Stimulus/S  2	2	8158924	Female	5
837.8647	64.0	Stimulus/S  1	1	8378647	Male	4
837.8648	64.0	Stimulus/S  8	8	8378648	Male	4
837.8649	64.0	Stimulus/S  4	4	8378649	Male	4
837.865	64.0	Stimulus/S  4	4	8378650	Male	4
837.8651	64.0	Stimulus/S  4	4	8378651	Male	4
837.8652	64.0	Stimulus/S  8	8	8378652	Male	4
837.8653	64.0	Stimulus/S  4	4	8378653	Male	4
837.8654	64.0	Stimulus/S  4	4	8378654	Male	4
901.8454	64.0	Stimulus/S  2	2	9018454	Male	4
919.7616	64.0	Stimulus/S  1	1	9197616	Male	5
919.7617	64.0	Stimulus/S  8	8	9197617	Male	5
919.7618	64.0	Stimulus/S  4	4	9197618	Male	5
919.7619	64.0	Stimulus/S  4	4	9197619	Male	5
919.762	64.0	Stimulus/S  4	4	9197620	Male	5
919.7621	64.0	Stimulus/S  8	8	9197621	Male	5
919.7622	64.0	Stimulus/S  4	4	9197622	Male	5
919.7623	64.0	Stimulus/S  8	8	9197623	Male	5
983.7424	64.0	Stimulus/S  2	2	9837424	Male	5
1089.7017	64.0	Stimulus/S  1	1	10897017	Male	6
1089.7018	64.0	Stimulus/S  8	8	10897018	Male	6
1089.7019	64.0	Stimulus/S  4	4	10897019	Male	6
1089.702	64.0	Stimulus/S  4	4	10897020	Male	6
1089.7021	64.0	Stimulus/S  4	4	10897021	Male	6
1089.7022	64.0	Stimulus/S  8	8	10897022	Male	6
1089.7023	64.0	Stimulus/S  8	8	10897023	Male	6
1089.7024	64.0	Stimulus/S  4	4	10897024	Male	6
1153.6823	64.0	Stimulus/S  2	2	11536823	Male	6
1178.4886	64.0	Stimulus/S  1	1	11784886	Male	7
1178.4887	64.0	Stimulus/S  8	8	11784887	Male	7
1178.4888	64.0	Stimulus/S  4	4	11784888	Male	7
1178.4889	64.0	Stimulus/S  4	4	11784889	Male	7
1178.489	64.0	Stimulus/S  4	4	11784890	Male	7
1178.4891	64.0	Stimulus/S  8	8	11784891	Male	7
1178.4892	64.0	Stimulus/S  8	8	11784892	Male	7
1178.4893	64.0	Stimulus/S  8	8	11784893	Male	7
1242.4694	64.0	Stimulus/S  2	2	12424694	Male	7
1265.8217	64.0	Stimulus/S  1	1	12658217	Female	6
1265.8218	64.0	Stimulus/S  4	4	12658218	Female	6
1265.8219	64.0	Stimulus/S  4	4	12658219	Female	6
1265.822	64.0	Stimulus/S  4	4	12658220	Female	6
1265.8221	64.0	Stimulus/S  4	4	12658221	Female	6
1265.8222	64.0	Stimulus/S  8	8	12658222	Female	6
1265.8223	64.0	Stimulus/S  8	8	12658223	Female	6
1265.8224	64.0	Stimulus/S  4	4	12658224	Female	6
1329.8024	64.0	Stimulus/S  2	2	13298024	Female	6
1342.8185	64.0	Stimulus/S  1	1	13428185	Female	7
1342.8186	64.0	Stimulus/S  4	4	13428186	Female	7
1342.8187	64.0	Stimulus/S  4	4	13428187	Female	7
1342.8188	64.0	Stimulus/S  4	4	13428188	Female	7
1342.8189	64.0	Stimulus/S  4	4	13428189	Female	7
1342.819	64.0	Stimulus/S  8	8	13428190	Female	7
1342.8191	64.0	Stimulus/S  8	8	13428191	Female	7
1342.8192	64.0	Stimulus/S  8	8	13428192	Female	7
1406.7992	64.0	Stimulus/S  2	2	14067992	Female	7
1423.1594	64.0	Stimulus/S  1	1	14231594	Female	8
1423.1595	64.0	Stimulus/S  4	4	14231595	Female	8
1423.1596	64.0	Stimulus/S  4	4	14231596	Female	8
1423.1597	64.0	Stimulus/S  4	4	14231597	Female	8
1423.1598	64.0	Stimulus/S  8	8	14231598	Female	8
1423.1599	64.0	Stimulus/S  4	4	14231599	Female	8
1423.16	64.0	Stimulus/S  4	4	14231600	Female	8
1423.1601	64.0	Stimulus/S  4	4	14231601	Female	8
1487.1403	64.0	Stimulus/S  2	2	14871403	Female	8
1510.6744	64.0	Stimulus/S  1	1	15106744	Female	9
1510.6745	64.0	Stimulus/S  4	4	15106745	Female	9
1510.6746	64.0	Stimulus/S  4	4	15106746	Female	9
1510.6747	64.0	Stimulus/S  4	4	15106747	Female	9
1510.6748	64.0	Stimulus/S  8	8	15106748	Female	9
1510.6749	64.0	Stimulus/S  4	4	15106749	Female	9
1510.675	64.0	Stimulus/S  4	4	15106750	Female	9
1510.6751	64.0	Stimulus/S  8	8	15106751	Female	9
1574.6552	64.0	Stimulus/S  2	2	15746552	Female	9
1595.7474	64.0	Stimulus/S  1	1	15957474	Male	8
1595.7475	64.0	Stimulus/S  8	8	15957475	Male	8
1595.7476	64.0	Stimulus/S  4	4	15957476	Male	8
1595.7477	64.0	Stimulus/S  4	4	15957477	Male	8
1595.7478	64.0	Stimulus/S  8	8	15957478	Male	8
1595.7479	64.0	Stimulus/S  4	4	15957479	Male	8
1595.748	64.0	Stimulus/S  4	4	15957480	Male	8
1595.7481	64.0	Stimulus/S  4	4	15957481	Male	8
1659.7281	64.0	Stimulus/S  2	2	16597281	Male	8
1684.4724	64.0	Stimulus/S  1	1	16844724	Male	9
1684.4725	64.0	Stimulus/S  8	8	16844725	Male	9
1684.4726	64.0	Stimulus/S  4	4	16844726	Male	9
1684.4727	64.0	Stimulus/S  4	4	16844727	Male	9
1684.4728	64.0	Stimulus/S  8	8	16844728	Male	9
1684.4729	64.0	Stimulus/S  4	4	16844729	Male	9
1684.473	64.0	Stimulus/S  4	4	16844730	Male	9
1684.4731	64.0	Stimulus/S  8	8	16844731	Male	9
1748.4532	64.0	Stimulus/S  2	2	17484532	Male	9
1766.3954	64.0	Stimulus/S  1	1	17663954	Male	10
1766.3955	64.0	Stimulus/S  8	8	17663955	Male	10
1766.3956	64.0	Stimulus/S  4	4	17663956	Male	10
1766.3957	64.0	Stimulus/S  4	4	17663957	Male	10
1766.3958	64.0	Stimulus/S  8	8	17663958	Male	10
1766.3959	64.0	Stimulus/S  4	4	17663959	Male	10
1766.396	64.0	Stimulus/S  8	8	17663960	Male	10
1766.3961	64.0	Stimulus/S  4	4	17663961	Male	10
1830.3761	64.0	Stimulus/S  2	2	18303761	Male	10
1860.6344	64.0	Stimulus/S  1	1	18606344	Male	11
1860.6345	64.0	Stimulus/S  8	8	18606345	Male	11
1860.6346	64.0	Stimulus/S  4	4	18606346	Male	11
1860.6347	64.0	Stimulus/S  4	4	18606347	Male	11
1860.6348	64.0	Stimulus/S  8	8	18606348	Male	11
1860.6349	64.0	Stimulus/S  4	4	18606349	Male	11
1860.635	64.0	Stimulus/S  8	8	18606350	Male	11
1860.6351	64.0	Stimulus/S  8	8	18606351	Male	11
1924.6152	64.0	Stimulus/S  2	2	19246152	Male	11
1954.1895	64.0	Stimulus/S  1	1	19541895	Female	10
1954.1896	64.0	Stimulus/S  4	4	19541896	Female	10
1954.1897	64.0	Stimulus/S  4	4	19541897	Female	10
1954.1898	64.0	Stimulus/S  4	4	19541898	Female	10
1954.1899	64.0	Stimulus/S  8	8	19541899	Female	10
1954.19	64.0	Stimulus/S  4	4	19541900	Female	10
1954.1901	64.0	Stimulus/S  8	8	19541901	Female	10
1954.1902	64.0	Stimulus/S  4	4	19541902	Female	10
2018.1702	64.0	Stimulus/S  2	2	20181702	Female	10
2034.8744	64.0	Stimulus/S  1	1	20348744	Female	11
2034.8745	64.0	Stimulus/S  4	4	20348745	Female	11
2034.8746	64.0	Stimulus/S  4	4	20348746	Female	11
2034.8747	64.0	Stimulus/S  4	4	20348747	Female	11
2034.8748	64.0	Stimulus/S  8	8	20348748	Female	11
2034.8749	64.0	Stimulus/S  4	4	20348749	Female	11
2034.875	64.0	Stimulus/S  8	8	20348750	Female	11
2034.8751	64.0	Stimulus/S  8	8	20348751	Female	11
2098.8552	64.0	Stimulus/S  2	2	20988552	Female	11
2126.1194	64.0	Stimulus/S  1	1	21261194	Female	12
2126.1195	64.0	Stimulus/S  4	4	21261195	Female	12
2126.1196	64.0	Stimulus/S  4	4	21261196	Female	12
2126.1197	64.0	Stimulus/S  4	4	21261197	Female	12
2126.1198	64.0	Stimulus/S  8	8	21261198	Female	12
2126.1199	64.0	Stimulus/S  8	8	21261199	Female	12
2126.12	64.0	Stimulus/S  4	4	21261200	Female	12
2126.1201	64.0	Stimulus/S  4	4	21261201	Female	12
2190.1001	64.0	Stimulus/S  2	2	21901001	Female	12
2216.6584	64.0	Stimulus/S  1	1	22166584	Female	13
2216.6585	64.0	Stimulus/S  4	4	22166585	Female	13
2216.6586	64.0	Stimulus/S  4	4	22166586	Female	13
2216.6587	64.0	Stimulus/S  4	4	22166587	Female	13
2216.6588	64.0	Stimulus/S  8	8	22166588	Female	13
2216.6589	64.0	Stimulus/S  8	8	22166589	Female	13
2216.659	64.0	Stimulus/S  4	4	22166590	Female	13
2216.6591	64.0	Stimulus/S  8	8	22166591	Female	13
2280.6392	64.0	Stimulus/S  2	2	22806392	Female	13
2306.9495	64.0	Stimulus/S  1	1	23069495	Male	12
2306.9496	64.0	Stimulus/S  8	8	23069496	Male	12
2306.9497	64.0	Stimulus/S  4	4	23069497	Male	12
2306.9498	64.0	Stimulus/S  4	4	23069498	Male	12
2306.9499	64.0	Stimulus/S  8	8	23069499	Male	12
2306.95	64.0	Stimulus/S  8	8	23069500	Male	12
2306.9501	64.0	Stimulus/S  4	4	23069501	Male	12
2306.9502	64.0	Stimulus/S  4	4	23069502	Male	12
2370.9302	64.0	Stimulus/S  2	2	23709302	Male	12
2404.3945	64.0	Stimulus/S  1	1	24043945	Male	13
2404.3946	64.0	Stimulus/S  8	8	24043946	Male	13
2404.3947	64.0	Stimulus/S  4	4	24043947	Male	13
2404.3948	64.0	Stimulus/S  4	4	24043948	Male	13
2404.3949	64.0	Stimulus/S  8	8	24043949	Male	13
2404.395	64.0	Stimulus/S  8	8	24043950	Male	13
2404.3951	64.0	Stimulus/S  4	4	24043951	Male	13
2404.3952	64.0	Stimulus/S  8	8	24043952	Male	13
2468.3755	64.0	Stimulus/S  2	2	24683755	Male	13
2490.0796	64.0	Stimulus/S  1	1	24900796	Male	14
2490.0797	64.0	Stimulus/S  8	8	24900797	Male	14
2490.0798	64.0	Stimulus/S  4	4	24900798	Male	14
2490.0799	64.0	Stimulus/S  4	4	24900799	Male	14
2490.08	64.0	Stimulus/S  8	8	24900800	Male	14
2490.0801	64.0	Stimulus/S  8	8	24900801	Male	14
