onset	duration	trial_type	value	sample	trial_order	focus_order	EEG_trigger
7.60016	171.13464583333334	Stimulus/S  1	1	190004	3	1	1
7.62016	171.13464583333334	Stimulus/S  4	4	190504	3	1	1
7.64016	171.13464583333334	Stimulus/S  8	8	191004	3	1	1
7.66016	171.13464583333334	Stimulus/S  8	8	191504	3	1	1
7.68016	171.13464583333334	Stimulus/S  8	8	192004	3	1	1
178.71684	171.13464583333334	Stimulus/S  2	2	4467921	3	1	1
179.1802	171.13464583333334	Stimulus/S  1	1	4479505	3	1	1
179.2002	171.13464583333334	Stimulus/S  4	4	4480005	3	1	1
179.2202	171.13464583333334	Stimulus/S  8	8	4480505	3	1	1
179.2402	171.13464583333334	Stimulus/S  8	8	4481005	3	1	1
179.2602	171.13464583333334	Stimulus/S  8	8	4481505	3	1	1
350.29688	171.13464583333334	Stimulus/S  2	2	8757422	3	1	1
350.75224	171.13464583333334	Stimulus/S  1	1	8768806	3	1	1
350.77224	171.13464583333334	Stimulus/S  4	4	8769306	3	1	1
350.79224	171.13464583333334	Stimulus/S  8	8	8769806	3	1	1
350.81224	171.13464583333334	Stimulus/S  8	8	8770306	3	1	1
350.83224	171.13464583333334	Stimulus/S  8	8	8770806	3	1	1
521.86888	171.13464583333334	Stimulus/S  2	2	13046722	3	1	1
522.33224	171.13464583333334	Stimulus/S  1	1	13058306	3	1	1
522.35224	171.13464583333334	Stimulus/S  4	4	13058806	3	1	1
522.37228	171.13464583333334	Stimulus/S  8	8	13059307	3	1	1
522.39228	171.13464583333334	Stimulus/S  8	8	13059807	3	1	1
522.41228	171.13464583333334	Stimulus/S  8	8	13060307	3	1	1
693.44892	171.13464583333334	Stimulus/S  2	2	17336223	3	1	1
693.90628	171.13464583333334	Stimulus/S  1	1	17347657	4	1	1
693.92628	171.13464583333334	Stimulus/S  8	8	17348157	4	1	1
693.94628	171.13464583333334	Stimulus/S  4	4	17348657	4	1	1
693.96628	171.13464583333334	Stimulus/S  4	4	17349157	4	1	1
693.98628	171.13464583333334	Stimulus/S  8	8	17349657	4	1	1
865.02296	171.13464583333334	Stimulus/S  2	2	21625574	4	1	1
865.50832	171.13464583333334	Stimulus/S  1	1	21637708	4	1	1
865.52832	171.13464583333334	Stimulus/S  8	8	21638208	4	1	1
865.54832	171.13464583333334	Stimulus/S  4	4	21638708	4	1	1
865.56832	171.13464583333334	Stimulus/S  4	4	21639208	4	1	1
865.58832	171.13464583333334	Stimulus/S  8	8	21639708	4	1	1
1036.625	171.13464583333334	Stimulus/S  2	2	25915625	4	1	1
1037.07636	171.13464583333334	Stimulus/S  1	1	25926909	4	1	1
1037.09636	171.13464583333334	Stimulus/S  8	8	25927409	4	1	1
1037.11636	171.13464583333334	Stimulus/S  4	4	25927909	4	1	1
1037.13636	171.13464583333334	Stimulus/S  4	4	25928409	4	1	1
1037.15636	171.13464583333334	Stimulus/S  8	8	25928909	4	1	1
1208.193	171.13464583333334	Stimulus/S  2	2	30204825	4	1	1
1208.65836	171.13464583333334	Stimulus/S  1	1	30216459	4	1	1
1208.67836	171.13464583333334	Stimulus/S  8	8	30216959	4	1	1
1208.69836	171.13464583333334	Stimulus/S  4	4	30217459	4	1	1
1208.71836	171.13464583333334	Stimulus/S  4	4	30217959	4	1	1
1208.73836	171.13464583333334	Stimulus/S  8	8	30218459	4	1	1
1379.77504	171.13464583333334	Stimulus/S  2	2	34494376	4	1	1
1380.2384	171.13464583333334	Stimulus/S  1	1	34505960	1	1	1
1380.2584	171.13464583333334	Stimulus/S  4	4	34506460	1	1	1
1380.2784	171.13464583333334	Stimulus/S  4	4	34506960	1	1	1
1380.2984	171.13464583333334	Stimulus/S  8	8	34507460	1	1	1
1380.3184	171.13464583333334	Stimulus/S  8	8	34507960	1	1	1
1551.35504	171.13464583333334	Stimulus/S  2	2	38783876	1	1	1
1551.8284	171.13464583333334	Stimulus/S  1	1	38795710	1	1	1
1551.8484	171.13464583333334	Stimulus/S  4	4	38796210	1	1	1
1551.8684	171.13464583333334	Stimulus/S  4	4	38796710	1	1	1
1551.8884	171.13464583333334	Stimulus/S  8	8	38797210	1	1	1
1551.9084	171.13464583333334	Stimulus/S  8	8	38797710	1	1	1
1722.94504	171.13464583333334	Stimulus/S  2	2	43073626	1	1	1
1723.4104	171.13464583333334	Stimulus/S  1	1	43085260	1	1	1
1723.4304	171.13464583333334	Stimulus/S  4	4	43085760	1	1	1
1723.4504	171.13464583333334	Stimulus/S  4	4	43086260	1	1	1
1723.4704	171.13464583333334	Stimulus/S  8	8	43086760	1	1	1
1723.4904	171.13464583333334	Stimulus/S  8	8	43087260	1	1	1
1894.52704	171.13464583333334	Stimulus/S  2	2	47363176	1	1	1
1895.0084	171.13464583333334	Stimulus/S  1	1	47375210	1	1	1
1895.0284	171.13464583333334	Stimulus/S  4	4	47375710	1	1	1
1895.0484	171.13464583333334	Stimulus/S  4	4	47376210	1	1	1
1895.0684	171.13464583333334	Stimulus/S  8	8	47376710	1	1	1
1895.0884	171.13464583333334	Stimulus/S  8	8	47377210	1	1	1
2066.12504	171.13464583333334	Stimulus/S  2	2	51653126	1	1	1
2066.5864	171.13464583333334	Stimulus/S  1	1	51664660	2	1	1
2066.6064	171.13464583333334	Stimulus/S  4	4	51665160	2	1	1
2066.6264	171.13464583333334	Stimulus/S  8	8	51665660	2	1	1
2066.6464	171.13464583333334	Stimulus/S  4	4	51666160	2	1	1
2066.6664	171.13464583333334	Stimulus/S  8	8	51666660	2	1	1
2237.70304	171.13464583333334	Stimulus/S  2	2	55942576	2	1	1
2238.1724	171.13464583333334	Stimulus/S  1	1	55954310	2	1	1
2238.1924	171.13464583333334	Stimulus/S  4	4	55954810	2	1	1
2238.2124	171.13464583333334	Stimulus/S  8	8	55955310	2	1	1
2238.2324	171.13464583333334	Stimulus/S  4	4	55955810	2	1	1
2238.2524	171.13464583333334	Stimulus/S  8	8	55956310	2	1	1
2409.28904	171.13464583333334	Stimulus/S  2	2	60232226	2	1	1
2409.7444	171.13464583333334	Stimulus/S  1	1	60243610	2	1	1
2409.7644	171.13464583333334	Stimulus/S  4	4	60244110	2	1	1
2409.7844	171.13464583333334	Stimulus/S  8	8	60244610	2	1	1
2409.8044	171.13464583333334	Stimulus/S  4	4	60245110	2	1	1
2409.8244	171.13464583333334	Stimulus/S  8	8	60245610	2	1	1
2580.861	171.13464583333334	Stimulus/S  2	2	64521525	2	1	1
2581.31436	171.13464583333334	Stimulus/S  1	1	64532859	2	1	1
2581.33436	171.13464583333334	Stimulus/S  4	4	64533359	2	1	1
2581.35436	171.13464583333334	Stimulus/S  8	8	64533859	2	1	1
2581.37436	171.13464583333334	Stimulus/S  4	4	64534359	2	1	1
2581.39436	171.13464583333334	Stimulus/S  8	8	64534859	2	1	1
2752.431	171.13464583333334	Stimulus/S  2	2	68810775	2	1	1
2752.89636	171.13464583333334	Stimulus/S  1	1	68822409	4	0	1
2752.91636	171.13464583333334	Stimulus/S  8	8	68822909	4	0	1
2752.93636	171.13464583333334	Stimulus/S  4	4	68823409	4	0	1
2752.95636	171.13464583333334	Stimulus/S  4	4	68823909	4	0	1
2752.97636	171.13464583333334	Stimulus/S  4	4	68824409	4	0	1
2924.01296	171.13464583333334	Stimulus/S  2	2	73100324	4	0	1
2924.53036	171.13464583333334	Stimulus/S  1	1	73113259	4	0	1
2924.55036	171.13464583333334	Stimulus/S  8	8	73113759	4	0	1
2924.57036	171.13464583333334	Stimulus/S  4	4	73114259	4	0	1
2924.59036	171.13464583333334	Stimulus/S  4	4	73114759	4	0	1
2924.61036	171.13464583333334	Stimulus/S  4	4	73115259	4	0	1
3095.64696	171.13464583333334	Stimulus/S  2	2	77391174	4	0	1
3096.10032	171.13464583333334	Stimulus/S  1	1	77402508	4	0	1
3096.12032	171.13464583333334	Stimulus/S  8	8	77403008	4	0	1
3096.14032	171.13464583333334	Stimulus/S  4	4	77403508	4	0	1
3096.16032	171.13464583333334	Stimulus/S  4	4	77404008	4	0	1
3096.18032	171.13464583333334	Stimulus/S  4	4	77404508	4	0	1
3267.21696	171.13464583333334	Stimulus/S  2	2	81680424	4	0	1
3267.68432	171.13464583333334	Stimulus/S  1	1	81692108	4	0	1
3267.70432	171.13464583333334	Stimulus/S  8	8	81692608	4	0	1
3267.72432	171.13464583333334	Stimulus/S  4	4	81693108	4	0	1
3267.74432	171.13464583333334	Stimulus/S  4	4	81693608	4	0	1
3267.76432	171.13464583333334	Stimulus/S  4	4	81694108	4	0	1
3438.80092	171.13464583333334	Stimulus/S  2	2	85970023	4	0	1
3439.26828	171.13464583333334	Stimulus/S  1	1	85981707	1	0	1
3439.28828	171.13464583333334	Stimulus/S  4	4	85982207	1	0	1
3439.30828	171.13464583333334	Stimulus/S  4	4	85982707	1	0	1
3439.32828	171.13464583333334	Stimulus/S  8	8	85983207	1	0	1
3439.34828	171.13464583333334	Stimulus/S  4	4	85983707	1	0	1
3610.38488	171.13464583333334	Stimulus/S  2	2	90259622	1	0	1
3610.88224	171.13464583333334	Stimulus/S  1	1	90272056	1	0	1
3610.90224	171.13464583333334	Stimulus/S  4	4	90272556	1	0	1
3610.92224	171.13464583333334	Stimulus/S  4	4	90273056	1	0	1
3610.94224	171.13464583333334	Stimulus/S  8	8	90273556	1	0	1
3610.96224	171.13464583333334	Stimulus/S  4	4	90274056	1	0	1
3781.99888	171.13464583333334	Stimulus/S  2	2	94549972	1	0	1
3782.46424	171.13464583333334	Stimulus/S  1	1	94561606	1	0	1
3782.48424	171.13464583333334	Stimulus/S  4	4	94562106	1	0	1
3782.50424	171.13464583333334	Stimulus/S  4	4	94562606	1	0	1
3782.52424	171.13464583333334	Stimulus/S  8	8	94563106	1	0	1
3782.54424	171.13464583333334	Stimulus/S  4	4	94563606	1	0	1
3953.58084	171.13464583333334	Stimulus/S  2	2	98839521	1	0	1
3954.1062	171.13464583333334	Stimulus/S  1	1	98852655	1	0	1
3954.1262	171.13464583333334	Stimulus/S  4	4	98853155	1	0	1
3954.1462	171.13464583333334	Stimulus/S  4	4	98853655	1	0	1
3954.1662	171.13464583333334	Stimulus/S  8	8	98854155	1	0	1
3954.1862	171.13464583333334	Stimulus/S  4	4	98854655	1	0	1
4125.22284	171.13464583333334	Stimulus/S  2	2	103130571	1	0	1
4125.69416	171.13464583333334	Stimulus/S  1	1	103142354	3	0	1
4125.7142	171.13464583333334	Stimulus/S  4	4	103142855	3	0	1
4125.7342	171.13464583333334	Stimulus/S  8	8	103143355	3	0	1
4125.7542	171.13464583333334	Stimulus/S  8	8	103143855	3	0	1
4125.7742	171.13464583333334	Stimulus/S  4	4	103144355	3	0	1
4296.8108	171.13464583333334	Stimulus/S  2	2	107420270	3	0	1
4297.28216	171.13464583333334	Stimulus/S  1	1	107432054	3	0	1
4297.30216	171.13464583333334	Stimulus/S  4	4	107432554	3	0	1
4297.32216	171.13464583333334	Stimulus/S  8	8	107433054	3	0	1
4297.34216	171.13464583333334	Stimulus/S  8	8	107433554	3	0	1
4297.36216	171.13464583333334	Stimulus/S  4	4	107434054	3	0	1
4468.39876	171.13464583333334	Stimulus/S  2	2	111709969	3	0	1
4468.87212	171.13464583333334	Stimulus/S  1	1	111721803	3	0	1
4468.89212	171.13464583333334	Stimulus/S  4	4	111722303	3	0	1
4468.91212	171.13464583333334	Stimulus/S  8	8	111722803	3	0	1
4468.93212	171.13464583333334	Stimulus/S  8	8	111723303	3	0	1
4468.95212	171.13464583333334	Stimulus/S  4	4	111723803	3	0	1
4639.98872	171.13464583333334	Stimulus/S  2	2	115999718	3	0	1
4640.46608	171.13464583333334	Stimulus/S  1	1	116011652	3	0	1
4640.48608	171.13464583333334	Stimulus/S  4	4	116012152	3	0	1
4640.50608	171.13464583333334	Stimulus/S  8	8	116012652	3	0	1
4640.52608	171.13464583333334	Stimulus/S  8	8	116013152	3	0	1
4640.54608	171.13464583333334	Stimulus/S  4	4	116013652	3	0	1
4811.58268	171.13464583333334	Stimulus/S  2	2	120289567	3	0	1
4812.04804	171.13464583333334	Stimulus/S  1	1	120301201	2	0	1
4812.06804	171.13464583333334	Stimulus/S  4	4	120301701	2	0	1
4812.08808	171.13464583333334	Stimulus/S  8	8	120302202	2	0	1
4812.10808	171.13464583333334	Stimulus/S  4	4	120302702	2	0	1
4812.12808	171.13464583333334	Stimulus/S  4	4	120303202	2	0	1
4983.16468	171.13464583333334	Stimulus/S  2	2	124579117	2	0	1
4983.65004	171.13464583333334	Stimulus/S  1	1	124591251	2	0	1
4983.67004	171.13464583333334	Stimulus/S  4	4	124591751	2	0	1
4983.69004	171.13464583333334	Stimulus/S  8	8	124592251	2	0	1
4983.71004	171.13464583333334	Stimulus/S  4	4	124592751	2	0	1
4983.73004	171.13464583333334	Stimulus/S  4	4	124593251	2	0	1
5154.76664	171.13464583333334	Stimulus/S  2	2	128869166	2	0	1
5155.23	171.13464583333334	Stimulus/S  1	1	128880750	2	0	1
5155.25	171.13464583333334	Stimulus/S  4	4	128881250	2	0	1
5155.27	171.13464583333334	Stimulus/S  8	8	128881750	2	0	1
5155.29	171.13464583333334	Stimulus/S  4	4	128882250	2	0	1
5155.31	171.13464583333334	Stimulus/S  4	4	128882750	2	0	1
5326.3466	171.13464583333334	Stimulus/S  2	2	133158665	2	0	1
5326.82796	171.13464583333334	Stimulus/S  1	1	133170699	2	0	1
5326.84796	171.13464583333334	Stimulus/S  4	4	133171199	2	0	1
5326.86796	171.13464583333334	Stimulus/S  8	8	133171699	2	0	1
5326.88796	171.13464583333334	Stimulus/S  4	4	133172199	2	0	1
5326.90796	171.13464583333334	Stimulus/S  4	4	133172699	2	0	1
5497.94456	171.13464583333334	Stimulus/S  2	2	137448614	2	0	1
