onset	duration	trial_type	value	sample	attend	chapter
61.5159	64.0	Stimulus/S  1	1	615159	Female	0
61.516	64.0	Stimulus/S  4	4	615160	Female	0
61.5161	64.0	Stimulus/S  4	4	615161	Female	0
61.5162	64.0	Stimulus/S  4	4	615162	Female	0
61.5163	64.0	Stimulus/S  4	4	615163	Female	0
61.5164	64.0	Stimulus/S  4	4	615164	Female	0
61.5165	64.0	Stimulus/S  4	4	615165	Female	0
61.5166	64.0	Stimulus/S  4	4	615166	Female	0
125.4975	64.0	Stimulus/S  2	2	1254975	Female	0
137.2298	64.0	Stimulus/S  1	1	1372298	Female	1
137.2299	64.0	Stimulus/S  4	4	1372299	Female	1
137.23	64.0	Stimulus/S  4	4	1372300	Female	1
137.2301	64.0	Stimulus/S  4	4	1372301	Female	1
137.2302	64.0	Stimulus/S  4	4	1372302	Female	1
137.2303	64.0	Stimulus/S  4	4	1372303	Female	1
137.2304	64.0	Stimulus/S  4	4	1372304	Female	1
137.2305	64.0	Stimulus/S  8	8	1372305	Female	1
201.2114	64.0	Stimulus/S  2	2	2012114	Female	1
213.7877	64.0	Stimulus/S  1	1	2137877	Male	0
213.7878	64.0	Stimulus/S  8	8	2137878	Male	0
213.7879	64.0	Stimulus/S  4	4	2137879	Male	0
213.788	64.0	Stimulus/S  4	4	2137880	Male	0
213.7881	64.0	Stimulus/S  4	4	2137881	Male	0
213.7882	64.0	Stimulus/S  4	4	2137882	Male	0
213.7883	64.0	Stimulus/S  4	4	2137883	Male	0
213.7884	64.0	Stimulus/S  4	4	2137884	Male	0
277.7693	64.0	Stimulus/S  2	2	2777693	Male	0
287.8296	64.0	Stimulus/S  1	1	2878296	Male	1
287.8297	64.0	Stimulus/S  8	8	2878297	Male	1
287.8298	64.0	Stimulus/S  4	4	2878298	Male	1
287.8299	64.0	Stimulus/S  4	4	2878299	Male	1
287.83	64.0	Stimulus/S  4	4	2878300	Male	1
287.8301	64.0	Stimulus/S  4	4	2878301	Male	1
287.8302	64.0	Stimulus/S  4	4	2878302	Male	1
287.8303	64.0	Stimulus/S  8	8	2878303	Male	1
351.8112	64.0	Stimulus/S  2	2	3518112	Male	1
367.1736	64.0	Stimulus/S  1	1	3671736	Male	2
367.1737	64.0	Stimulus/S  8	8	3671737	Male	2
367.1738	64.0	Stimulus/S  4	4	3671738	Male	2
367.1739	64.0	Stimulus/S  4	4	3671739	Male	2
367.174	64.0	Stimulus/S  4	4	3671740	Male	2
367.1741	64.0	Stimulus/S  4	4	3671741	Male	2
367.1742	64.0	Stimulus/S  8	8	3671742	Male	2
367.1743	64.0	Stimulus/S  4	4	3671743	Male	2
431.1552	64.0	Stimulus/S  2	2	4311552	Male	2
442.7434	64.0	Stimulus/S  1	1	4427434	Male	3
442.7435	64.0	Stimulus/S  8	8	4427435	Male	3
442.7436	64.0	Stimulus/S  4	4	4427436	Male	3
442.7437	64.0	Stimulus/S  4	4	4427437	Male	3
442.7438	64.0	Stimulus/S  4	4	4427438	Male	3
442.7439	64.0	Stimulus/S  4	4	4427439	Male	3
442.744	64.0	Stimulus/S  8	8	4427440	Male	3
442.7441	64.0	Stimulus/S  8	8	4427441	Male	3
506.725	64.0	Stimulus/S  2	2	5067250	Male	3
518.1313	64.0	Stimulus/S  1	1	5181313	Female	2
518.1314	64.0	Stimulus/S  4	4	5181314	Female	2
518.1315	64.0	Stimulus/S  4	4	5181315	Female	2
518.1316	64.0	Stimulus/S  4	4	5181316	Female	2
518.1317	64.0	Stimulus/S  4	4	5181317	Female	2
518.1318	64.0	Stimulus/S  4	4	5181318	Female	2
518.1319	64.0	Stimulus/S  8	8	5181319	Female	2
518.132	64.0	Stimulus/S  4	4	5181320	Female	2
582.1129	64.0	Stimulus/S  2	2	5821129	Female	2
592.1152	64.0	Stimulus/S  1	1	5921152	Female	3
592.1153	64.0	Stimulus/S  4	4	5921153	Female	3
592.1154	64.0	Stimulus/S  4	4	5921154	Female	3
592.1155	64.0	Stimulus/S  4	4	5921155	Female	3
592.1156	64.0	Stimulus/S  4	4	5921156	Female	3
592.1157	64.0	Stimulus/S  4	4	5921157	Female	3
