onset	duration	trial_type	value	sample	attend	chapter
61.515	64.0	Stimulus/S  1	1	61515	Female	0
61.516	64.0	Stimulus/S  4	4	61516	Female	0
61.517	64.0	Stimulus/S  4	4	61517	Female	0
61.518	64.0	Stimulus/S  4	4	61518	Female	0
61.519	64.0	Stimulus/S  4	4	61519	Female	0
61.52	64.0	Stimulus/S  4	4	61520	Female	0
61.521	64.0	Stimulus/S  4	4	61521	Female	0
61.522	64.0	Stimulus/S  4	4	61522	Female	0
125.497	64.0	Stimulus/S  2	2	125497	Female	0
137.229	64.0	Stimulus/S  1	1	137229	Female	1
137.23	64.0	Stimulus/S  4	4	137230	Female	1
137.231	64.0	Stimulus/S  4	4	137231	Female	1
137.232	64.0	Stimulus/S  4	4	137232	Female	1
137.233	64.0	Stimulus/S  4	4	137233	Female	1
137.234	64.0	Stimulus/S  4	4	137234	Female	1
137.235	64.0	Stimulus/S  4	4	137235	Female	1
137.236	64.0	Stimulus/S  8	8	137236	Female	1
201.211	64.0	Stimulus/S  2	2	201211	Female	1
213.787	64.0	Stimulus/S  1	1	213787	Male	0
213.788	64.0	Stimulus/S  8	8	213788	Male	0
213.789	64.0	Stimulus/S  4	4	213789	Male	0
213.79	64.0	Stimulus/S  4	4	213790	Male	0
213.791	64.0	Stimulus/S  4	4	213791	Male	0
213.792	64.0	Stimulus/S  4	4	213792	Male	0
213.793	64.0	Stimulus/S  4	4	213793	Male	0
213.794	64.0	Stimulus/S  4	4	213794	Male	0
277.769	64.0	Stimulus/S  2	2	277769	Male	0
287.829	64.0	Stimulus/S  1	1	287829	Male	1
287.83	64.0	Stimulus/S  8	8	287830	Male	1
287.831	64.0	Stimulus/S  4	4	287831	Male	1
287.832	64.0	Stimulus/S  4	4	287832	Male	1
287.833	64.0	Stimulus/S  4	4	287833	Male	1
287.834	64.0	Stimulus/S  4	4	287834	Male	1
287.835	64.0	Stimulus/S  4	4	287835	Male	1
287.836	64.0	Stimulus/S  8	8	287836	Male	1
351.811	64.0	Stimulus/S  2	2	351811	Male	1
367.173	64.0	Stimulus/S  1	1	367173	Male	2
367.174	64.0	Stimulus/S  8	8	367174	Male	2
