onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
22.92	64	Stimulus/S  4	4	11460	0	0	0	1
22.952	64	Stimulus/S  4	4	11476	0	0	0	1
22.982	64	Stimulus/S  4	4	11491	0	0	0	1
23.014	64	Stimulus/S  4	4	11507	0	0	0	1
23.044	64	Stimulus/S  4	4	11522	0	0	0	1
23.076	64	Stimulus/S  4	4	11538	0	0	0	1
23.106	64	Stimulus/S  4	4	11553	0	0	0	1
23.138	64	Stimulus/S  4	4	11569	0	0	0	1
23.19	64	Stimulus/S  1	1	11595	0	0	0	1
115.484	64	Stimulus/S  4	4	57742	1	0	1	1
115.514	64	Stimulus/S  4	4	57757	1	0	1	1
115.546	64	Stimulus/S  4	4	57773	1	0	1	1
115.576	64	Stimulus/S  4	4	57788	1	0	1	1
115.608	64	Stimulus/S  4	4	57804	1	0	1	1
115.638	64	Stimulus/S  8	8	57819	1	0	1	1
115.67	64	Stimulus/S  4	4	57835	1	0	1	1
115.7	64	Stimulus/S  8	8	57850	1	0	1	1
115.756	64	Stimulus/S  1	1	57878	1	0	1	1
217.186	64	Stimulus/S  4	4	108593	0	1	1	1
217.216	64	Stimulus/S  4	4	108608	0	1	1	1
217.248	64	Stimulus/S  4	4	108624	0	1	1	1
217.278	64	Stimulus/S  4	4	108639	0	1	1	1
217.31	64	Stimulus/S  4	4	108655	0	1	1	1
217.34	64	Stimulus/S  4	4	108670	0	1	1	1
217.372	64	Stimulus/S  8	8	108686	0	1	1	1
217.402	64	Stimulus/S  8	8	108701	0	1	1	1
217.456	64	Stimulus/S  1	1	108728	0	1	1	1
305.47	64	Stimulus/S  4	4	152735	1	1	0	1
305.5	64	Stimulus/S  4	4	152750	1	1	0	1
305.532	64	Stimulus/S  4	4	152766	1	1	0	1
305.562	64	Stimulus/S  4	4	152781	1	1	0	1
305.594	64	Stimulus/S  4	4	152797	1	1	0	1
305.624	64	Stimulus/S  8	8	152812	1	1	0	1
305.656	64	Stimulus/S  8	8	152828	1	1	0	1
305.686	64	Stimulus/S  4	4	152843	1	1	0	1
305.74	64	Stimulus/S  1	1	152870	1	1	0	1
408.784	64	Stimulus/S  4	4	204392	2	1	0	1
408.814	64	Stimulus/S  4	4	204407	2	1	0	1
408.846	64	Stimulus/S  4	4	204423	2	1	0	1
408.876	64	Stimulus/S  4	4	204438	2	1	0	1
408.908	64	Stimulus/S  8	8	204454	2	1	0	1
408.938	64	Stimulus/S  4	4	204469	2	1	0	1
408.97	64	Stimulus/S  8	8	204485	2	1	0	1
409.0	64	Stimulus/S  4	4	204500	2	1	0	1
409.056	64	Stimulus/S  1	1	204528	2	1	0	1
499.768	64	Stimulus/S  4	4	249884	3	1	1	1
499.798	64	Stimulus/S  4	4	249899	3	1	1	1
499.83	64	Stimulus/S  4	4	249915	3	1	1	1
499.86	64	Stimulus/S  4	4	249930	3	1	1	1
499.892	64	Stimulus/S  8	8	249946	3	1	1	1
499.922	64	Stimulus/S  8	8	249961	3	1	1	1
499.954	64	Stimulus/S  8	8	249977	3	1	1	1
499.984	64	Stimulus/S  8	8	249992	3	1	1	1
500.04	64	Stimulus/S  1	1	250020	3	1	1	1
597.96	64	Stimulus/S  4	4	298980	2	0	1	1
597.992	64	Stimulus/S  4	4	298996	2	0	1	1
598.022	64	Stimulus/S  4	4	299011	2	0	1	1
598.054	64	Stimulus/S  4	4	299027	2	0	1	1
598.084	64	Stimulus/S  8	8	299042	2	0	1	1
598.116	64	Stimulus/S  4	4	299058	2	0	1	1
598.146	64	Stimulus/S  4	4	299073	2	0	1	1
598.178	64	Stimulus/S  8	8	299089	2	0	1	1
598.222	64	Stimulus/S  1	1	299111	2	0	1	1
685.386	64	Stimulus/S  4	4	342693	3	0	0	1
685.418	64	Stimulus/S  4	4	342709	3	0	0	1
685.448	64	Stimulus/S  4	4	342724	3	0	0	1
685.48	64	Stimulus/S  4	4	342740	3	0	0	1
685.51	64	Stimulus/S  8	8	342755	3	0	0	1
685.542	64	Stimulus/S  8	8	342771	3	0	0	1
685.572	64	Stimulus/S  4	4	342786	3	0	0	1
685.604	64	Stimulus/S  4	4	342802	3	0	0	1
685.656	64	Stimulus/S  1	1	342828	3	0	0	1
812.968	64	Stimulus/S  4	4	406484	4	0	0	1
812.998	64	Stimulus/S  4	4	406499	4	0	0	1
813.03	64	Stimulus/S  4	4	406515	4	0	0	1
813.06	64	Stimulus/S  8	8	406530	4	0	0	1
813.092	64	Stimulus/S  4	4	406546	4	0	0	1
813.122	64	Stimulus/S  4	4	406561	4	0	0	1
813.154	64	Stimulus/S  4	4	406577	4	0	0	1
813.184	64	Stimulus/S  4	4	406592	4	0	0	1
813.238	64	Stimulus/S  1	1	406619	4	0	0	1
901.804	64	Stimulus/S  4	4	450902	5	0	1	1
901.836	64	Stimulus/S  4	4	450918	5	0	1	1
901.866	64	Stimulus/S  4	4	450933	5	0	1	1
901.898	64	Stimulus/S  8	8	450949	5	0	1	1
901.928	64	Stimulus/S  4	4	450964	5	0	1	1
901.96	64	Stimulus/S  8	8	450980	5	0	1	1
901.99	64	Stimulus/S  4	4	450995	5	0	1	1
902.022	64	Stimulus/S  8	8	451011	5	0	1	1
902.072	64	Stimulus/S  1	1	451036	5	0	1	1
997.788	64	Stimulus/S  4	4	498894	4	1	1	1
997.82	64	Stimulus/S  4	4	498910	4	1	1	1
