onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
22.9208	64	Stimulus/S  4	4	229208	0	0	0	1
22.9517	64	Stimulus/S  4	4	229517	0	0	0	1
22.9827	64	Stimulus/S  4	4	229827	0	0	0	1
23.0137	64	Stimulus/S  4	4	230137	0	0	0	1
23.0447	64	Stimulus/S  4	4	230447	0	0	0	1
23.0758	64	Stimulus/S  4	4	230758	0	0	0	1
23.1067	64	Stimulus/S  4	4	231067	0	0	0	1
23.1377	64	Stimulus/S  4	4	231377	0	0	0	1
23.1908	64	Stimulus/S  1	1	231908	0	0	0	1
115.4842	64	Stimulus/S  4	4	1154842	1	0	1	1
115.5152	64	Stimulus/S  4	4	1155152	1	0	1	1
115.5462	64	Stimulus/S  4	4	1155462	1	0	1	1
115.5771	64	Stimulus/S  4	4	1155771	1	0	1	1
115.6081	64	Stimulus/S  4	4	1156081	1	0	1	1
115.6392	64	Stimulus/S  8	8	1156392	1	0	1	1
115.6702	64	Stimulus/S  4	4	1156702	1	0	1	1
115.7012	64	Stimulus/S  8	8	1157012	1	0	1	1
115.7574	64	Stimulus/S  1	1	1157574	1	0	1	1
217.186	64	Stimulus/S  4	4	2171860	0	1	1	1
217.2169	64	Stimulus/S  4	4	2172169	0	1	1	1
217.248	64	Stimulus/S  4	4	2172480	0	1	1	1
217.279	64	Stimulus/S  4	4	2172790	0	1	1	1
217.31	64	Stimulus/S  4	4	2173100	0	1	1	1
217.341	64	Stimulus/S  4	4	2173410	0	1	1	1
217.372	64	Stimulus/S  8	8	2173720	0	1	1	1
217.4029	64	Stimulus/S  8	8	2174029	0	1	1	1
217.4572	64	Stimulus/S  1	1	2174572	0	1	1	1
305.4698	64	Stimulus/S  4	4	3054698	1	1	0	1
305.5007	64	Stimulus/S  4	4	3055007	1	1	0	1
305.5318	64	Stimulus/S  4	4	3055318	1	1	0	1
305.5628	64	Stimulus/S  4	4	3055628	1	1	0	1
305.5938	64	Stimulus/S  4	4	3055938	1	1	0	1
305.6248	64	Stimulus/S  8	8	3056248	1	1	0	1
305.6557	64	Stimulus/S  8	8	3056557	1	1	0	1
305.6867	64	Stimulus/S  4	4	3056867	1	1	0	1
305.7404	64	Stimulus/S  1	1	3057404	1	1	0	1
408.7837	64	Stimulus/S  4	4	4087837	2	1	0	1
408.8147	64	Stimulus/S  4	4	4088147	2	1	0	1
408.8457	64	Stimulus/S  4	4	4088457	2	1	0	1
408.8767	64	Stimulus/S  4	4	4088767	2	1	0	1
408.9077	64	Stimulus/S  8	8	4089077	2	1	0	1
408.9387	64	Stimulus/S  4	4	4089387	2	1	0	1
408.9697	64	Stimulus/S  8	8	4089697	2	1	0	1
409.0007	64	Stimulus/S  4	4	4090007	2	1	0	1
409.0568	64	Stimulus/S  1	1	4090568	2	1	0	1
499.7679	64	Stimulus/S  4	4	4997679	3	1	1	1
499.7989	64	Stimulus/S  4	4	4997989	3	1	1	1
499.8299	64	Stimulus/S  4	4	4998299	3	1	1	1
499.8608	64	Stimulus/S  4	4	4998608	3	1	1	1
499.8918	64	Stimulus/S  8	8	4998918	3	1	1	1
499.9229	64	Stimulus/S  8	8	4999229	3	1	1	1
499.9539	64	Stimulus/S  8	8	4999539	3	1	1	1
499.9849	64	Stimulus/S  8	8	4999849	3	1	1	1
500.04	64	Stimulus/S  1	1	5000400	3	1	1	1
597.9609	64	Stimulus/S  4	4	5979609	2	0	1	1
597.9919	64	Stimulus/S  4	4	5979919	2	0	1	1
598.0229	64	Stimulus/S  4	4	5980229	2	0	1	1
598.0539	64	Stimulus/S  4	4	5980539	2	0	1	1
598.0849	64	Stimulus/S  8	8	5980849	2	0	1	1
598.1159	64	Stimulus/S  4	4	5981159	2	0	1	1
598.1469	64	Stimulus/S  4	4	5981469	2	0	1	1
598.1779	64	Stimulus/S  8	8	5981779	2	0	1	1
598.2232	64	Stimulus/S  1	1	5982232	2	0	1	1
685.3868	64	Stimulus/S  4	4	6853868	3	0	0	1
685.4178	64	Stimulus/S  4	4	6854178	3	0	0	1
685.4488	64	Stimulus/S  4	4	6854488	3	0	0	1
685.4798	64	Stimulus/S  4	4	6854798	3	0	0	1
685.5108	64	Stimulus/S  8	8	6855108	3	0	0	1
685.5418	64	Stimulus/S  8	8	6855418	3	0	0	1
685.5728	64	Stimulus/S  4	4	6855728	3	0	0	1
685.6038	64	Stimulus/S  4	4	6856038	3	0	0	1
685.6563	64	Stimulus/S  1	1	6856563	3	0	0	1
812.9681	64	Stimulus/S  4	4	8129681	4	0	0	1
812.9991	64	Stimulus/S  4	4	8129991	4	0	0	1
813.0301	64	Stimulus/S  4	4	8130301	4	0	0	1
813.0611	64	Stimulus/S  8	8	8130611	4	0	0	1
813.0921	64	Stimulus/S  4	4	8130921	4	0	0	1
813.1231	64	Stimulus/S  4	4	8131231	4	0	0	1
813.1541	64	Stimulus/S  4	4	8131541	4	0	0	1
813.1851	64	Stimulus/S  4	4	8131851	4	0	0	1
813.2394	64	Stimulus/S  1	1	8132394	4	0	0	1
901.8053	64	Stimulus/S  4	4	9018053	5	0	1	1
901.8363	64	Stimulus/S  4	4	9018363	5	0	1	1
901.8673	64	Stimulus/S  4	4	9018673	5	0	1	1
901.8983	64	Stimulus/S  8	8	9018983	5	0	1	1
901.9293	64	Stimulus/S  4	4	9019293	5	0	1	1
901.9603	64	Stimulus/S  8	8	9019603	5	0	1	1
901.9913	64	Stimulus/S  4	4	9019913	5	0	1	1
902.0223	64	Stimulus/S  8	8	9020223	5	0	1	1
902.0725	64	Stimulus/S  1	1	9020725	5	0	1	1
997.7891	64	Stimulus/S  4	4	9977891	4	1	1	1
997.82	64	Stimulus/S  4	4	9978200	4	1	1	1
997.8514	64	Stimulus/S  4	4	9978514	4	1	1	1
997.8824	64	Stimulus/S  8	8	9978824	4	1	1	1
997.9134	64	Stimulus/S  4	4	9979134	4	1	1	1
997.9444	64	Stimulus/S  4	4	9979444	4	1	1	1
997.9755	64	Stimulus/S  8	8	9979755	4	1	1	1
998.0064	64	Stimulus/S  8	8	9980064	4	1	1	1
998.0557	64	Stimulus/S  1	1	9980557	4	1	1	1
1096.1273	64	Stimulus/S  4	4	10961273	5	1	0	1
1096.1583	64	Stimulus/S  4	4	10961583	5	1	0	1
1096.1894	64	Stimulus/S  4	4	10961894	5	1	0	1
1096.2204	64	Stimulus/S  8	8	10962204	5	1	0	1
1096.2514	64	Stimulus/S  4	4	10962514	5	1	0	1
1096.2823	64	Stimulus/S  8	8	10962823	5	1	0	1
1096.3133	64	Stimulus/S  8	8	10963133	5	1	0	1
1096.3443	64	Stimulus/S  4	4	10963443	5	1	0	1
1096.3889	64	Stimulus/S  1	1	10963889	5	1	0	1
1222.5721	64	Stimulus/S  4	4	12225721	6	1	0	1
1222.6031	64	Stimulus/S  4	4	12226031	6	1	0	1
1222.6341	64	Stimulus/S  4	4	12226341	6	1	0	1
1222.6651	64	Stimulus/S  8	8	12226651	6	1	0	1
1222.6962	64	Stimulus/S  8	8	12226962	6	1	0	1
1222.7272	64	Stimulus/S  4	4	12227272	6	1	0	1
1222.7581	64	Stimulus/S  8	8	12227581	6	1	0	1
1222.7891	64	Stimulus/S  4	4	12227891	6	1	0	1
1222.8387	64	Stimulus/S  1	1	12228387	6	1	0	1
1333.4339	64	Stimulus/S  4	4	13334339	7	1	1	1
1333.4649	64	Stimulus/S  4	4	13334649	7	1	1	1
1333.4959	64	Stimulus/S  4	4	13334959	7	1	1	1
1333.5269	64	Stimulus/S  8	8	13335269	7	1	1	1
1333.5579	64	Stimulus/S  8	8	13335579	7	1	1	1
1333.5889	64	Stimulus/S  8	8	13335889	7	1	1	1
1333.6199	64	Stimulus/S  8	8	13336199	7	1	1	1
1333.6509	64	Stimulus/S  8	8	13336509	7	1	1	1
1333.7051	64	Stimulus/S  1	1	13337051	7	1	1	1
1438.6604	64	Stimulus/S  4	4	14386604	6	0	1	1
1438.6913	64	Stimulus/S  4	4	14386913	6	0	1	1
1438.7223	64	Stimulus/S  4	4	14387223	6	0	1	1
1438.7533	64	Stimulus/S  8	8	14387533	6	0	1	1
1438.7843	64	Stimulus/S  8	8	14387843	6	0	1	1
1438.8153	64	Stimulus/S  4	4	14388153	6	0	1	1
1438.8464	64	Stimulus/S  4	4	14388464	6	0	1	1
1438.8773	64	Stimulus/S  8	8	14388773	6	0	1	1
1438.9216	64	Stimulus/S  1	1	14389216	6	0	1	1
1548.0059	64	Stimulus/S  4	4	15480059	7	0	0	1
1548.0369	64	Stimulus/S  4	4	15480369	7	0	0	1
1548.0679	64	Stimulus/S  4	4	15480679	7	0	0	1
1548.0989	64	Stimulus/S  8	8	15480989	7	0	0	1
1548.1299	64	Stimulus/S  8	8	15481299	7	0	0	1
1548.1609	64	Stimulus/S  8	8	15481609	7	0	0	1
1548.1919	64	Stimulus/S  4	4	15481919	7	0	0	1
1548.2229	64	Stimulus/S  4	4	15482229	7	0	0	1
1548.2712	64	Stimulus/S  1	1	15482712	7	0	0	1
1663.8149	64	Stimulus/S  4	4	16638149	8	0	0	1
1663.8459	64	Stimulus/S  4	4	16638459	8	0	0	1
1663.8769	64	Stimulus/S  8	8	16638769	8	0	0	1
1663.9079	64	Stimulus/S  4	4	16639079	8	0	0	1
1663.9389	64	Stimulus/S  4	4	16639389	8	0	0	1
1663.9699	64	Stimulus/S  4	4	16639699	8	0	0	1
1664.0009	64	Stimulus/S  4	4	16640009	8	0	0	1
1664.0319	64	Stimulus/S  4	4	16640319	8	0	0	1
1664.0878	64	Stimulus/S  1	1	16640878	8	0	0	1
1756.3663	64	Stimulus/S  4	4	17563663	9	0	1	1
1756.3973	64	Stimulus/S  4	4	17563973	9	0	1	1
1756.4283	64	Stimulus/S  8	8	17564283	9	0	1	1
1756.4593	64	Stimulus/S  4	4	17564593	9	0	1	1
1756.4912	64	Stimulus/S  4	4	17564912	9	0	1	1
1756.5222	64	Stimulus/S  8	8	17565222	9	0	1	1
1756.5532	64	Stimulus/S  4	4	17565532	9	0	1	1
1756.5842	64	Stimulus/S  8	8	17565842	9	0	1	1
1756.6376	64	Stimulus/S  1	1	17566376	9	0	1	1
1851.1517	64	Stimulus/S  4	4	18511517	8	1	1	1
1851.1827	64	Stimulus/S  4	4	18511827	8	1	1	1
1851.2137	64	Stimulus/S  8	8	18512137	8	1	1	1
1851.2447	64	Stimulus/S  4	4	18512447	8	1	1	1
1851.2757	64	Stimulus/S  4	4	18512757	8	1	1	1
1851.3067	64	Stimulus/S  4	4	18513067	8	1	1	1
1851.3377	64	Stimulus/S  8	8	18513377	8	1	1	1
1851.3687	64	Stimulus/S  8	8	18513687	8	1	1	1
1851.4207	64	Stimulus/S  1	1	18514207	8	1	1	1
1950.4211	64	Stimulus/S  4	4	19504211	9	1	0	1
1950.4521	64	Stimulus/S  4	4	19504521	9	1	0	1
1950.4831	64	Stimulus/S  8	8	19504831	9	1	0	1
1950.5141	64	Stimulus/S  4	4	19505141	9	1	0	1
1950.5451	64	Stimulus/S  4	4	19505451	9	1	0	1
1950.5761	64	Stimulus/S  8	8	19505761	9	1	0	1
1950.6071	64	Stimulus/S  8	8	19506071	9	1	0	1
1950.6381	64	Stimulus/S  4	4	19506381	9	1	0	1
1950.6873	64	Stimulus/S  1	1	19506873	9	1	0	1
2050.029	64	Stimulus/S  4	4	20500290	10	1	0	1
2050.06	64	Stimulus/S  4	4	20500600	10	1	0	1
2050.091	64	Stimulus/S  8	8	20500910	10	1	0	1
2050.122	64	Stimulus/S  4	4	20501220	10	1	0	1
2050.153	64	Stimulus/S  8	8	20501530	10	1	0	1
2050.184	64	Stimulus/S  4	4	20501840	10	1	0	1
2050.215	64	Stimulus/S  8	8	20502150	10	1	0	1
2050.246	64	Stimulus/S  4	4	20502460	10	1	0	1
2050.3036	64	Stimulus/S  1	1	20503036	10	1	0	1
2140.8784	64	Stimulus/S  4	4	21408784	11	1	1	1
2140.9094	64	Stimulus/S  4	4	21409094	11	1	1	1
2140.9404	64	Stimulus/S  8	8	21409404	11	1	1	1
2140.9714	64	Stimulus/S  4	4	21409714	11	1	1	1
2141.0024	64	Stimulus/S  8	8	21410024	11	1	1	1
2141.0334	64	Stimulus/S  8	8	21410334	11	1	1	1
2141.0644	64	Stimulus/S  8	8	21410644	11	1	1	1
2141.0954	64	Stimulus/S  8	8	21410954	11	1	1	1
2141.1536	64	Stimulus/S  1	1	21411536	11	1	1	1
2239.7857	64	Stimulus/S  4	4	22397857	10	0	1	1
2239.8167	64	Stimulus/S  4	4	22398167	10	0	1	1
2239.8477	64	Stimulus/S  8	8	22398477	10	0	1	1
2239.8787	64	Stimulus/S  4	4	22398787	10	0	1	1
2239.9096	64	Stimulus/S  8	8	22399096	10	0	1	1
