onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
16.5307	64	Stimulus/S  4	4	165307	0	0	0	1
16.5616	64	Stimulus/S  4	4	165616	0	0	0	1
16.5926	64	Stimulus/S  4	4	165926	0	0	0	1
16.6236	64	Stimulus/S  4	4	166236	0	0	0	1
16.6546	64	Stimulus/S  4	4	166546	0	0	0	1
16.6856	64	Stimulus/S  4	4	166856	0	0	0	1
16.7167	64	Stimulus/S  4	4	167167	0	0	0	1
16.7476	64	Stimulus/S  4	4	167476	0	0	0	1
16.8	64	Stimulus/S  1	1	168000	0	0	0	1
99.0921	64	Stimulus/S  4	4	990921	1	0	1	1
99.1231	64	Stimulus/S  4	4	991231	1	0	1	1
99.1541	64	Stimulus/S  4	4	991541	1	0	1	1
99.1851	64	Stimulus/S  4	4	991851	1	0	1	1
99.2161	64	Stimulus/S  4	4	992161	1	0	1	1
99.2471	64	Stimulus/S  8	8	992471	1	0	1	1
99.2781	64	Stimulus/S  4	4	992781	1	0	1	1
99.3091	64	Stimulus/S  8	8	993091	1	0	1	1
99.3667	64	Stimulus/S  1	1	993667	1	0	1	1
185.1976	64	Stimulus/S  4	4	1851976	0	1	1	1
185.2287	64	Stimulus/S  4	4	1852287	0	1	1	1
185.2596	64	Stimulus/S  4	4	1852596	0	1	1	1
185.2906	64	Stimulus/S  4	4	1852906	0	1	1	1
185.3216	64	Stimulus/S  4	4	1853216	0	1	1	1
185.3526	64	Stimulus/S  4	4	1853526	0	1	1	1
185.3836	64	Stimulus/S  8	8	1853836	0	1	1	1
185.4147	64	Stimulus/S  8	8	1854147	0	1	1	1
185.4664	64	Stimulus/S  1	1	1854664	0	1	1	1
267.3669	64	Stimulus/S  4	4	2673669	1	1	0	1
267.3979	64	Stimulus/S  4	4	2673979	1	1	0	1
267.4289	64	Stimulus/S  4	4	2674289	1	1	0	1
267.4599	64	Stimulus/S  4	4	2674599	1	1	0	1
267.4909	64	Stimulus/S  4	4	2674909	1	1	0	1
267.5219	64	Stimulus/S  8	8	2675219	1	1	0	1
267.5529	64	Stimulus/S  8	8	2675529	1	1	0	1
267.5839	64	Stimulus/S  4	4	2675839	1	1	0	1
267.6329	64	Stimulus/S  1	1	2676329	1	1	0	1
367.4403	64	Stimulus/S  4	4	3674403	2	1	0	1
367.4713	64	Stimulus/S  4	4	3674713	2	1	0	1
367.5023	64	Stimulus/S  4	4	3675023	2	1	0	1
