onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
15.0264	64	Stimulus/S  4	4	150264	0	0	0	1
15.0574	64	Stimulus/S  4	4	150574	0	0	0	1
15.0884	64	Stimulus/S  4	4	150884	0	0	0	1
15.1194	64	Stimulus/S  4	4	151194	0	0	0	1
15.1504	64	Stimulus/S  4	4	151504	0	0	0	1
15.1814	64	Stimulus/S  4	4	151814	0	0	0	1
15.2124	64	Stimulus/S  4	4	152124	0	0	0	1
15.2434	64	Stimulus/S  4	4	152434	0	0	0	1
15.2988	64	Stimulus/S  1	1	152988	0	0	0	1
110.8795	64	Stimulus/S  4	4	1108795	1	0	1	1
110.9106	64	Stimulus/S  4	4	1109106	1	0	1	1
110.9416	64	Stimulus/S  4	4	1109416	1	0	1	1
110.9725	64	Stimulus/S  4	4	1109725	1	0	1	1
111.0035	64	Stimulus/S  4	4	1110035	1	0	1	1
111.0345	64	Stimulus/S  8	8	1110345	1	0	1	1
111.0655	64	Stimulus/S  4	4	1110655	1	0	1	1
111.0966	64	Stimulus/S  8	8	1110966	1	0	1	1
111.1486	64	Stimulus/S  1	1	1111486	1	0	1	1
205.3475	64	Stimulus/S  4	4	2053475	0	1	1	1
205.3784	64	Stimulus/S  4	4	2053784	0	1	1	1
205.4094	64	Stimulus/S  4	4	2054094	0	1	1	1
205.4404	64	Stimulus/S  4	4	2054404	0	1	1	1
205.4715	64	Stimulus/S  4	4	2054715	0	1	1	1
205.5025	64	Stimulus/S  4	4	2055025	0	1	1	1
205.5335	64	Stimulus/S  8	8	2055335	0	1	1	1
205.5645	64	Stimulus/S  8	8	2055645	0	1	1	1
205.6151	64	Stimulus/S  1	1	2056151	0	1	1	1
292.351	64	Stimulus/S  4	4	2923510	1	1	0	1
292.382	64	Stimulus/S  4	4	2923820	1	1	0	1
292.413	64	Stimulus/S  4	4	2924130	1	1	0	1
292.444	64	Stimulus/S  4	4	2924440	1	1	0	1
292.475	64	Stimulus/S  4	4	2924750	1	1	0	1
292.506	64	Stimulus/S  8	8	2925060	1	1	0	1
292.5374	64	Stimulus/S  8	8	2925374	1	1	0	1
292.5684	64	Stimulus/S  4	4	2925684	1	1	0	1
292.6149	64	Stimulus/S  1	1	2926149	1	1	0	1
396.7128	64	Stimulus/S  4	4	3967128	2	1	0	1
396.7438	64	Stimulus/S  4	4	3967438	2	1	0	1
396.7748	64	Stimulus/S  4	4	3967748	2	1	0	1
396.8058	64	Stimulus/S  4	4	3968058	2	1	0	1
396.8368	64	Stimulus/S  8	8	3968368	2	1	0	1
396.8678	64	Stimulus/S  4	4	3968678	2	1	0	1
396.8988	64	Stimulus/S  8	8	3968988	2	1	0	1
396.9298	64	Stimulus/S  4	4	3969298	2	1	0	1
396.9813	64	Stimulus/S  1	1	3969813	2	1	0	1
497.1707	64	Stimulus/S  4	4	4971707	3	1	1	1
497.2017	64	Stimulus/S  4	4	4972017	3	1	1	1
497.2327	64	Stimulus/S  4	4	4972327	3	1	1	1
497.2637	64	Stimulus/S  4	4	4972637	3	1	1	1
497.2947	64	Stimulus/S  8	8	4972947	3	1	1	1
497.3257	64	Stimulus/S  8	8	4973257	3	1	1	1
497.3567	64	Stimulus/S  8	8	4973567	3	1	1	1
497.3877	64	Stimulus/S  8	8	4973877	3	1	1	1
497.4311	64	Stimulus/S  1	1	4974311	3	1	1	1
584.9826	64	Stimulus/S  4	4	5849826	2	0	1	1
585.0136	64	Stimulus/S  4	4	5850136	2	0	1	1
585.0446	64	Stimulus/S  4	4	5850446	2	0	1	1
585.0756	64	Stimulus/S  4	4	5850756	2	0	1	1
585.1066	64	Stimulus/S  8	8	5851066	2	0	1	1
585.1376	64	Stimulus/S  4	4	5851376	2	0	1	1
585.1686	64	Stimulus/S  4	4	5851686	2	0	1	1
585.1996	64	Stimulus/S  8	8	5851996	2	0	1	1
585.2476	64	Stimulus/S  1	1	5852476	2	0	1	1
673.1132	64	Stimulus/S  4	4	6731132	3	0	0	1
