onset	duration	trial_type	value	sample	attend	chapter
79.0452	64.0	Stimulus/S  1	1	790452	Female	0
79.0453	64.0	Stimulus/S  4	4	790453	Female	0
79.0454	64.0	Stimulus/S  4	4	790454	Female	0
79.0455	64.0	Stimulus/S  4	4	790455	Female	0
79.0456	64.0	Stimulus/S  4	4	790456	Female	0
79.0457	64.0	Stimulus/S  4	4	790457	Female	0
79.0458	64.0	Stimulus/S  4	4	790458	Female	0
79.0459	64.0	Stimulus/S  4	4	790459	Female	0
143.0268	64.0	Stimulus/S  2	2	1430268	Female	0
170.4395	64.0	Stimulus/S  1	1	1704395	Female	1
170.4396	64.0	Stimulus/S  4	4	1704396	Female	1
170.4397	64.0	Stimulus/S  4	4	1704397	Female	1
170.4398	64.0	Stimulus/S  4	4	1704398	Female	1
170.4399	64.0	Stimulus/S  4	4	1704399	Female	1
170.44	64.0	Stimulus/S  4	4	1704400	Female	1
170.4401	64.0	Stimulus/S  4	4	1704401	Female	1
170.4402	64.0	Stimulus/S  8	8	1704402	Female	1
234.4212	64.0	Stimulus/S  2	2	2344212	Female	1
257.8444	64.0	Stimulus/S  1	1	2578444	Male	0
257.8445	64.0	Stimulus/S  8	8	2578445	Male	0
257.8446	64.0	Stimulus/S  4	4	2578446	Male	0
257.8447	64.0	Stimulus/S  4	4	2578447	Male	0
257.8448	64.0	Stimulus/S  4	4	2578448	Male	0
257.8449	64.0	Stimulus/S  4	4	2578449	Male	0
257.845	64.0	Stimulus/S  4	4	2578450	Male	0
257.8451	64.0	Stimulus/S  4	4	2578451	Male	0
321.826	64.0	Stimulus/S  2	2	3218260	Male	0
338.8491	64.0	Stimulus/S  1	1	3388491	Male	1
338.8492	64.0	Stimulus/S  8	8	3388492	Male	1
338.8493	64.0	Stimulus/S  4	4	3388493	Male	1
338.8494	64.0	Stimulus/S  4	4	3388494	Male	1
338.8495	64.0	Stimulus/S  4	4	3388495	Male	1
338.8496	64.0	Stimulus/S  4	4	3388496	Male	1
338.8497	64.0	Stimulus/S  4	4	3388497	Male	1
338.8498	64.0	Stimulus/S  8	8	3388498	Male	1
402.8307	64.0	Stimulus/S  2	2	4028307	Male	1
425.294	64.0	Stimulus/S  1	1	4252940	Male	2
425.2941	64.0	Stimulus/S  8	8	4252941	Male	2
425.2942	64.0	Stimulus/S  4	4	4252942	Male	2
425.2943	64.0	Stimulus/S  4	4	4252943	Male	2
425.2944	64.0	Stimulus/S  4	4	4252944	Male	2
425.2945	64.0	Stimulus/S  4	4	4252945	Male	2
425.2946	64.0	Stimulus/S  8	8	4252946	Male	2
