onset	duration	trial_type	value	sample	trial_order	focus_order	EEG_trigger
2.3538	171.13464583333334	Stimulus/S  1	1	58845	2	0	1
2.3738	171.13464583333334	Stimulus/S  4	4	59345	2	0	1
2.3938	171.13464583333334	Stimulus/S  8	8	59845	2	0	1
2.4138	171.13464583333334	Stimulus/S  4	4	60345	2	0	1
2.4338	171.13464583333334	Stimulus/S  4	4	60845	2	0	1
173.47048	171.13464583333334	Stimulus/S  2	2	4336762	2	0	1
173.93184	171.13464583333334	Stimulus/S  1	1	4348296	2	0	1
173.95184	171.13464583333334	Stimulus/S  4	4	4348796	2	0	1
173.97184	171.13464583333334	Stimulus/S  8	8	4349296	2	0	1
173.99184	171.13464583333334	Stimulus/S  4	4	4349796	2	0	1
174.01184	171.13464583333334	Stimulus/S  4	4	4350296	2	0	1
345.04848	171.13464583333334	Stimulus/S  2	2	8626212	2	0	1
345.51784	171.13464583333334	Stimulus/S  1	1	8637946	2	0	1
345.53784	171.13464583333334	Stimulus/S  4	4	8638446	2	0	1
345.55784	171.13464583333334	Stimulus/S  8	8	8638946	2	0	1
345.57784	171.13464583333334	Stimulus/S  4	4	8639446	2	0	1
345.59784	171.13464583333334	Stimulus/S  4	4	8639946	2	0	1
516.63452	171.13464583333334	Stimulus/S  2	2	12915863	2	0	1
517.11988	171.13464583333334	Stimulus/S  1	1	12927997	2	0	1
517.13988	171.13464583333334	Stimulus/S  4	4	12928497	2	0	1
517.15988	171.13464583333334	Stimulus/S  8	8	12928997	2	0	1
517.17988	171.13464583333334	Stimulus/S  4	4	12929497	2	0	1
517.19988	171.13464583333334	Stimulus/S  4	4	12929997	2	0	1
688.23652	171.13464583333334	Stimulus/S  2	2	17205913	2	0	1
688.69988	171.13464583333334	Stimulus/S  1	1	17217497	3	0	1
688.71988	171.13464583333334	Stimulus/S  4	4	17217997	3	0	1
688.73992	171.13464583333334	Stimulus/S  8	8	17218498	3	0	1
688.75992	171.13464583333334	Stimulus/S  8	8	17218998	3	0	1
688.77992	171.13464583333334	Stimulus/S  4	4	17219498	3	0	1
859.81656	171.13464583333334	Stimulus/S  2	2	21495414	3	0	1
860.27992	171.13464583333334	Stimulus/S  1	1	21506998	3	0	1
860.29992	171.13464583333334	Stimulus/S  4	4	21507498	3	0	1
860.31992	171.13464583333334	Stimulus/S  8	8	21507998	3	0	1
860.33992	171.13464583333334	Stimulus/S  8	8	21508498	3	0	1
860.35992	171.13464583333334	Stimulus/S  4	4	21508998	3	0	1
1031.39656	171.13464583333334	Stimulus/S  2	2	25784914	3	0	1
1031.86192	171.13464583333334	Stimulus/S  1	1	25796548	3	0	1
1031.88192	171.13464583333334	Stimulus/S  4	4	25797048	3	0	1
1031.90192	171.13464583333334	Stimulus/S  8	8	25797548	3	0	1
1031.92192	171.13464583333334	Stimulus/S  8	8	25798048	3	0	1
1031.94192	171.13464583333334	Stimulus/S  4	4	25798548	3	0	1
1202.97856	171.13464583333334	Stimulus/S  2	2	30074464	3	0	1
1203.44792	171.13464583333334	Stimulus/S  1	1	30086198	3	0	1
1203.46792	171.13464583333334	Stimulus/S  4	4	30086698	3	0	1
1203.48792	171.13464583333334	Stimulus/S  8	8	30087198	3	0	1
1203.50792	171.13464583333334	Stimulus/S  8	8	30087698	3	0	1
1203.52792	171.13464583333334	Stimulus/S  4	4	30088198	3	0	1
1374.56456	171.13464583333334	Stimulus/S  2	2	34364114	3	0	1
1375.02592	171.13464583333334	Stimulus/S  1	1	34375648	4	0	1
1375.04592	171.13464583333334	Stimulus/S  8	8	34376148	4	0	1
1375.06592	171.13464583333334	Stimulus/S  4	4	34376648	4	0	1
1375.08592	171.13464583333334	Stimulus/S  4	4	34377148	4	0	1
1375.10592	171.13464583333334	Stimulus/S  4	4	34377648	4	0	1
1546.14256	171.13464583333334	Stimulus/S  2	2	38653564	4	0	1
1546.61392	171.13464583333334	Stimulus/S  1	1	38665348	4	0	1
1546.63392	171.13464583333334	Stimulus/S  8	8	38665848	4	0	1
1546.65392	171.13464583333334	Stimulus/S  4	4	38666348	4	0	1
1546.67392	171.13464583333334	Stimulus/S  4	4	38666848	4	0	1
1546.69392	171.13464583333334	Stimulus/S  4	4	38667348	4	0	1
1717.73056	171.13464583333334	Stimulus/S  2	2	42943264	4	0	1
1718.20392	171.13464583333334	Stimulus/S  1	1	42955098	4	0	1
1718.22392	171.13464583333334	Stimulus/S  8	8	42955598	4	0	1
1718.24392	171.13464583333334	Stimulus/S  4	4	42956098	4	0	1
1718.26392	171.13464583333334	Stimulus/S  4	4	42956598	4	0	1
1718.28392	171.13464583333334	Stimulus/S  4	4	42957098	4	0	1
1889.32056	171.13464583333334	Stimulus/S  2	2	47233014	4	0	1
1889.82992	171.13464583333334	Stimulus/S  1	1	47245748	4	0	1
1889.84992	171.13464583333334	Stimulus/S  8	8	47246248	4	0	1
1889.86992	171.13464583333334	Stimulus/S  4	4	47246748	4	0	1
1889.88992	171.13464583333334	Stimulus/S  4	4	47247248	4	0	1
1889.90992	171.13464583333334	Stimulus/S  4	4	47247748	4	0	1
2060.94652	171.13464583333334	Stimulus/S  2	2	51523663	4	0	1
2061.45188	171.13464583333334	Stimulus/S  1	1	51536297	1	0	1
2061.47188	171.13464583333334	Stimulus/S  4	4	51536797	1	0	1
2061.49188	171.13464583333334	Stimulus/S  4	4	51537297	1	0	1
2061.51192	171.13464583333334	Stimulus/S  8	8	51537798	1	0	1
2061.53192	171.13464583333334	Stimulus/S  4	4	51538298	1	0	1
2232.56852	171.13464583333334	Stimulus/S  2	2	55814213	1	0	1
2233.05388	171.13464583333334	Stimulus/S  1	1	55826347	1	0	1
2233.07388	171.13464583333334	Stimulus/S  4	4	55826847	1	0	1
2233.09388	171.13464583333334	Stimulus/S  4	4	55827347	1	0	1
2233.11388	171.13464583333334	Stimulus/S  8	8	55827847	1	0	1
2233.13388	171.13464583333334	Stimulus/S  4	4	55828347	1	0	1
2404.17052	171.13464583333334	Stimulus/S  2	2	60104263	1	0	1
2404.74188	171.13464583333334	Stimulus/S  1	1	60118547	1	0	1
2404.76188	171.13464583333334	Stimulus/S  4	4	60119047	1	0	1
2404.78188	171.13464583333334	Stimulus/S  4	4	60119547	1	0	1
2404.80188	171.13464583333334	Stimulus/S  8	8	60120047	1	0	1
2404.82188	171.13464583333334	Stimulus/S  4	4	60120547	1	0	1
2575.85848	171.13464583333334	Stimulus/S  2	2	64396462	1	0	1
2576.35784	171.13464583333334	Stimulus/S  1	1	64408946	1	0	1
2576.37784	171.13464583333334	Stimulus/S  4	4	64409446	1	0	1
2576.39784	171.13464583333334	Stimulus/S  4	4	64409946	1	0	1
2576.41784	171.13464583333334	Stimulus/S  8	8	64410446	1	0	1
2576.43784	171.13464583333334	Stimulus/S  4	4	64410946	1	0	1
2747.47448	171.13464583333334	Stimulus/S  2	2	68686862	1	0	1
2747.94584	171.13464583333334	Stimulus/S  1	1	68698646	4	1	1
2747.96584	171.13464583333334	Stimulus/S  8	8	68699146	4	1	1
2747.98584	171.13464583333334	Stimulus/S  4	4	68699646	4	1	1
2748.00584	171.13464583333334	Stimulus/S  4	4	68700146	4	1	1
2748.02584	171.13464583333334	Stimulus/S  8	8	68700646	4	1	1
2919.06244	171.13464583333334	Stimulus/S  2	2	72976561	4	1	1
2919.5458	171.13464583333334	Stimulus/S  1	1	72988645	4	1	1
2919.5658	171.13464583333334	Stimulus/S  8	8	72989145	4	1	1
2919.5858	171.13464583333334	Stimulus/S  4	4	72989645	4	1	1
2919.6058	171.13464583333334	Stimulus/S  4	4	72990145	4	1	1
2919.6258	171.13464583333334	Stimulus/S  8	8	72990645	4	1	1
3090.66244	171.13464583333334	Stimulus/S  2	2	77266561	4	1	1
3091.1538	171.13464583333334	Stimulus/S  1	1	77278845	4	1	1
3091.1738	171.13464583333334	Stimulus/S  8	8	77279345	4	1	1
3091.1938	171.13464583333334	Stimulus/S  4	4	77279845	4	1	1
3091.2138	171.13464583333334	Stimulus/S  4	4	77280345	4	1	1
3091.2338	171.13464583333334	Stimulus/S  8	8	77280845	4	1	1
3262.2704	171.13464583333334	Stimulus/S  2	2	81556760	4	1	1
3262.77576	171.13464583333334	Stimulus/S  1	1	81569394	4	1	1
3262.79576	171.13464583333334	Stimulus/S  8	8	81569894	4	1	1
3262.81576	171.13464583333334	Stimulus/S  4	4	81570394	4	1	1
3262.83576	171.13464583333334	Stimulus/S  4	4	81570894	4	1	1
3262.85576	171.13464583333334	Stimulus/S  8	8	81571394	4	1	1
3433.8924	171.13464583333334	Stimulus/S  2	2	85847310	4	1	1
3434.37176	171.13464583333334	Stimulus/S  1	1	85859294	3	1	1
3434.39176	171.13464583333334	Stimulus/S  4	4	85859794	3	1	1
3434.41176	171.13464583333334	Stimulus/S  8	8	85860294	3	1	1
3434.43176	171.13464583333334	Stimulus/S  8	8	85860794	3	1	1
3434.45176	171.13464583333334	Stimulus/S  8	8	85861294	3	1	1
3605.48836	171.13464583333334	Stimulus/S  2	2	90137209	3	1	1
3605.98572	171.13464583333334	Stimulus/S  1	1	90149643	3	1	1
3606.00572	171.13464583333334	Stimulus/S  4	4	90150143	3	1	1
3606.02572	171.13464583333334	Stimulus/S  8	8	90150643	3	1	1
3606.04572	171.13464583333334	Stimulus/S  8	8	90151143	3	1	1
3606.06572	171.13464583333334	Stimulus/S  8	8	90151643	3	1	1
3777.10232	171.13464583333334	Stimulus/S  2	2	94427558	3	1	1
3777.57568	171.13464583333334	Stimulus/S  1	1	94439392	3	1	1
3777.59568	171.13464583333334	Stimulus/S  4	4	94439892	3	1	1
3777.61568	171.13464583333334	Stimulus/S  8	8	94440392	3	1	1
3777.63568	171.13464583333334	Stimulus/S  8	8	94440892	3	1	1
3777.65568	171.13464583333334	Stimulus/S  8	8	94441392	3	1	1
3948.69232	171.13464583333334	Stimulus/S  2	2	98717308	3	1	1
3949.17568	171.13464583333334	Stimulus/S  1	1	98729392	3	1	1
3949.19568	171.13464583333334	Stimulus/S  4	4	98729892	3	1	1
3949.21568	171.13464583333334	Stimulus/S  8	8	98730392	3	1	1
3949.23568	171.13464583333334	Stimulus/S  8	8	98730892	3	1	1
3949.25568	171.13464583333334	Stimulus/S  8	8	98731392	3	1	1
4120.29228	171.13464583333334	Stimulus/S  2	2	103007307	3	1	1
4120.76164	171.13464583333334	Stimulus/S  1	1	103019041	1	1	1
4120.78164	171.13464583333334	Stimulus/S  4	4	103019541	1	1	1
4120.80164	171.13464583333334	Stimulus/S  4	4	103020041	1	1	1
4120.82164	171.13464583333334	Stimulus/S  8	8	103020541	1	1	1
4120.84164	171.13464583333334	Stimulus/S  8	8	103021041	1	1	1
4291.87824	171.13464583333334	Stimulus/S  2	2	107296956	1	1	1
4292.3736	171.13464583333334	Stimulus/S  1	1	107309340	1	1	1
4292.3936	171.13464583333334	Stimulus/S  4	4	107309840	1	1	1
4292.4136	171.13464583333334	Stimulus/S  4	4	107310340	1	1	1
4292.4336	171.13464583333334	Stimulus/S  8	8	107310840	1	1	1
4292.4536	171.13464583333334	Stimulus/S  8	8	107311340	1	1	1
4463.49024	171.13464583333334	Stimulus/S  2	2	111587256	1	1	1
4463.9716	171.13464583333334	Stimulus/S  1	1	111599290	1	1	1
4463.9916	171.13464583333334	Stimulus/S  4	4	111599790	1	1	1
4464.0116	171.13464583333334	Stimulus/S  4	4	111600290	1	1	1
4464.0316	171.13464583333334	Stimulus/S  8	8	111600790	1	1	1
4464.0516	171.13464583333334	Stimulus/S  8	8	111601290	1	1	1
4635.0882	171.13464583333334	Stimulus/S  2	2	115877205	1	1	1
4635.57756	171.13464583333334	Stimulus/S  1	1	115889439	1	1	1
