onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
13.388	64	Stimulus/S  4	4	6694	0	0	0	1
13.42	64	Stimulus/S  4	4	6710	0	0	0	1
13.45	64	Stimulus/S  4	4	6725	0	0	0	1
13.482	64	Stimulus/S  4	4	6741	0	0	0	1
13.512	64	Stimulus/S  4	4	6756	0	0	0	1
13.544	64	Stimulus/S  4	4	6772	0	0	0	1
13.574	64	Stimulus/S  4	4	6787	0	0	0	1
13.606	64	Stimulus/S  4	4	6803	0	0	0	1
13.648	64	Stimulus/S  1	1	6824	0	0	0	1
100.408	64	Stimulus/S  4	4	50204	1	0	1	1
100.438	64	Stimulus/S  4	4	50219	1	0	1	1
100.47	64	Stimulus/S  4	4	50235	1	0	1	1
100.5	64	Stimulus/S  4	4	50250	1	0	1	1
100.532	64	Stimulus/S  4	4	50266	1	0	1	1
100.562	64	Stimulus/S  8	8	50281	1	0	1	1
100.594	64	Stimulus/S  4	4	50297	1	0	1	1
100.624	64	Stimulus/S  8	8	50312	1	0	1	1
100.682	64	Stimulus/S  1	1	50341	1	0	1	1
181.798	64	Stimulus/S  4	4	90899	0	1	1	1
181.828	64	Stimulus/S  4	4	90914	0	1	1	1
181.86	64	Stimulus/S  4	4	90930	0	1	1	1
181.89	64	Stimulus/S  4	4	90945	0	1	1	1
181.922	64	Stimulus/S  4	4	90961	0	1	1	1
181.952	64	Stimulus/S  4	4	90976	0	1	1	1
181.984	64	Stimulus/S  8	8	90992	0	1	1	1
182.014	64	Stimulus/S  8	8	91007	0	1	1	1
182.064	64	Stimulus/S  1	1	91032	0	1	1	1
262.526	64	Stimulus/S  4	4	131263	1	1	0	1
262.558	64	Stimulus/S  4	4	131279	1	1	0	1
262.588	64	Stimulus/S  4	4	131294	1	1	0	1
262.62	64	Stimulus/S  4	4	131310	1	1	0	1
262.65	64	Stimulus/S  4	4	131325	1	1	0	1
262.682	64	Stimulus/S  8	8	131341	1	1	0	1
262.712	64	Stimulus/S  8	8	131356	1	1	0	1
262.744	64	Stimulus/S  4	4	131372	1	1	0	1
262.798	64	Stimulus/S  1	1	131399	1	1	0	1
353.688	64	Stimulus/S  4	4	176844	2	1	0	1
353.72	64	Stimulus/S  4	4	176860	2	1	0	1
353.75	64	Stimulus/S  4	4	176875	2	1	0	1
353.782	64	Stimulus/S  4	4	176891	2	1	0	1
353.812	64	Stimulus/S  8	8	176906	2	1	0	1
353.844	64	Stimulus/S  4	4	176922	2	1	0	1
353.874	64	Stimulus/S  8	8	176937	2	1	0	1
353.906	64	Stimulus/S  4	4	176953	2	1	0	1
353.948	64	Stimulus/S  1	1	176974	2	1	0	1
439.972	64	Stimulus/S  4	4	219986	3	1	1	1
440.004	64	Stimulus/S  4	4	220002	3	1	1	1
440.034	64	Stimulus/S  4	4	220017	3	1	1	1
440.066	64	Stimulus/S  4	4	220033	3	1	1	1
440.096	64	Stimulus/S  8	8	220048	3	1	1	1
440.128	64	Stimulus/S  8	8	220064	3	1	1	1
440.158	64	Stimulus/S  8	8	220079	3	1	1	1
440.19	64	Stimulus/S  8	8	220095	3	1	1	1
440.232	64	Stimulus/S  1	1	220116	3	1	1	1
521.526	64	Stimulus/S  4	4	260763	2	0	1	1
521.558	64	Stimulus/S  4	4	260779	2	0	1	1
521.588	64	Stimulus/S  4	4	260794	2	0	1	1
521.62	64	Stimulus/S  4	4	260810	2	0	1	1
521.65	64	Stimulus/S  8	8	260825	2	0	1	1
521.682	64	Stimulus/S  4	4	260841	2	0	1	1
521.712	64	Stimulus/S  4	4	260856	2	0	1	1
521.744	64	Stimulus/S  8	8	260872	2	0	1	1
521.798	64	Stimulus/S  1	1	260899	2	0	1	1
602.894	64	Stimulus/S  4	4	301447	3	0	0	1
602.924	64	Stimulus/S  4	4	301462	3	0	0	1
602.956	64	Stimulus/S  4	4	301478	3	0	0	1
602.986	64	Stimulus/S  4	4	301493	3	0	0	1
603.018	64	Stimulus/S  8	8	301509	3	0	0	1
603.048	64	Stimulus/S  8	8	301524	3	0	0	1
603.08	64	Stimulus/S  4	4	301540	3	0	0	1
603.11	64	Stimulus/S  4	4	301555	3	0	0	1
603.164	64	Stimulus/S  1	1	301582	3	0	0	1
693.39	64	Stimulus/S  4	4	346695	4	0	0	1
693.422	64	Stimulus/S  4	4	346711	4	0	0	1
693.452	64	Stimulus/S  4	4	346726	4	0	0	1
693.484	64	Stimulus/S  8	8	346742	4	0	0	1
693.514	64	Stimulus/S  4	4	346757	4	0	0	1
693.546	64	Stimulus/S  4	4	346773	4	0	0	1
693.576	64	Stimulus/S  4	4	346788	4	0	0	1
693.608	64	Stimulus/S  4	4	346804	4	0	0	1
693.664	64	Stimulus/S  1	1	346832	4	0	0	1
776.806	64	Stimulus/S  4	4	388403	5	0	1	1
776.836	64	Stimulus/S  4	4	388418	5	0	1	1
776.868	64	Stimulus/S  4	4	388434	5	0	1	1
776.898	64	Stimulus/S  8	8	388449	5	0	1	1
776.93	64	Stimulus/S  4	4	388465	5	0	1	1
776.96	64	Stimulus/S  8	8	388480	5	0	1	1
776.992	64	Stimulus/S  4	4	388496	5	0	1	1
777.022	64	Stimulus/S  8	8	388511	5	0	1	1
777.08	64	Stimulus/S  1	1	388540	5	0	1	1
860.576	64	Stimulus/S  4	4	430288	4	1	1	1
860.608	64	Stimulus/S  4	4	430304	4	1	1	1
860.638	64	Stimulus/S  4	4	430319	4	1	1	1
860.67	64	Stimulus/S  8	8	430335	4	1	1	1
860.7	64	Stimulus/S  4	4	430350	4	1	1	1
860.732	64	Stimulus/S  4	4	430366	4	1	1	1
860.762	64	Stimulus/S  8	8	430381	4	1	1	1
860.794	64	Stimulus/S  8	8	430397	4	1	1	1
