onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
22.1213	64	Stimulus/S  4	4	221213	0	0	0	1
22.1523	64	Stimulus/S  4	4	221523	0	0	0	1
22.1833	64	Stimulus/S  4	4	221833	0	0	0	1
22.2143	64	Stimulus/S  4	4	222143	0	0	0	1
22.2453	64	Stimulus/S  4	4	222453	0	0	0	1
22.2763	64	Stimulus/S  4	4	222763	0	0	0	1
22.3073	64	Stimulus/S  4	4	223073	0	0	0	1
22.3383	64	Stimulus/S  4	4	223383	0	0	0	1
22.396	64	Stimulus/S  1	1	223960	0	0	0	1
126.0875	64	Stimulus/S  4	4	1260875	1	0	1	1
126.1185	64	Stimulus/S  4	4	1261185	1	0	1	1
126.1494	64	Stimulus/S  4	4	1261494	1	0	1	1
126.1804	64	Stimulus/S  4	4	1261804	1	0	1	1
126.2115	64	Stimulus/S  4	4	1262115	1	0	1	1
126.2425	64	Stimulus/S  8	8	1262425	1	0	1	1
126.2735	64	Stimulus/S  4	4	1262735	1	0	1	1
126.3045	64	Stimulus/S  8	8	1263045	1	0	1	1
126.3625	64	Stimulus/S  1	1	1263625	1	0	1	1
224.242	64	Stimulus/S  4	4	2242420	0	1	1	1
224.273	64	Stimulus/S  4	4	2242730	0	1	1	1
224.304	64	Stimulus/S  4	4	2243040	0	1	1	1
224.335	64	Stimulus/S  4	4	2243350	0	1	1	1
224.366	64	Stimulus/S  4	4	2243660	0	1	1	1
224.397	64	Stimulus/S  4	4	2243970	0	1	1	1
224.428	64	Stimulus/S  8	8	2244280	0	1	1	1
224.459	64	Stimulus/S  8	8	2244590	0	1	1	1
224.5122	64	Stimulus/S  1	1	2245122	0	1	1	1
321.6929	64	Stimulus/S  4	4	3216929	1	1	0	1
321.7239	64	Stimulus/S  4	4	3217239	1	1	0	1
321.7549	64	Stimulus/S  4	4	3217549	1	1	0	1
321.7859	64	Stimulus/S  4	4	3217859	1	1	0	1
321.8169	64	Stimulus/S  4	4	3218169	1	1	0	1
321.8479	64	Stimulus/S  8	8	3218479	1	1	0	1
321.8789	64	Stimulus/S  8	8	3218789	1	1	0	1
321.9099	64	Stimulus/S  4	4	3219099	1	1	0	1
321.9621	64	Stimulus/S  1	1	3219621	1	1	0	1
427.7369	64	Stimulus/S  4	4	4277369	2	1	0	1
427.768	64	Stimulus/S  4	4	4277680	2	1	0	1
427.799	64	Stimulus/S  4	4	4277990	2	1	0	1
427.83	64	Stimulus/S  4	4	4278300	2	1	0	1
