onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
13.5795	64	Stimulus/S  4	4	135795	0	0	0	1
13.6104	64	Stimulus/S  4	4	136104	0	0	0	1
13.6414	64	Stimulus/S  4	4	136414	0	0	0	1
13.6724	64	Stimulus/S  4	4	136724	0	0	0	1
13.7034	64	Stimulus/S  4	4	137034	0	0	0	1
13.7344	64	Stimulus/S  4	4	137344	0	0	0	1
13.7654	64	Stimulus/S  4	4	137654	0	0	0	1
13.7964	64	Stimulus/S  4	4	137964	0	0	0	1
13.8386	64	Stimulus/S  1	1	138386	0	0	0	1
115.4176	64	Stimulus/S  4	4	1154176	1	0	1	1
115.4486	64	Stimulus/S  4	4	1154486	1	0	1	1
115.4796	64	Stimulus/S  4	4	1154796	1	0	1	1
115.5106	64	Stimulus/S  4	4	1155106	1	0	1	1
115.5416	64	Stimulus/S  4	4	1155416	1	0	1	1
115.5726	64	Stimulus/S  8	8	1155726	1	0	1	1
115.6036	64	Stimulus/S  4	4	1156036	1	0	1	1
115.6346	64	Stimulus/S  8	8	1156346	1	0	1	1
115.6885	64	Stimulus/S  1	1	1156885	1	0	1	1
213.22	64	Stimulus/S  4	4	2132200	0	1	1	1
213.251	64	Stimulus/S  4	4	2132510	0	1	1	1
213.282	64	Stimulus/S  4	4	2132820	0	1	1	1
213.3129	64	Stimulus/S  4	4	2133129	0	1	1	1
213.344	64	Stimulus/S  4	4	2133440	0	1	1	1
213.375	64	Stimulus/S  4	4	2133750	0	1	1	1
213.406	64	Stimulus/S  8	8	2134060	0	1	1	1
213.437	64	Stimulus/S  8	8	2134370	0	1	1	1
213.4881	64	Stimulus/S  1	1	2134881	0	1	1	1
307.7338	64	Stimulus/S  4	4	3077338	1	1	0	1
307.7647	64	Stimulus/S  4	4	3077647	1	1	0	1
307.7957	64	Stimulus/S  4	4	3077957	1	1	0	1
307.8267	64	Stimulus/S  4	4	3078267	1	1	0	1
307.8577	64	Stimulus/S  4	4	3078577	1	1	0	1
307.8888	64	Stimulus/S  8	8	3078888	1	1	0	1
307.9197	64	Stimulus/S  8	8	3079197	1	1	0	1
307.9508	64	Stimulus/S  4	4	3079508	1	1	0	1
308.0046	64	Stimulus/S  1	1	3080046	1	1	0	1
451.9125	64	Stimulus/S  4	4	4519125	2	1	0	1
451.9435	64	Stimulus/S  4	4	4519435	2	1	0	1
451.9745	64	Stimulus/S  4	4	4519745	2	1	0	1
452.0055	64	Stimulus/S  4	4	4520055	2	1	0	1
452.0365	64	Stimulus/S  8	8	4520365	2	1	0	1
452.0675	64	Stimulus/S  4	4	4520675	2	1	0	1
452.0985	64	Stimulus/S  8	8	4520985	2	1	0	1
452.1295	64	Stimulus/S  4	4	4521295	2	1	0	1
452.1877	64	Stimulus/S  1	1	4521877	2	1	0	1
546.6265	64	Stimulus/S  4	4	5466265	3	1	1	1
546.6575	64	Stimulus/S  4	4	5466575	3	1	1	1
546.6885	64	Stimulus/S  4	4	5466885	3	1	1	1
546.7195	64	Stimulus/S  4	4	5467195	3	1	1	1
546.7505	64	Stimulus/S  8	8	5467505	3	1	1	1
546.7815	64	Stimulus/S  8	8	5467815	3	1	1	1
546.8125	64	Stimulus/S  8	8	5468125	3	1	1	1
546.8435	64	Stimulus/S  8	8	5468435	3	1	1	1
546.8874	64	Stimulus/S  1	1	5468874	3	1	1	1
643.7484	64	Stimulus/S  4	4	6437484	2	0	1	1
643.7794	64	Stimulus/S  4	4	6437794	2	0	1	1
643.8104	64	Stimulus/S  4	4	6438104	2	0	1	1
643.8414	64	Stimulus/S  4	4	6438414	2	0	1	1
643.8724	64	Stimulus/S  8	8	6438724	2	0	1	1
643.9034	64	Stimulus/S  4	4	6439034	2	0	1	1
643.9344	64	Stimulus/S  4	4	6439344	2	0	1	1
643.9654	64	Stimulus/S  8	8	6439654	2	0	1	1
644.0204	64	Stimulus/S  1	1	6440204	2	0	1	1
740.3003	64	Stimulus/S  4	4	7403003	3	0	0	1
740.3313	64	Stimulus/S  4	4	7403313	3	0	0	1
740.3623	64	Stimulus/S  4	4	7403623	3	0	0	1
740.3933	64	Stimulus/S  4	4	7403933	3	0	0	1
740.4243	64	Stimulus/S  8	8	7404243	3	0	0	1
740.4553	64	Stimulus/S  8	8	7404553	3	0	0	1
740.4863	64	Stimulus/S  4	4	7404863	3	0	0	1
740.5173	64	Stimulus/S  4	4	7405173	3	0	0	1
740.5703	64	Stimulus/S  1	1	7405703	3	0	0	1
844.9764	64	Stimulus/S  4	4	8449764	4	0	0	1
845.0074	64	Stimulus/S  4	4	8450074	4	0	0	1
845.0384	64	Stimulus/S  4	4	8450384	4	0	0	1
845.0695	64	Stimulus/S  8	8	8450695	4	0	0	1
845.1005	64	Stimulus/S  4	4	8451005	4	0	0	1
845.1315	64	Stimulus/S  4	4	8451315	4	0	0	1
845.1624	64	Stimulus/S  4	4	8451624	4	0	0	1
845.1934	64	Stimulus/S  4	4	8451934	4	0	0	1
845.2367	64	Stimulus/S  1	1	8452367	4	0	0	1
943.8277	64	Stimulus/S  4	4	9438277	5	0	1	1
943.8587	64	Stimulus/S  4	4	9438587	5	0	1	1
943.8897	64	Stimulus/S  4	4	9438897	5	0	1	1
943.9207	64	Stimulus/S  8	8	9439207	5	0	1	1
943.9517	64	Stimulus/S  4	4	9439517	5	0	1	1
943.9827	64	Stimulus/S  8	8	9439827	5	0	1	1
944.0137	64	Stimulus/S  4	4	9440137	5	0	1	1
944.0447	64	Stimulus/S  8	8	9440447	5	0	1	1
944.1031	64	Stimulus/S  1	1	9441031	5	0	1	1
1042.9812	64	Stimulus/S  4	4	10429812	4	1	1	1
1043.0122	64	Stimulus/S  4	4	10430122	4	1	1	1
1043.0432	64	Stimulus/S  4	4	10430432	4	1	1	1
1043.0742	64	Stimulus/S  8	8	10430742	4	1	1	1
1043.1052	64	Stimulus/S  4	4	10431052	4	1	1	1
1043.1362	64	Stimulus/S  4	4	10431362	4	1	1	1
1043.1672	64	Stimulus/S  8	8	10431672	4	1	1	1
1043.1982	64	Stimulus/S  8	8	10431982	4	1	1	1
1043.2529	64	Stimulus/S  1	1	10432529	4	1	1	1
1145.7335	64	Stimulus/S  4	4	11457335	5	1	0	1
1145.7645	64	Stimulus/S  4	4	11457645	5	1	0	1
1145.7955	64	Stimulus/S  4	4	11457955	5	1	0	1
1145.8265	64	Stimulus/S  8	8	11458265	5	1	0	1
1145.8575	64	Stimulus/S  4	4	11458575	5	1	0	1
1145.8885	64	Stimulus/S  8	8	11458885	5	1	0	1
1145.9195	64	Stimulus/S  8	8	11459195	5	1	0	1
1145.9505	64	Stimulus/S  4	4	11459505	5	1	0	1
1146.0026	64	Stimulus/S  1	1	11460026	5	1	0	1
1255.2437	64	Stimulus/S  4	4	12552437	6	1	0	1
1255.2747	64	Stimulus/S  4	4	12552747	6	1	0	1
1255.3057	64	Stimulus/S  4	4	12553057	6	1	0	1
1255.3368	64	Stimulus/S  8	8	12553368	6	1	0	1
1255.3677	64	Stimulus/S  8	8	12553677	6	1	0	1
1255.3987	64	Stimulus/S  4	4	12553987	6	1	0	1
1255.4297	64	Stimulus/S  8	8	12554297	6	1	0	1
1255.4607	64	Stimulus/S  4	4	12554607	6	1	0	1
1255.5191	64	Stimulus/S  1	1	12555191	6	1	0	1
1348.8293	64	Stimulus/S  4	4	13488293	7	1	1	1
1348.8603	64	Stimulus/S  4	4	13488603	7	1	1	1
1348.8913	64	Stimulus/S  4	4	13488913	7	1	1	1
1348.9222	64	Stimulus/S  8	8	13489222	7	1	1	1
1348.9532	64	Stimulus/S  8	8	13489532	7	1	1	1
1348.9842	64	Stimulus/S  8	8	13489842	7	1	1	1
1349.0153	64	Stimulus/S  8	8	13490153	7	1	1	1
1349.0463	64	Stimulus/S  8	8	13490463	7	1	1	1
1349.1023	64	Stimulus/S  1	1	13491023	7	1	1	1
1473.2146	64	Stimulus/S  4	4	14732146	6	0	1	1
1473.2456	64	Stimulus/S  4	4	14732456	6	0	1	1
1473.2766	64	Stimulus/S  4	4	14732766	6	0	1	1
1473.3076	64	Stimulus/S  8	8	14733076	6	0	1	1
1473.3386	64	Stimulus/S  8	8	14733386	6	0	1	1
1473.3696	64	Stimulus/S  4	4	14733696	6	0	1	1
1473.4006	64	Stimulus/S  4	4	14734006	6	0	1	1
1473.4316	64	Stimulus/S  8	8	14734316	6	0	1	1
1473.4853	64	Stimulus/S  1	1	14734853	6	0	1	1
1567.7973	64	Stimulus/S  4	4	15677973	7	0	0	1
1567.8283	64	Stimulus/S  4	4	15678283	7	0	0	1
1567.8592	64	Stimulus/S  4	4	15678592	7	0	0	1
1567.8903	64	Stimulus/S  8	8	15678903	7	0	0	1
1567.9212	64	Stimulus/S  8	8	15679212	7	0	0	1
1567.9523	64	Stimulus/S  8	8	15679523	7	0	0	1
1567.9833	64	Stimulus/S  4	4	15679833	7	0	0	1
1568.0143	64	Stimulus/S  4	4	15680143	7	0	0	1
1568.0682	64	Stimulus/S  1	1	15680682	7	0	0	1
1688.7279	64	Stimulus/S  4	4	16887279	8	0	0	1
1688.7589	64	Stimulus/S  4	4	16887589	8	0	0	1
1688.7899	64	Stimulus/S  8	8	16887899	8	0	0	1
1688.8209	64	Stimulus/S  4	4	16888209	8	0	0	1
1688.8519	64	Stimulus/S  4	4	16888519	8	0	0	1
1688.8829	64	Stimulus/S  4	4	16888829	8	0	0	1
1688.9139	64	Stimulus/S  4	4	16889139	8	0	0	1
1688.9449	64	Stimulus/S  4	4	16889449	8	0	0	1
1689.0014	64	Stimulus/S  1	1	16890014	8	0	0	1
1777.6434	64	Stimulus/S  4	4	17776434	9	0	1	1
1777.6744	64	Stimulus/S  4	4	17776744	9	0	1	1
1777.7054	64	Stimulus/S  8	8	17777054	9	0	1	1
