onset	duration	trial_type	value	sample	trial_order	focus_order	EEG_trigger
6.87152	171.13464583333334	Stimulus/S  1	1	171788	3	1	1
6.89152	171.13464583333334	Stimulus/S  4	4	172288	3	1	1
6.91152	171.13464583333334	Stimulus/S  8	8	172788	3	1	1
6.93152	171.13464583333334	Stimulus/S  8	8	173288	3	1	1
6.95152	171.13464583333334	Stimulus/S  8	8	173788	3	1	1
177.9882	171.13464583333334	Stimulus/S  2	2	4449705	3	1	1
178.43756	171.13464583333334	Stimulus/S  1	1	4460939	3	1	1
178.45756	171.13464583333334	Stimulus/S  4	4	4461439	3	1	1
178.47756	171.13464583333334	Stimulus/S  8	8	4461939	3	1	1
178.49756	171.13464583333334	Stimulus/S  8	8	4462439	3	1	1
178.51756	171.13464583333334	Stimulus/S  8	8	4462939	3	1	1
349.5542	171.13464583333334	Stimulus/S  2	2	8738855	3	1	1
350.00156	171.13464583333334	Stimulus/S  1	1	8750039	3	1	1
350.02156	171.13464583333334	Stimulus/S  4	4	8750539	3	1	1
350.04156	171.13464583333334	Stimulus/S  8	8	8751039	3	1	1
350.06156	171.13464583333334	Stimulus/S  8	8	8751539	3	1	1
350.08156	171.13464583333334	Stimulus/S  8	8	8752039	3	1	1
521.1182	171.13464583333334	Stimulus/S  2	2	13027955	3	1	1
521.56956	171.13464583333334	Stimulus/S  1	1	13039239	3	1	1
521.58956	171.13464583333334	Stimulus/S  4	4	13039739	3	1	1
521.60956	171.13464583333334	Stimulus/S  8	8	13040239	3	1	1
521.62956	171.13464583333334	Stimulus/S  8	8	13040739	3	1	1
521.64956	171.13464583333334	Stimulus/S  8	8	13041239	3	1	1
692.68624	171.13464583333334	Stimulus/S  2	2	17317156	3	1	1
693.4256	171.13464583333334	Stimulus/S  1	1	17335640	1	1	1
693.4456	171.13464583333334	Stimulus/S  4	4	17336140	1	1	1
693.4656	171.13464583333334	Stimulus/S  4	4	17336640	1	1	1
693.4856	171.13464583333334	Stimulus/S  8	8	17337140	1	1	1
693.5056	171.13464583333334	Stimulus/S  8	8	17337640	1	1	1
864.54228	171.13464583333334	Stimulus/S  2	2	21613557	1	1	1
865.00164	171.13464583333334	Stimulus/S  1	1	21625041	1	1	1
865.02164	171.13464583333334	Stimulus/S  4	4	21625541	1	1	1
865.04164	171.13464583333334	Stimulus/S  4	4	21626041	1	1	1
865.06164	171.13464583333334	Stimulus/S  8	8	21626541	1	1	1
865.08164	171.13464583333334	Stimulus/S  8	8	21627041	1	1	1
1036.11828	171.13464583333334	Stimulus/S  2	2	25902957	1	1	1
1036.55364	171.13464583333334	Stimulus/S  1	1	25913841	1	1	1
1036.57364	171.13464583333334	Stimulus/S  4	4	25914341	1	1	1
1036.59364	171.13464583333334	Stimulus/S  4	4	25914841	1	1	1
1036.61364	171.13464583333334	Stimulus/S  8	8	25915341	1	1	1
1036.63364	171.13464583333334	Stimulus/S  8	8	25915841	1	1	1
1207.67028	171.13464583333334	Stimulus/S  2	2	30191757	1	1	1
1208.13564	171.13464583333334	Stimulus/S  1	1	30203391	1	1	1
1208.15564	171.13464583333334	Stimulus/S  4	4	30203891	1	1	1
1208.17564	171.13464583333334	Stimulus/S  4	4	30204391	1	1	1
1208.19564	171.13464583333334	Stimulus/S  8	8	30204891	1	1	1
1208.21564	171.13464583333334	Stimulus/S  8	8	30205391	1	1	1
1379.25228	171.13464583333334	Stimulus/S  2	2	34481307	1	1	1
1379.69364	171.13464583333334	Stimulus/S  1	1	34492341	4	1	1
1379.71364	171.13464583333334	Stimulus/S  8	8	34492841	4	1	1
1379.73364	171.13464583333334	Stimulus/S  4	4	34493341	4	1	1
1379.75364	171.13464583333334	Stimulus/S  4	4	34493841	4	1	1
1379.77364	171.13464583333334	Stimulus/S  8	8	34494341	4	1	1
1550.81028	171.13464583333334	Stimulus/S  2	2	38770257	4	1	1
1551.25764	171.13464583333334	Stimulus/S  1	1	38781441	4	1	1
1551.27764	171.13464583333334	Stimulus/S  8	8	38781941	4	1	1
1551.29764	171.13464583333334	Stimulus/S  4	4	38782441	4	1	1
1551.31764	171.13464583333334	Stimulus/S  4	4	38782941	4	1	1
1551.33764	171.13464583333334	Stimulus/S  8	8	38783441	4	1	1
1722.37428	171.13464583333334	Stimulus/S  2	2	43059357	4	1	1
1722.82364	171.13464583333334	Stimulus/S  1	1	43070591	4	1	1
1722.84364	171.13464583333334	Stimulus/S  8	8	43071091	4	1	1
1722.86364	171.13464583333334	Stimulus/S  4	4	43071591	4	1	1
1722.88364	171.13464583333334	Stimulus/S  4	4	43072091	4	1	1
1722.90364	171.13464583333334	Stimulus/S  8	8	43072591	4	1	1
1893.94028	171.13464583333334	Stimulus/S  2	2	47348507	4	1	1
1894.38564	171.13464583333334	Stimulus/S  1	1	47359641	4	1	1
1894.40564	171.13464583333334	Stimulus/S  8	8	47360141	4	1	1
1894.42564	171.13464583333334	Stimulus/S  4	4	47360641	4	1	1
1894.44564	171.13464583333334	Stimulus/S  4	4	47361141	4	1	1
1894.46564	171.13464583333334	Stimulus/S  8	8	47361641	4	1	1
2065.50228	171.13464583333334	Stimulus/S  2	2	51637557	4	1	1
2065.95964	171.13464583333334	Stimulus/S  1	1	51648991	2	1	1
2065.97964	171.13464583333334	Stimulus/S  4	4	51649491	2	1	1
2065.99964	171.13464583333334	Stimulus/S  8	8	51649991	2	1	1
2066.01964	171.13464583333334	Stimulus/S  4	4	51650491	2	1	1
2066.03964	171.13464583333334	Stimulus/S  8	8	51650991	2	1	1
2237.07624	171.13464583333334	Stimulus/S  2	2	55926906	2	1	1
2237.5756	171.13464583333334	Stimulus/S  1	1	55939390	2	1	1
2237.5956	171.13464583333334	Stimulus/S  4	4	55939890	2	1	1
2237.6156	171.13464583333334	Stimulus/S  8	8	55940390	2	1	1
2237.6356	171.13464583333334	Stimulus/S  4	4	55940890	2	1	1
2237.6556	171.13464583333334	Stimulus/S  8	8	55941390	2	1	1
2408.69224	171.13464583333334	Stimulus/S  2	2	60217306	2	1	1
2409.1236	171.13464583333334	Stimulus/S  1	1	60228090	2	1	1
2409.1436	171.13464583333334	Stimulus/S  4	4	60228590	2	1	1
