onset	duration	trial_type	value	sample	attend	chapter
53.6855	64.0	Stimulus/S  1	1	536855	Female	0
53.6856	64.0	Stimulus/S  4	4	536856	Female	0
53.6857	64.0	Stimulus/S  4	4	536857	Female	0
53.6858	64.0	Stimulus/S  4	4	536858	Female	0
53.6859	64.0	Stimulus/S  4	4	536859	Female	0
53.686	64.0	Stimulus/S  4	4	536860	Female	0
53.6861	64.0	Stimulus/S  4	4	536861	Female	0
53.6862	64.0	Stimulus/S  4	4	536862	Female	0
117.6663	64.0	Stimulus/S  2	2	1176663	Female	0
132.3824	64.0	Stimulus/S  1	1	1323824	Female	1
132.3825	64.0	Stimulus/S  4	4	1323825	Female	1
132.3826	64.0	Stimulus/S  4	4	1323826	Female	1
132.3827	64.0	Stimulus/S  4	4	1323827	Female	1
132.3828	64.0	Stimulus/S  4	4	1323828	Female	1
132.3829	64.0	Stimulus/S  4	4	1323829	Female	1
132.383	64.0	Stimulus/S  4	4	1323830	Female	1
132.3831	64.0	Stimulus/S  8	8	1323831	Female	1
196.3632	64.0	Stimulus/S  2	2	1963632	Female	1
213.8854	64.0	Stimulus/S  1	1	2138854	Male	0
213.8855	64.0	Stimulus/S  8	8	2138855	Male	0
213.8856	64.0	Stimulus/S  4	4	2138856	Male	0
213.8857	64.0	Stimulus/S  4	4	2138857	Male	0
213.8858	64.0	Stimulus/S  4	4	2138858	Male	0
213.8859	64.0	Stimulus/S  4	4	2138859	Male	0
213.886	64.0	Stimulus/S  4	4	2138860	Male	0
213.8861	64.0	Stimulus/S  4	4	2138861	Male	0
277.8661	64.0	Stimulus/S  2	2	2778661	Male	0
290.3562	64.0	Stimulus/S  1	1	2903562	Male	1
290.3563	64.0	Stimulus/S  8	8	2903563	Male	1
290.3564	64.0	Stimulus/S  4	4	2903564	Male	1
290.3565	64.0	Stimulus/S  4	4	2903565	Male	1
290.3566	64.0	Stimulus/S  4	4	2903566	Male	1
290.3567	64.0	Stimulus/S  4	4	2903567	Male	1
290.3568	64.0	Stimulus/S  4	4	2903568	Male	1
290.3569	64.0	Stimulus/S  8	8	2903569	Male	1
354.337	64.0	Stimulus/S  2	2	3543370	Male	1
370.9192	64.0	Stimulus/S  1	1	3709192	Male	2
370.9193	64.0	Stimulus/S  8	8	3709193	Male	2
370.9194	64.0	Stimulus/S  4	4	3709194	Male	2
370.9195	64.0	Stimulus/S  4	4	3709195	Male	2
370.9196	64.0	Stimulus/S  4	4	3709196	Male	2
370.9197	64.0	Stimulus/S  4	4	3709197	Male	2
370.9198	64.0	Stimulus/S  8	8	3709198	Male	2
370.9199	64.0	Stimulus/S  4	4	3709199	Male	2
434.8999	64.0	Stimulus/S  2	2	4348999	Male	2
447.868	64.0	Stimulus/S  1	1	4478680	Male	3
447.8681	64.0	Stimulus/S  8	8	4478681	Male	3
447.8682	64.0	Stimulus/S  4	4	4478682	Male	3
447.8683	64.0	Stimulus/S  4	4	4478683	Male	3
447.8684	64.0	Stimulus/S  4	4	4478684	Male	3
447.8685	64.0	Stimulus/S  4	4	4478685	Male	3
447.8686	64.0	Stimulus/S  8	8	4478686	Male	3
447.8687	64.0	Stimulus/S  8	8	4478687	Male	3
511.8488	64.0	Stimulus/S  2	2	5118488	Male	3
522.2989	64.0	Stimulus/S  1	1	5222989	Female	2
522.299	64.0	Stimulus/S  4	4	5222990	Female	2
522.2991	64.0	Stimulus/S  4	4	5222991	Female	2
522.2992	64.0	Stimulus/S  4	4	5222992	Female	2
522.2993	64.0	Stimulus/S  4	4	5222993	Female	2
522.2994	64.0	Stimulus/S  4	4	5222994	Female	2
522.2995	64.0	Stimulus/S  8	8	5222995	Female	2
522.2996	64.0	Stimulus/S  4	4	5222996	Female	2
586.2796	64.0	Stimulus/S  2	2	5862796	Female	2
598.6878	64.0	Stimulus/S  1	1	5986878	Female	3
598.6879	64.0	Stimulus/S  4	4	5986879	Female	3
598.688	64.0	Stimulus/S  4	4	5986880	Female	3
598.6881	64.0	Stimulus/S  4	4	5986881	Female	3
598.6882	64.0	Stimulus/S  4	4	5986882	Female	3
598.6883	64.0	Stimulus/S  4	4	5986883	Female	3
598.6884	64.0	Stimulus/S  8	8	5986884	Female	3
598.6885	64.0	Stimulus/S  8	8	5986885	Female	3
662.6685	64.0	Stimulus/S  2	2	6626685	Female	3
682.3967	64.0	Stimulus/S  1	1	6823967	Female	4
682.3968	64.0	Stimulus/S  4	4	6823968	Female	4
682.3969	64.0	Stimulus/S  4	4	6823969	Female	4
682.397	64.0	Stimulus/S  4	4	6823970	Female	4
682.3971	64.0	Stimulus/S  4	4	6823971	Female	4
682.3972	64.0	Stimulus/S  8	8	6823972	Female	4
682.3973	64.0	Stimulus/S  4	4	6823973	Female	4
682.3974	64.0	Stimulus/S  4	4	6823974	Female	4
746.3774	64.0	Stimulus/S  2	2	7463774	Female	4
759.3036	64.0	Stimulus/S  1	1	7593036	Female	5
759.3037	64.0	Stimulus/S  4	4	7593037	Female	5
759.3038	64.0	Stimulus/S  4	4	7593038	Female	5
759.3039	64.0	Stimulus/S  4	4	7593039	Female	5
759.304	64.0	Stimulus/S  4	4	7593040	Female	5
759.3041	64.0	Stimulus/S  8	8	7593041	Female	5
759.3042	64.0	Stimulus/S  4	4	7593042	Female	5
759.3043	64.0	Stimulus/S  8	8	7593043	Female	5
823.2843	64.0	Stimulus/S  2	2	8232843	Female	5
835.3945	64.0	Stimulus/S  1	1	8353945	Male	4
835.3946	64.0	Stimulus/S  8	8	8353946	Male	4
835.3947	64.0	Stimulus/S  4	4	8353947	Male	4
835.3948	64.0	Stimulus/S  4	4	8353948	Male	4
835.3949	64.0	Stimulus/S  4	4	8353949	Male	4
835.395	64.0	Stimulus/S  8	8	8353950	Male	4
835.3951	64.0	Stimulus/S  4	4	8353951	Male	4
