onset	duration	trial_type	value	sample	attend	chapter
40.8325	64.0	Stimulus/S  1	1	408325	Female	0
40.8326	64.0	Stimulus/S  4	4	408326	Female	0
40.8327	64.0	Stimulus/S  4	4	408327	Female	0
40.8328	64.0	Stimulus/S  4	4	408328	Female	0
40.8329	64.0	Stimulus/S  4	4	408329	Female	0
40.833	64.0	Stimulus/S  4	4	408330	Female	0
40.8331	64.0	Stimulus/S  4	4	408331	Female	0
40.8332	64.0	Stimulus/S  4	4	408332	Female	0
104.8141	64.0	Stimulus/S  2	2	1048141	Female	0
120.9126	64.0	Stimulus/S  1	1	1209126	Female	1
120.9127	64.0	Stimulus/S  4	4	1209127	Female	1
120.9128	64.0	Stimulus/S  4	4	1209128	Female	1
120.9129	64.0	Stimulus/S  4	4	1209129	Female	1
120.913	64.0	Stimulus/S  4	4	1209130	Female	1
120.9131	64.0	Stimulus/S  4	4	1209131	Female	1
120.9132	64.0	Stimulus/S  4	4	1209132	Female	1
120.9133	64.0	Stimulus/S  8	8	1209133	Female	1
184.8942	64.0	Stimulus/S  2	2	1848942	Female	1
214.2149	64.0	Stimulus/S  1	1	2142149	Male	0
214.215	64.0	Stimulus/S  8	8	2142150	Male	0
214.2151	64.0	Stimulus/S  4	4	2142151	Male	0
214.2152	64.0	Stimulus/S  4	4	2142152	Male	0
214.2153	64.0	Stimulus/S  4	4	2142153	Male	0
214.2154	64.0	Stimulus/S  4	4	2142154	Male	0
214.2155	64.0	Stimulus/S  4	4	2142155	Male	0
214.2156	64.0	Stimulus/S  4	4	2142156	Male	0
278.1965	64.0	Stimulus/S  2	2	2781965	Male	0
296.683	64.0	Stimulus/S  1	1	2966830	Male	1
296.6831	64.0	Stimulus/S  8	8	2966831	Male	1
296.6832	64.0	Stimulus/S  4	4	2966832	Male	1
296.6833	64.0	Stimulus/S  4	4	2966833	Male	1
296.6834	64.0	Stimulus/S  4	4	2966834	Male	1
296.6835	64.0	Stimulus/S  4	4	2966835	Male	1
296.6836	64.0	Stimulus/S  4	4	2966836	Male	1
296.6837	64.0	Stimulus/S  8	8	2966837	Male	1
360.6646	64.0	Stimulus/S  2	2	3606646	Male	1
382.7712	64.0	Stimulus/S  1	1	3827712	Male	2
382.7713	64.0	Stimulus/S  8	8	3827713	Male	2
382.7714	64.0	Stimulus/S  4	4	3827714	Male	2
382.7715	64.0	Stimulus/S  4	4	3827715	Male	2
382.7716	64.0	Stimulus/S  4	4	3827716	Male	2
382.7717	64.0	Stimulus/S  4	4	3827717	Male	2
382.7718	64.0	Stimulus/S  8	8	3827718	Male	2
382.7719	64.0	Stimulus/S  4	4	3827719	Male	2
446.7528	64.0	Stimulus/S  2	2	4467528	Male	2
467.0593	64.0	Stimulus/S  1	1	4670593	Male	3
467.0594	64.0	Stimulus/S  8	8	4670594	Male	3
467.0595	64.0	Stimulus/S  4	4	4670595	Male	3
467.0596	64.0	Stimulus/S  4	4	4670596	Male	3
467.0597	64.0	Stimulus/S  4	4	4670597	Male	3
467.0598	64.0	Stimulus/S  4	4	4670598	Male	3
467.0599	64.0	Stimulus/S  8	8	4670599	Male	3
