onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
12.8032	64	Stimulus/S  4	4	128032	0	0	0	1
12.8341	64	Stimulus/S  4	4	128341	0	0	0	1
12.8651	64	Stimulus/S  4	4	128651	0	0	0	1
12.8962	64	Stimulus/S  4	4	128962	0	0	0	1
12.9272	64	Stimulus/S  4	4	129272	0	0	0	1
12.9582	64	Stimulus/S  4	4	129582	0	0	0	1
12.9891	64	Stimulus/S  4	4	129891	0	0	0	1
13.0201	64	Stimulus/S  4	4	130201	0	0	0	1
13.0753	64	Stimulus/S  1	1	130753	0	0	0	1
99.0718	64	Stimulus/S  4	4	990718	1	0	1	1
99.1028	64	Stimulus/S  4	4	991028	1	0	1	1
99.1338	64	Stimulus/S  4	4	991338	1	0	1	1
99.1648	64	Stimulus/S  4	4	991648	1	0	1	1
99.1958	64	Stimulus/S  4	4	991958	1	0	1	1
99.2268	64	Stimulus/S  8	8	992268	1	0	1	1
99.2578	64	Stimulus/S  4	4	992578	1	0	1	1
99.2888	64	Stimulus/S  8	8	992888	1	0	1	1
99.3419	64	Stimulus/S  1	1	993419	1	0	1	1
189.1092	64	Stimulus/S  4	4	1891092	0	1	1	1
189.1402	64	Stimulus/S  4	4	1891402	0	1	1	1
189.1712	64	Stimulus/S  4	4	1891712	0	1	1	1
189.2022	64	Stimulus/S  4	4	1892022	0	1	1	1
189.2332	64	Stimulus/S  4	4	1892332	0	1	1	1
189.2642	64	Stimulus/S  4	4	1892642	0	1	1	1
189.2952	64	Stimulus/S  8	8	1892952	0	1	1	1
189.3262	64	Stimulus/S  8	8	1893262	0	1	1	1
189.3752	64	Stimulus/S  1	1	1893752	0	1	1	1
274.3414	64	Stimulus/S  4	4	2743414	1	1	0	1
274.3724	64	Stimulus/S  4	4	2743724	1	1	0	1
274.4034	64	Stimulus/S  4	4	2744034	1	1	0	1
274.4344	64	Stimulus/S  4	4	2744344	1	1	0	1
274.4654	64	Stimulus/S  4	4	2744654	1	1	0	1
274.4964	64	Stimulus/S  8	8	2744964	1	1	0	1
274.5274	64	Stimulus/S  8	8	2745274	1	1	0	1
274.5584	64	Stimulus/S  4	4	2745584	1	1	0	1
274.6085	64	Stimulus/S  1	1	2746085	1	1	0	1
384.6378	64	Stimulus/S  4	4	3846378	2	1	0	1
384.6688	64	Stimulus/S  4	4	3846688	2	1	0	1
384.6998	64	Stimulus/S  4	4	3846998	2	1	0	1
384.7308	64	Stimulus/S  4	4	3847308	2	1	0	1
384.7618	64	Stimulus/S  8	8	3847618	2	1	0	1
384.7928	64	Stimulus/S  4	4	3847928	2	1	0	1
384.8238	64	Stimulus/S  8	8	3848238	2	1	0	1
384.8548	64	Stimulus/S  4	4	3848548	2	1	0	1
384.9084	64	Stimulus/S  1	1	3849084	2	1	0	1
473.6038	64	Stimulus/S  4	4	4736038	3	1	1	1
473.6349	64	Stimulus/S  4	4	4736349	3	1	1	1
473.6658	64	Stimulus/S  4	4	4736658	3	1	1	1
473.6968	64	Stimulus/S  4	4	4736968	3	1	1	1
473.7278	64	Stimulus/S  8	8	4737278	3	1	1	1
473.7589	64	Stimulus/S  8	8	4737589	3	1	1	1
473.7898	64	Stimulus/S  8	8	4737898	3	1	1	1
473.8208	64	Stimulus/S  8	8	4738208	3	1	1	1
473.8751	64	Stimulus/S  1	1	4738751	3	1	1	1
557.1765	64	Stimulus/S  4	4	5571765	2	0	1	1
557.2075	64	Stimulus/S  4	4	5572075	2	0	1	1
557.2385	64	Stimulus/S  4	4	5572385	2	0	1	1
557.2695	64	Stimulus/S  4	4	5572695	2	0	1	1
557.3005	64	Stimulus/S  8	8	5573005	2	0	1	1
557.3315	64	Stimulus/S  4	4	5573315	2	0	1	1
557.3625	64	Stimulus/S  4	4	5573625	2	0	1	1
557.3935	64	Stimulus/S  8	8	5573935	2	0	1	1
557.4416	64	Stimulus/S  1	1	5574416	2	0	1	1
641.4091	64	Stimulus/S  4	4	6414091	3	0	0	1
641.4401	64	Stimulus/S  4	4	6414401	3	0	0	1
641.4712	64	Stimulus/S  4	4	6414712	3	0	0	1
641.5021	64	Stimulus/S  4	4	6415021	3	0	0	1
641.5331	64	Stimulus/S  8	8	6415331	3	0	0	1
641.5642	64	Stimulus/S  8	8	6415642	3	0	0	1
641.5951	64	Stimulus/S  4	4	6415951	3	0	0	1
641.6261	64	Stimulus/S  4	4	6416261	3	0	0	1
641.6749	64	Stimulus/S  1	1	6416749	3	0	0	1
736.7031	64	Stimulus/S  4	4	7367031	4	0	0	1
736.7341	64	Stimulus/S  4	4	7367341	4	0	0	1
736.7651	64	Stimulus/S  4	4	7367651	4	0	0	1
736.796	64	Stimulus/S  8	8	7367960	4	0	0	1
736.827	64	Stimulus/S  4	4	7368270	4	0	0	1
736.858	64	Stimulus/S  4	4	7368580	4	0	0	1
736.8891	64	Stimulus/S  4	4	7368891	4	0	0	1
736.9201	64	Stimulus/S  4	4	7369201	4	0	0	1
736.9749	64	Stimulus/S  1	1	7369749	4	0	0	1
818.7039	64	Stimulus/S  4	4	8187039	5	0	1	1
818.735	64	Stimulus/S  4	4	8187350	5	0	1	1
818.766	64	Stimulus/S  4	4	8187660	5	0	1	1
818.7969	64	Stimulus/S  8	8	8187969	5	0	1	1
818.8279	64	Stimulus/S  4	4	8188279	5	0	1	1
818.8589	64	Stimulus/S  8	8	8188589	5	0	1	1
818.8899	64	Stimulus/S  4	4	8188899	5	0	1	1
818.921	64	Stimulus/S  8	8	8189210	5	0	1	1
818.9748	64	Stimulus/S  1	1	8189748	5	0	1	1
909.7086	64	Stimulus/S  4	4	9097086	4	1	1	1
909.7396	64	Stimulus/S  4	4	9097396	4	1	1	1
909.7706	64	Stimulus/S  4	4	9097706	4	1	1	1
