onset	duration	trial_type	value	sample	attend	chapter
79.6871	64.0	Stimulus/S  1	1	796871	Female	0
79.6872	64.0	Stimulus/S  4	4	796872	Female	0
79.6873	64.0	Stimulus/S  4	4	796873	Female	0
79.6874	64.0	Stimulus/S  4	4	796874	Female	0
79.6875	64.0	Stimulus/S  4	4	796875	Female	0
79.6876	64.0	Stimulus/S  4	4	796876	Female	0
79.6877	64.0	Stimulus/S  4	4	796877	Female	0
79.6878	64.0	Stimulus/S  4	4	796878	Female	0
143.6678	64.0	Stimulus/S  2	2	1436678	Female	0
167.2241	64.0	Stimulus/S  1	1	1672241	Female	1
167.2242	64.0	Stimulus/S  4	4	1672242	Female	1
167.2243	64.0	Stimulus/S  4	4	1672243	Female	1
167.2244	64.0	Stimulus/S  4	4	1672244	Female	1
167.2245	64.0	Stimulus/S  4	4	1672245	Female	1
167.2246	64.0	Stimulus/S  4	4	1672246	Female	1
167.2247	64.0	Stimulus/S  4	4	1672247	Female	1
167.2248	64.0	Stimulus/S  8	8	1672248	Female	1
231.2048	64.0	Stimulus/S  2	2	2312048	Female	1
254.0151	64.0	Stimulus/S  1	1	2540151	Male	0
254.0152	64.0	Stimulus/S  8	8	2540152	Male	0
254.0153	64.0	Stimulus/S  4	4	2540153	Male	0
254.0154	64.0	Stimulus/S  4	4	2540154	Male	0
254.0155	64.0	Stimulus/S  4	4	2540155	Male	0
254.0156	64.0	Stimulus/S  4	4	2540156	Male	0
254.0157	64.0	Stimulus/S  4	4	2540157	Male	0
254.0158	64.0	Stimulus/S  4	4	2540158	Male	0
317.9958	64.0	Stimulus/S  2	2	3179958	Male	0
335.6141	64.0	Stimulus/S  1	1	3356141	Male	1
335.6142	64.0	Stimulus/S  8	8	3356142	Male	1
335.6143	64.0	Stimulus/S  4	4	3356143	Male	1
335.6144	64.0	Stimulus/S  4	4	3356144	Male	1
335.6145	64.0	Stimulus/S  4	4	3356145	Male	1
335.6146	64.0	Stimulus/S  4	4	3356146	Male	1
335.6147	64.0	Stimulus/S  4	4	3356147	Male	1
335.6148	64.0	Stimulus/S  8	8	3356148	Male	1
399.5948	64.0	Stimulus/S  2	2	3995948	Male	1
429.7092	64.0	Stimulus/S  1	1	4297092	Male	2
429.7093	64.0	Stimulus/S  8	8	4297093	Male	2
429.7094	64.0	Stimulus/S  4	4	4297094	Male	2
429.7095	64.0	Stimulus/S  4	4	4297095	Male	2
429.7096	64.0	Stimulus/S  4	4	4297096	Male	2
429.7097	64.0	Stimulus/S  4	4	4297097	Male	2
429.7098	64.0	Stimulus/S  8	8	4297098	Male	2
429.7099	64.0	Stimulus/S  4	4	4297099	Male	2
493.6899	64.0	Stimulus/S  2	2	4936899	Male	2
520.1542	64.0	Stimulus/S  1	1	5201542	Male	3
520.1543	64.0	Stimulus/S  8	8	5201543	Male	3
520.1544	64.0	Stimulus/S  4	4	5201544	Male	3
520.1545	64.0	Stimulus/S  4	4	5201545	Male	3
520.1546	64.0	Stimulus/S  4	4	5201546	Male	3
520.1547	64.0	Stimulus/S  4	4	5201547	Male	3
520.1548	64.0	Stimulus/S  8	8	5201548	Male	3
520.1549	64.0	Stimulus/S  8	8	5201549	Male	3
584.135	64.0	Stimulus/S  2	2	5841350	Male	3
621.1254	64.0	Stimulus/S  1	1	6211254	Female	2
621.1255	64.0	Stimulus/S  4	4	6211255	Female	2
621.1256	64.0	Stimulus/S  4	4	6211256	Female	2
621.1257	64.0	Stimulus/S  4	4	6211257	Female	2
621.1258	64.0	Stimulus/S  4	4	6211258	Female	2
621.1259	64.0	Stimulus/S  4	4	6211259	Female	2
621.126	64.0	Stimulus/S  8	8	6211260	Female	2
621.1261	64.0	Stimulus/S  4	4	6211261	Female	2
685.1061	64.0	Stimulus/S  2	2	6851061	Female	2
706.7084	64.0	Stimulus/S  1	1	7067084	Female	3
706.7085	64.0	Stimulus/S  4	4	7067085	Female	3
706.7086	64.0	Stimulus/S  4	4	7067086	Female	3
706.7087	64.0	Stimulus/S  4	4	7067087	Female	3
706.7088	64.0	Stimulus/S  4	4	7067088	Female	3
706.7089	64.0	Stimulus/S  4	4	7067089	Female	3
706.709	64.0	Stimulus/S  8	8	7067090	Female	3
706.7091	64.0	Stimulus/S  8	8	7067091	Female	3
770.6891	64.0	Stimulus/S  2	2	7706891	Female	3
801.5215	64.0	Stimulus/S  1	1	8015215	Female	4
801.5216	64.0	Stimulus/S  4	4	8015216	Female	4
801.5217	64.0	Stimulus/S  4	4	8015217	Female	4
801.5218	64.0	Stimulus/S  4	4	8015218	Female	4
801.5219	64.0	Stimulus/S  4	4	8015219	Female	4
801.522	64.0	Stimulus/S  8	8	8015220	Female	4
801.5221	64.0	Stimulus/S  4	4	8015221	Female	4
801.5222	64.0	Stimulus/S  4	4	8015222	Female	4
865.5022	64.0	Stimulus/S  2	2	8655022	Female	4
896.3966	64.0	Stimulus/S  1	1	8963966	Female	5
896.3967	64.0	Stimulus/S  4	4	8963967	Female	5
896.3968	64.0	Stimulus/S  4	4	8963968	Female	5
896.3969	64.0	Stimulus/S  4	4	8963969	Female	5
896.397	64.0	Stimulus/S  4	4	8963970	Female	5
896.3971	64.0	Stimulus/S  8	8	8963971	Female	5
896.3972	64.0	Stimulus/S  4	4	8963972	Female	5
896.3973	64.0	Stimulus/S  8	8	8963973	Female	5
960.3773	64.0	Stimulus/S  2	2	9603773	Female	5
983.1436	64.0	Stimulus/S  1	1	9831436	Male	4
983.1437	64.0	Stimulus/S  8	8	9831437	Male	4
983.1438	64.0	Stimulus/S  4	4	9831438	Male	4
983.1439	64.0	Stimulus/S  4	4	9831439	Male	4
983.144	64.0	Stimulus/S  4	4	9831440	Male	4
983.1441	64.0	Stimulus/S  8	8	9831441	Male	4
983.1442	64.0	Stimulus/S  4	4	9831442	Male	4
983.1443	64.0	Stimulus/S  4	4	9831443	Male	4
1047.1243	64.0	Stimulus/S  2	2	10471243	Male	4
1104.707	64.0	Stimulus/S  1	1	11047070	Male	5
1104.7071	64.0	Stimulus/S  8	8	11047071	Male	5
1104.7072	64.0	Stimulus/S  4	4	11047072	Male	5
1104.7073	64.0	Stimulus/S  4	4	11047073	Male	5
1104.7074	64.0	Stimulus/S  4	4	11047074	Male	5
1104.7075	64.0	Stimulus/S  8	8	11047075	Male	5
1104.7076	64.0	Stimulus/S  4	4	11047076	Male	5
1104.7077	64.0	Stimulus/S  8	8	11047077	Male	5
1168.6877	64.0	Stimulus/S  2	2	11686877	Male	5
1225.8744	64.0	Stimulus/S  1	1	12258744	Male	6
1225.8745	64.0	Stimulus/S  8	8	12258745	Male	6
1225.8746	64.0	Stimulus/S  4	4	12258746	Male	6
1225.8747	64.0	Stimulus/S  4	4	12258747	Male	6
1225.8748	64.0	Stimulus/S  4	4	12258748	Male	6
1225.8749	64.0	Stimulus/S  8	8	12258749	Male	6
1225.875	64.0	Stimulus/S  8	8	12258750	Male	6
1225.8751	64.0	Stimulus/S  4	4	12258751	Male	6
1289.8551	64.0	Stimulus/S  2	2	12898551	Male	6
1310.3373	64.0	Stimulus/S  1	1	13103373	Male	7
1310.3374	64.0	Stimulus/S  8	8	13103374	Male	7
1310.3375	64.0	Stimulus/S  4	4	13103375	Male	7
1310.3376	64.0	Stimulus/S  4	4	13103376	Male	7
1310.3377	64.0	Stimulus/S  4	4	13103377	Male	7
1310.3378	64.0	Stimulus/S  8	8	13103378	Male	7
1310.3379	64.0	Stimulus/S  8	8	13103379	Male	7
1310.338	64.0	Stimulus/S  8	8	13103380	Male	7
1374.318	64.0	Stimulus/S  2	2	13743180	Male	7
1410.9504	64.0	Stimulus/S  1	1	14109504	Female	6
1410.9505	64.0	Stimulus/S  4	4	14109505	Female	6
1410.9506	64.0	Stimulus/S  4	4	14109506	Female	6
1410.9507	64.0	Stimulus/S  4	4	14109507	Female	6
1410.9508	64.0	Stimulus/S  4	4	14109508	Female	6
1410.9509	64.0	Stimulus/S  8	8	14109509	Female	6
1410.951	64.0	Stimulus/S  8	8	14109510	Female	6
1410.9511	64.0	Stimulus/S  4	4	14109511	Female	6
1474.9312	64.0	Stimulus/S  2	2	14749312	Female	6
1499.0375	64.0	Stimulus/S  1	1	14990375	Female	7
1499.0376	64.0	Stimulus/S  4	4	14990376	Female	7
1499.0377	64.0	Stimulus/S  4	4	14990377	Female	7
1499.0378	64.0	Stimulus/S  4	4	14990378	Female	7
1499.0379	64.0	Stimulus/S  4	4	14990379	Female	7
1499.038	64.0	Stimulus/S  8	8	14990380	Female	7
1499.0381	64.0	Stimulus/S  8	8	14990381	Female	7
1499.0382	64.0	Stimulus/S  8	8	14990382	Female	7
1563.0182	64.0	Stimulus/S  2	2	15630182	Female	7
1586.4805	64.0	Stimulus/S  1	1	15864805	Female	8
1586.4806	64.0	Stimulus/S  4	4	15864806	Female	8
1586.4807	64.0	Stimulus/S  4	4	15864807	Female	8
1586.4808	64.0	Stimulus/S  4	4	15864808	Female	8
1586.4809	64.0	Stimulus/S  8	8	15864809	Female	8
1586.481	64.0	Stimulus/S  4	4	15864810	Female	8
1586.4811	64.0	Stimulus/S  4	4	15864811	Female	8
1586.4812	64.0	Stimulus/S  4	4	15864812	Female	8
1650.4612	64.0	Stimulus/S  2	2	16504612	Female	8
1703.5577	64.0	Stimulus/S  1	1	17035577	Female	9
1703.5578	64.0	Stimulus/S  4	4	17035578	Female	9
1703.5579	64.0	Stimulus/S  4	4	17035579	Female	9
1703.558	64.0	Stimulus/S  4	4	17035580	Female	9
1703.5581	64.0	Stimulus/S  8	8	17035581	Female	9
1703.5582	64.0	Stimulus/S  4	4	17035582	Female	9
1703.5583	64.0	Stimulus/S  4	4	17035583	Female	9
1703.5584	64.0	Stimulus/S  8	8	17035584	Female	9
1767.5386	64.0	Stimulus/S  2	2	17675386	Female	9
1787.0348	64.0	Stimulus/S  1	1	17870348	Male	8
1787.0349	64.0	Stimulus/S  8	8	17870349	Male	8
1787.035	64.0	Stimulus/S  4	4	17870350	Male	8
1787.0351	64.0	Stimulus/S  4	4	17870351	Male	8
1787.0352	64.0	Stimulus/S  8	8	17870352	Male	8
1787.0353	64.0	Stimulus/S  4	4	17870353	Male	8
1787.0354	64.0	Stimulus/S  4	4	17870354	Male	8
1787.0355	64.0	Stimulus/S  4	4	17870355	Male	8
1851.0155	64.0	Stimulus/S  2	2	18510155	Male	8
1873.5098	64.0	Stimulus/S  1	1	18735098	Male	9
1873.5099	64.0	Stimulus/S  8	8	18735099	Male	9
1873.51	64.0	Stimulus/S  4	4	18735100	Male	9
