onset	duration	trial_type	value	sample	attend	chapter
25.8225	64.0	Stimulus/S  1	1	258225	Female	0
25.8226	64.0	Stimulus/S  4	4	258226	Female	0
25.8227	64.0	Stimulus/S  4	4	258227	Female	0
25.8228	64.0	Stimulus/S  4	4	258228	Female	0
25.8229	64.0	Stimulus/S  4	4	258229	Female	0
25.823	64.0	Stimulus/S  4	4	258230	Female	0
25.8231	64.0	Stimulus/S  4	4	258231	Female	0
25.8232	64.0	Stimulus/S  4	4	258232	Female	0
89.8041	64.0	Stimulus/S  2	2	898041	Female	0
108.4506	64.0	Stimulus/S  1	1	1084506	Female	1
108.4507	64.0	Stimulus/S  4	4	1084507	Female	1
108.4508	64.0	Stimulus/S  4	4	1084508	Female	1
108.4509	64.0	Stimulus/S  4	4	1084509	Female	1
108.451	64.0	Stimulus/S  4	4	1084510	Female	1
108.4511	64.0	Stimulus/S  4	4	1084511	Female	1
108.4512	64.0	Stimulus/S  4	4	1084512	Female	1
108.4513	64.0	Stimulus/S  8	8	1084513	Female	1
172.4322	64.0	Stimulus/S  2	2	1724322	Female	1
200.3929	64.0	Stimulus/S  1	1	2003929	Male	0
200.393	64.0	Stimulus/S  8	8	2003930	Male	0
200.3931	64.0	Stimulus/S  4	4	2003931	Male	0
200.3932	64.0	Stimulus/S  4	4	2003932	Male	0
200.3933	64.0	Stimulus/S  4	4	2003933	Male	0
200.3934	64.0	Stimulus/S  4	4	2003934	Male	0
200.3935	64.0	Stimulus/S  4	4	2003935	Male	0
200.3936	64.0	Stimulus/S  4	4	2003936	Male	0
264.3745	64.0	Stimulus/S  2	2	2643745	Male	0
281.9169	64.0	Stimulus/S  1	1	2819169	Male	1
281.917	64.0	Stimulus/S  8	8	2819170	Male	1
281.9171	64.0	Stimulus/S  4	4	2819171	Male	1
281.9172	64.0	Stimulus/S  4	4	2819172	Male	1
281.9173	64.0	Stimulus/S  4	4	2819173	Male	1
281.9174	64.0	Stimulus/S  4	4	2819174	Male	1
281.9175	64.0	Stimulus/S  4	4	2819175	Male	1
281.9176	64.0	Stimulus/S  8	8	2819176	Male	1
345.8986	64.0	Stimulus/S  2	2	3458986	Male	1
365.823	64.0	Stimulus/S  1	1	3658230	Male	2
365.8231	64.0	Stimulus/S  8	8	3658231	Male	2
365.8232	64.0	Stimulus/S  4	4	3658232	Male	2
365.8233	64.0	Stimulus/S  4	4	3658233	Male	2
365.8234	64.0	Stimulus/S  4	4	3658234	Male	2
