onset	duration	trial_type	value	sample	attend	chapter
86.8646	64.0	Stimulus/S  1	1	868646	Female	0
86.8647	64.0	Stimulus/S  4	4	868647	Female	0
86.8648	64.0	Stimulus/S  4	4	868648	Female	0
86.8649	64.0	Stimulus/S  4	4	868649	Female	0
86.865	64.0	Stimulus/S  4	4	868650	Female	0
86.8651	64.0	Stimulus/S  4	4	868651	Female	0
86.8652	64.0	Stimulus/S  4	4	868652	Female	0
86.8653	64.0	Stimulus/S  4	4	868653	Female	0
164.7566	64.0	Stimulus/S  1	1	1647566	Female	1
164.7567	64.0	Stimulus/S  4	4	1647567	Female	1
164.7568	64.0	Stimulus/S  4	4	1647568	Female	1
164.7569	64.0	Stimulus/S  4	4	1647569	Female	1
164.757	64.0	Stimulus/S  4	4	1647570	Female	1
164.7571	64.0	Stimulus/S  4	4	1647571	Female	1
164.7572	64.0	Stimulus/S  4	4	1647572	Female	1
164.7573	64.0	Stimulus/S  8	8	1647573	Female	1
251.3228	64.0	Stimulus/S  1	1	2513228	Male	0
251.3229	64.0	Stimulus/S  8	8	2513229	Male	0
251.323	64.0	Stimulus/S  4	4	2513230	Male	0
251.3231	64.0	Stimulus/S  4	4	2513231	Male	0
251.3232	64.0	Stimulus/S  4	4	2513232	Male	0
251.3233	64.0	Stimulus/S  4	4	2513233	Male	0
251.3234	64.0	Stimulus/S  4	4	2513234	Male	0
251.3235	64.0	Stimulus/S  4	4	2513235	Male	0
327.2767	64.0	Stimulus/S  1	1	3272767	Male	1
327.2768	64.0	Stimulus/S  8	8	3272768	Male	1
327.2769	64.0	Stimulus/S  4	4	3272769	Male	1
327.277	64.0	Stimulus/S  4	4	3272770	Male	1
327.2771	64.0	Stimulus/S  4	4	3272771	Male	1
327.2772	64.0	Stimulus/S  4	4	3272772	Male	1
327.2773	64.0	Stimulus/S  4	4	3272773	Male	1
327.2774	64.0	Stimulus/S  8	8	3272774	Male	1
411.0928	64.0	Stimulus/S  1	1	4110928	Male	2
411.0929	64.0	Stimulus/S  8	8	4110929	Male	2
411.093	64.0	Stimulus/S  4	4	4110930	Male	2
411.0931	64.0	Stimulus/S  4	4	4110931	Male	2
411.0932	64.0	Stimulus/S  4	4	4110932	Male	2
411.0933	64.0	Stimulus/S  4	4	4110933	Male	2
411.0934	64.0	Stimulus/S  8	8	4110934	Male	2
411.0935	64.0	Stimulus/S  4	4	4110935	Male	2
496.473	64.0	Stimulus/S  1	1	4964730	Male	3
496.4731	64.0	Stimulus/S  8	8	4964731	Male	3
496.4732	64.0	Stimulus/S  4	4	4964732	Male	3
496.4733	64.0	Stimulus/S  4	4	4964733	Male	3
496.4734	64.0	Stimulus/S  4	4	4964734	Male	3
496.4735	64.0	Stimulus/S  4	4	4964735	Male	3
496.4736	64.0	Stimulus/S  8	8	4964736	Male	3
496.4737	64.0	Stimulus/S  8	8	4964737	Male	3
586.6092	64.0	Stimulus/S  1	1	5866092	Female	2
586.6093	64.0	Stimulus/S  4	4	5866093	Female	2
586.6094	64.0	Stimulus/S  4	4	5866094	Female	2
586.6095	64.0	Stimulus/S  4	4	5866095	Female	2
586.6096	64.0	Stimulus/S  4	4	5866096	Female	2
586.6097	64.0	Stimulus/S  4	4	5866097	Female	2
586.6098	64.0	Stimulus/S  8	8	5866098	Female	2
586.6099	64.0	Stimulus/S  4	4	5866099	Female	2
670.0493	64.0	Stimulus/S  1	1	6700493	Female	3
670.0494	64.0	Stimulus/S  4	4	6700494	Female	3
670.0495	64.0	Stimulus/S  4	4	6700495	Female	3
670.0496	64.0	Stimulus/S  4	4	6700496	Female	3
670.0497	64.0	Stimulus/S  4	4	6700497	Female	3
670.0498	64.0	Stimulus/S  4	4	6700498	Female	3
670.0499	64.0	Stimulus/S  8	8	6700499	Female	3
