onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
30.68	64	Stimulus/S  4	4	15340	0	0	0	1
30.712	64	Stimulus/S  4	4	15356	0	0	0	1
30.742	64	Stimulus/S  4	4	15371	0	0	0	1
30.774	64	Stimulus/S  4	4	15387	0	0	0	1
30.804	64	Stimulus/S  4	4	15402	0	0	0	1
30.836	64	Stimulus/S  4	4	15418	0	0	0	1
30.866	64	Stimulus/S  4	4	15433	0	0	0	1
30.898	64	Stimulus/S  4	4	15449	0	0	0	1
30.954	64	Stimulus/S  1	1	15477	0	0	0	1
122.46	64	Stimulus/S  4	4	61230	1	0	1	1
122.49	64	Stimulus/S  4	4	61245	1	0	1	1
122.522	64	Stimulus/S  4	4	61261	1	0	1	1
122.552	64	Stimulus/S  4	4	61276	1	0	1	1
122.584	64	Stimulus/S  4	4	61292	1	0	1	1
122.614	64	Stimulus/S  8	8	61307	1	0	1	1
122.646	64	Stimulus/S  4	4	61323	1	0	1	1
122.676	64	Stimulus/S  8	8	61338	1	0	1	1
122.722	64	Stimulus/S  1	1	61361	1	0	1	1
209.766	64	Stimulus/S  4	4	104883	0	1	1	1
209.798	64	Stimulus/S  4	4	104899	0	1	1	1
209.828	64	Stimulus/S  4	4	104914	0	1	1	1
209.86	64	Stimulus/S  4	4	104930	0	1	1	1
209.89	64	Stimulus/S  4	4	104945	0	1	1	1
209.922	64	Stimulus/S  4	4	104961	0	1	1	1
209.952	64	Stimulus/S  8	8	104976	0	1	1	1
209.984	64	Stimulus/S  8	8	104992	0	1	1	1
210.038	64	Stimulus/S  1	1	105019	0	1	1	1
293.188	64	Stimulus/S  4	4	146594	1	1	0	1
293.218	64	Stimulus/S  4	4	146609	1	1	0	1
293.25	64	Stimulus/S  4	4	146625	1	1	0	1
293.28	64	Stimulus/S  4	4	146640	1	1	0	1
293.312	64	Stimulus/S  4	4	146656	1	1	0	1
293.342	64	Stimulus/S  8	8	146671	1	1	0	1
293.374	64	Stimulus/S  8	8	146687	1	1	0	1
293.404	64	Stimulus/S  4	4	146702	1	1	0	1
293.454	64	Stimulus/S  1	1	146727	1	1	0	1
390.462	64	Stimulus/S  4	4	195231	2	1	0	1
390.494	64	Stimulus/S  4	4	195247	2	1	0	1
390.524	64	Stimulus/S  4	4	195262	2	1	0	1
390.556	64	Stimulus/S  4	4	195278	2	1	0	1
390.586	64	Stimulus/S  8	8	195293	2	1	0	1
390.618	64	Stimulus/S  4	4	195309	2	1	0	1
390.648	64	Stimulus/S  8	8	195324	2	1	0	1
390.68	64	Stimulus/S  4	4	195340	2	1	0	1
390.738	64	Stimulus/S  1	1	195369	2	1	0	1
473.016	64	Stimulus/S  4	4	236508	3	1	1	1
473.048	64	Stimulus/S  4	4	236524	3	1	1	1
473.078	64	Stimulus/S  4	4	236539	3	1	1	1
473.11	64	Stimulus/S  4	4	236555	3	1	1	1
473.14	64	Stimulus/S  8	8	236570	3	1	1	1
473.172	64	Stimulus/S  8	8	236586	3	1	1	1
473.202	64	Stimulus/S  8	8	236601	3	1	1	1
473.234	64	Stimulus/S  8	8	236617	3	1	1	1
473.288	64	Stimulus/S  1	1	236644	3	1	1	1
555.202	64	Stimulus/S  4	4	277601	2	0	1	1
555.232	64	Stimulus/S  4	4	277616	2	0	1	1
555.264	64	Stimulus/S  4	4	277632	2	0	1	1
555.294	64	Stimulus/S  4	4	277647	2	0	1	1
555.326	64	Stimulus/S  8	8	277663	2	0	1	1
555.356	64	Stimulus/S  4	4	277678	2	0	1	1
555.388	64	Stimulus/S  4	4	277694	2	0	1	1
555.418	64	Stimulus/S  8	8	277709	2	0	1	1
555.472	64	Stimulus/S  1	1	277736	2	0	1	1
638.716	64	Stimulus/S  4	4	319358	3	0	0	1
638.746	64	Stimulus/S  4	4	319373	3	0	0	1
638.776	64	Stimulus/S  4	4	319388	3	0	0	1
638.808	64	Stimulus/S  4	4	319404	3	0	0	1
638.838	64	Stimulus/S  8	8	319419	3	0	0	1
638.87	64	Stimulus/S  8	8	319435	3	0	0	1
638.902	64	Stimulus/S  4	4	319451	3	0	0	1
638.932	64	Stimulus/S  4	4	319466	3	0	0	1
638.988	64	Stimulus/S  1	1	319494	3	0	0	1
726.596	64	Stimulus/S  4	4	363298	4	0	0	1
726.626	64	Stimulus/S  4	4	363313	4	0	0	1
726.658	64	Stimulus/S  4	4	363329	4	0	0	1
726.688	64	Stimulus/S  8	8	363344	4	0	0	1
726.72	64	Stimulus/S  4	4	363360	4	0	0	1
726.75	64	Stimulus/S  4	4	363375	4	0	0	1
726.782	64	Stimulus/S  4	4	363391	4	0	0	1
726.812	64	Stimulus/S  4	4	363406	4	0	0	1
726.854	64	Stimulus/S  1	1	363427	4	0	0	1
809.228	64	Stimulus/S  4	4	404614	5	0	1	1
809.258	64	Stimulus/S  4	4	404629	5	0	1	1
809.29	64	Stimulus/S  4	4	404645	5	0	1	1
809.32	64	Stimulus/S  8	8	404660	5	0	1	1
809.352	64	Stimulus/S  4	4	404676	5	0	1	1
809.382	64	Stimulus/S  8	8	404691	5	0	1	1
809.414	64	Stimulus/S  4	4	404707	5	0	1	1
809.444	64	Stimulus/S  8	8	404722	5	0	1	1
809.488	64	Stimulus/S  1	1	404744	5	0	1	1
895.604	64	Stimulus/S  4	4	447802	4	1	1	1
895.634	64	Stimulus/S  4	4	447817	4	1	1	1
895.666	64	Stimulus/S  4	4	447833	4	1	1	1
895.696	64	Stimulus/S  8	8	447848	4	1	1	1
895.728	64	Stimulus/S  4	4	447864	4	1	1	1
895.758	64	Stimulus/S  4	4	447879	4	1	1	1
895.79	64	Stimulus/S  8	8	447895	4	1	1	1
895.82	64	Stimulus/S  8	8	447910	4	1	1	1
895.872	64	Stimulus/S  1	1	447936	4	1	1	1
981.054	64	Stimulus/S  4	4	490527	5	1	0	1
981.084	64	Stimulus/S  4	4	490542	5	1	0	1
981.116	64	Stimulus/S  4	4	490558	5	1	0	1
981.146	64	Stimulus/S  8	8	490573	5	1	0	1
981.178	64	Stimulus/S  4	4	490589	5	1	0	1
981.208	64	Stimulus/S  8	8	490604	5	1	0	1
981.24	64	Stimulus/S  8	8	490620	5	1	0	1
981.27	64	Stimulus/S  4	4	490635	5	1	0	1
981.322	64	Stimulus/S  1	1	490661	5	1	0	1
1070.846	64	Stimulus/S  4	4	535423	6	1	0	1
1070.878	64	Stimulus/S  4	4	535439	6	1	0	1
1070.908	64	Stimulus/S  4	4	535454	6	1	0	1
1070.94	64	Stimulus/S  8	8	535470	6	1	0	1
1070.97	64	Stimulus/S  8	8	535485	6	1	0	1
1071.002	64	Stimulus/S  4	4	535501	6	1	0	1
1071.032	64	Stimulus/S  8	8	535516	6	1	0	1
1071.064	64	Stimulus/S  4	4	535532	6	1	0	1
1071.122	64	Stimulus/S  1	1	535561	6	1	0	1
1302.82	64	Stimulus/S  4	4	651410	7	1	1	1
1302.852	64	Stimulus/S  4	4	651426	7	1	1	1
1302.882	64	Stimulus/S  4	4	651441	7	1	1	1
1302.914	64	Stimulus/S  8	8	651457	7	1	1	1
1302.944	64	Stimulus/S  8	8	651472	7	1	1	1
1302.976	64	Stimulus/S  8	8	651488	7	1	1	1
1303.006	64	Stimulus/S  8	8	651503	7	1	1	1
1303.038	64	Stimulus/S  8	8	651519	7	1	1	1
1303.092	64	Stimulus/S  1	1	651546	7	1	1	1
1389.154	64	Stimulus/S  4	4	694577	6	0	1	1
1389.184	64	Stimulus/S  4	4	694592	6	0	1	1
1389.216	64	Stimulus/S  4	4	694608	6	0	1	1
1389.246	64	Stimulus/S  8	8	694623	6	0	1	1
1389.278	64	Stimulus/S  8	8	694639	6	0	1	1
1389.308	64	Stimulus/S  4	4	694654	6	0	1	1
1389.34	64	Stimulus/S  4	4	694670	6	0	1	1
