onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
11.2301	64	Stimulus/S  4	4	112301	0	0	0	1
11.2611	64	Stimulus/S  4	4	112611	0	0	0	1
11.292	64	Stimulus/S  4	4	112920	0	0	0	1
11.323	64	Stimulus/S  4	4	113230	0	0	0	1
11.354	64	Stimulus/S  4	4	113540	0	0	0	1
11.3851	64	Stimulus/S  4	4	113851	0	0	0	1
11.4161	64	Stimulus/S  4	4	114161	0	0	0	1
11.4471	64	Stimulus/S  4	4	114471	0	0	0	1
11.5043	64	Stimulus/S  1	1	115043	0	0	0	1
93.893	64	Stimulus/S  4	4	938930	1	0	1	1
93.9239	64	Stimulus/S  4	4	939239	1	0	1	1
93.955	64	Stimulus/S  4	4	939550	1	0	1	1
93.986	64	Stimulus/S  4	4	939860	1	0	1	1
94.017	64	Stimulus/S  4	4	940170	1	0	1	1
94.048	64	Stimulus/S  8	8	940480	1	0	1	1
94.0789	64	Stimulus/S  4	4	940789	1	0	1	1
94.1099	64	Stimulus/S  8	8	941099	1	0	1	1
94.1542	64	Stimulus/S  1	1	941542	1	0	1	1
176.8379	64	Stimulus/S  4	4	1768379	0	1	1	1
176.8689	64	Stimulus/S  4	4	1768689	0	1	1	1
176.8999	64	Stimulus/S  4	4	1768999	0	1	1	1
176.9308	64	Stimulus/S  4	4	1769308	0	1	1	1
176.9618	64	Stimulus/S  4	4	1769618	0	1	1	1
176.9929	64	Stimulus/S  4	4	1769929	0	1	1	1
177.0239	64	Stimulus/S  8	8	1770239	0	1	1	1
177.0549	64	Stimulus/S  8	8	1770549	0	1	1	1
177.1042	64	Stimulus/S  1	1	1771042	0	1	1	1
255.5383	64	Stimulus/S  4	4	2555383	1	1	0	1
255.5693	64	Stimulus/S  4	4	2555693	1	1	0	1
255.6003	64	Stimulus/S  4	4	2556003	1	1	0	1
255.6313	64	Stimulus/S  4	4	2556313	1	1	0	1
255.6623	64	Stimulus/S  4	4	2556623	1	1	0	1
255.6932	64	Stimulus/S  8	8	2556932	1	1	0	1
255.7243	64	Stimulus/S  8	8	2557243	1	1	0	1
255.7553	64	Stimulus/S  4	4	2557553	1	1	0	1
255.804	64	Stimulus/S  1	1	2558040	1	1	0	1
341.8341	64	Stimulus/S  4	4	3418341	2	1	0	1
341.865	64	Stimulus/S  4	4	3418650	2	1	0	1
341.896	64	Stimulus/S  4	4	3418960	2	1	0	1
341.927	64	Stimulus/S  4	4	3419270	2	1	0	1
341.958	64	Stimulus/S  8	8	3419580	2	1	0	1
341.989	64	Stimulus/S  4	4	3419890	2	1	0	1
342.0201	64	Stimulus/S  8	8	3420201	2	1	0	1
342.051	64	Stimulus/S  4	4	3420510	2	1	0	1
342.1041	64	Stimulus/S  1	1	3421041	2	1	0	1
424.9263	64	Stimulus/S  4	4	4249263	3	1	1	1
424.9573	64	Stimulus/S  4	4	4249573	3	1	1	1
424.9883	64	Stimulus/S  4	4	4249883	3	1	1	1
425.0193	64	Stimulus/S  4	4	4250193	3	1	1	1
